"edon.x","disloc2005","disloc2017","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
18,18,1,1,1,0.798,0.77,0.644
18,7,16,17,18,0.61,0.734,0.831
18,13,16,17,18,0.61,0.734,0.831
18,14,18,12,3,0.191,0.191,1
18,8,15,16,13,0.268,0.529,0.653
18,6,3,18,12,0.633,0.3,0.333
18,16,1,2,1,0.417,0.77,0.644
18,9,10,13,14,0.63,0.785,0.537
18,3,13,10,17,0.361,0.194,0.337
18,10,5,14,16,0.412,0.521,0.824
18,11,5,14,16,0.412,0.521,0.824
18,12,5,14,16,0.412,0.521,0.824
18,17,2,2,2,0.417,0.685,0.602
18,5,6,8,11,0.324,0.323,0.329
18,2,8,4,8,0.671,0.68,0.925
18,1,9,9,9,0.304,0.644,0.378
18,4,6,9,11,0.304,0.323,0.329
18,15,4,3,15,0.557,0.466,0.34
