"edon.x","disloc2007","disloc2016","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
30,10,1,20,1,0.028,0.028,1
30,20,3,13,3,0.03,0.025,0.734
30,NA,3,13,3,0.03,0.025,0.734
30,8,3,13,3,0.03,0.025,0.734
30,12,3,13,3,0.03,0.025,0.734
30,28,3,13,3,0.03,0.025,0.734
30,13,6,15,6,0.028,0.028,1
30,1,2,23,2,0.047,0.047,1
30,2,10,24,10,0.032,0.032,1
30,14,5,22,5,0.036,0.039,0.796
30,27,4,8,4,0.034,0.034,1
30,23,10,24,10,0.032,0.032,1
30,25,1,20,1,0.028,0.028,1
30,24,11,7,11,0.044,0.045,0.962
30,19,29,30,29,0.034,0.034,1
30,29,15,4,15,0.033,0.033,1
30,6,17,11,17,0.029,0.029,1
30,7,13,21,13,0.045,0.047,0.683
30,3,23,18,23,0.029,0.032,0.938
30,5,27,28,27,0.036,0.036,1
