"edon.x","disloc2016","disloc2013","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
2,15,14,7,7,0.324,0.324,1
2,16,15,6,6,0.396,0.396,1
2,4,1,1,1,0.722,0.722,1
2,3,2,5,5,0.444,0.444,1
2,3,3,5,5,0.444,0.444,1
2,3,4,5,5,0.444,0.444,1
2,5,6,3,3,0.676,0.676,1
2,1,5,2,2,0.615,0.615,1
2,6,7,12,12,0.11,0.11,1
2,11,8,16,16,0.688,0.688,1
2,10,9,11,11,0.603,0.603,1
2,10,12,11,11,0.603,0.603,1
2,9,10,13,13,0.453,0.453,1
2,8,13,17,17,0.482,0.482,1
2,8,11,17,17,0.482,0.482,1
2,13,16,14,14,0.114,0.114,1
2,15,17,7,7,0.324,0.324,1
