"edon.x","disloc2015","escenario3","dsiSQ_E3"
31,8,1,0.967
31,14,2,0.212
31,12,3,0.961
31,9,4,0.933
31,10,5,0.237
31,11,6,0.478
31,15,7,0.315
31,13,9,0.899
31,6,2,0.212
31,4,15,0.928
31,5,14,0.681
31,3,13,0.376
31,2,10,0.405
31,1,14,0.681
31,7,10,0.405
