"edon.x","disloc2015","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
24,4,4,4,1,0.505,1,0.505
24,11,11,7,3,0.319,0.688,0.424
24,14,14,5,4,0.273,1,0.273
24,2,3,4,2,0.505,0.717,0.445
24,1,1,3,5,1,0.891,0.891
24,3,3,7,2,0.319,0.717,0.445
24,10,10,2,6,0.892,0.588,0.541
24,12,12,9,15,1,1,1
24,13,13,6,14,0.526,1,0.526
24,5,2,14,10,0.568,0.229,0.314
24,7,5,14,8,0.568,0.325,0.268
24,6,2,11,10,0.562,0.229,0.314
24,8,8,15,11,0.248,0.864,0.286
24,15,15,6,7,0.526,1,0.478
24,9,5,11,8,0.562,0.325,0.268
