"","SECCION","munn.x","edon.x","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",13,3,29,4,16,8,8,11,1422,1,0.647024111074616,0.352975888925384,0,0,0
"3",13,3,29,4,16,8,8,11,5385,1,0.519352532938594,0.480647467061406,0,0,0
"4",13,3,29,4,16,8,8,11,2564,1,0.558775244299674,0.441224755700326,0,0,0
"5",13,3,29,4,16,8,8,11,2261,1,0.616422579490452,0.383577420509548,0,0,0
"6",13,3,29,4,16,8,8,11,2696,1,1,0,0,0,0
"7",13,3,29,4,16,8,8,11,2734,1,1,0,0,0,0
"8",13,3,29,4,16,8,8,11,2786,1,0.519352532938594,0.480647467061406,0,0,0
"9",13,3,29,4,16,8,8,11,1298,1,1,0,0,0,0
"10",13,3,29,4,16,8,8,11,2668,1,0.558775244299674,0.441224755700326,0,0,0
"11",13,3,29,4,16,8,8,11,1723,1,0.869223717654902,0.130776282345098,0,0,0
"12",13,3,29,4,16,8,8,11,3077,1,0.507186982678564,0.492813017321436,0,0,0
"13",13,3,29,4,16,8,8,11,1969,1,1,0,0,0,0
"14",13,3,29,4,16,8,8,11,3167,1,0.869223717654902,0.130776282345098,0,0,0
"15",13,3,29,4,16,8,8,11,1153,1,1,0,0,0,0
"16",13,3,29,4,16,8,8,11,14321,1,1,0,0,0,0
"17",13,3,29,4,16,8,8,11,1715,1,1,0,0,0,0
"18",13,3,29,4,16,8,8,11,1398,1,1,0,0,0,0
"19",13,3,29,4,16,8,8,11,11799,1,1,0,0,0,0
"20",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"23",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"25",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"27",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"28",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"29",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"30",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"39",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"40",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"45",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"48",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"49",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"50",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"51",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"56",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"58",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"60",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"63",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"64",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"65",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"66",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"67",62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"68",63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"69",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"70",65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"71",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"72",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"73",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"74",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"75",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"76",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"77",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"78",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"79",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"80",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"81",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"82",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"85",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"86",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"87",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"89",106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"90",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"91",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"94",111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"96",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"98",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"101",118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"102",119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"103",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"104",121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
