"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"144",1445,37,8,4,3,305,22,21,1,0,0,0,1,0,148973,3296689,0,0.900418814820156,1.00588361649426,3,0.326,1,0,0,0.736,0.264,0,3,0.399,0
"145",1562,37,8,2,6,7702,16,16,0,1,1,0,1,0,146623,3296689,0,0.91110536876026,1.02200541524863,6,0.374,0.948,0.052,0.017,0.195,0.805,0,6,0.264,0
"146",1683,37,8,5,4,9966,19,20,1,0,0,1,0,0,146716,3296689,0,0.851596642475975,1.02135758881104,3,0.245,1,0,0,0.282,0.718,0,3,0.161,0
"147",1737,37,8,5,9,618,19,20,1,0,0,1,0,0,146716,3296689,0,1.37947398460802,1.02135758881104,3,0.245,0.991,0.009,0,0.033,0.967,0,3,0.161,0
"148",1753,37,8,5,7,916,19,20,1,0,0,0,1,0,146716,3296689,0,0.858278968801727,1.02135758881104,3,0.245,1,0,0,0.145,0.855,0,3,0.161,0
"149",1989,37,8,4,5,456,22,21,1,0,0,0,1,0,148973,3296689,0,0.851601482138189,1.00588361649426,3,0.326,1,0,0,0.007,0.993,0,3,0.399,0
"150",2732,37,8,9,8,969,18,17,1,0,0,0,1,0,146918,3296689,0,0.995578513769392,1.01995330728706,4,0.205,1,0,0,0,1,0,4,0.322,0
"151",1,2,9,5,5,905,15,15,1,0,0,0,0,1,283053,8851017,0,1.13980181317125,0.947570371498046,5,0.349,1,0,0,0.148,0,0.852,5,0.44,1
"152",89,2,9,3,3,701,16,16,1,0,0,0,0,1,258644,8851017,0,1.00317090254606,1.03699539275466,3,0.646,1,0,0,0.145,0,0.855,3,0.668,1
"153",345,3,9,26,26,1668,23,23,1,0,0,0,0,1,243637,8851017,0,1.06953175600561,1.10086988578761,26,0.27,1,0,0,0.534,0,0.466,26,0.306,1
"154",359,3,9,26,32,1497,21,23,1,0,0,0,0,0,243637,8851017,0,1.02724819642907,1.10086988578761,26,0.27,1,0,0,0.062,0,0.938,26,0.306,1
"155",550,3,9,26,30,1002,23,23,1,0,0,1,0,0,243637,8851017,0,1.1168757571169,1.10086988578761,26,0.27,1,0,0,0.361,0,0.639,26,0.306,1
"156",747,4,9,20,20,4007,31,31,1,0,0,0,0,1,299809,8851017,0,0.902071468464759,0.894611690655172,20,0.559,0.963,0.036,0.018,0.253,0,0.747,20,0.523,1
"157",821,5,9,1,1,3366,12,12,1,0,0,0,0,1,301312,8851017,0,0.905752865329513,0.890149202035221,1,0.811,1,0,0,0,0,1,1,0.762,1
"158",910,5,9,1,2,2844,12,12,1,0,0,0,0,1,301312,8851017,0,0.929580256093565,0.890149202035221,1,0.811,1,0,0,0.263,0,0.737,1,0.762,1
"159",1079,5,9,2,7,856,10,10,1,0,0,0,0,0,279397,8851017,0,0.981949406016606,0.959969635907459,2,0.433,1,0,0,0.289,0,0.711,2,0.454,1
"160",1219,5,9,4,4,1003,9,9,1,0,0,0,0,1,296856,8851017,0,0.903205552086012,0.90351091560769,4,0.8,1,0,0,0,0,1,4,0.806,1
"161",1358,5,9,4,6,1328,9,9,1,0,0,0,0,1,296856,8851017,0,0.949264377826016,0.90351091560769,4,0.8,1,0,0,0.006,0.006,0.987,4,0.806,1
"162",1672,6,9,15,15,1025,19,19,1,0,0,0,0,1,273572,8851017,0,1.17215866953426,0.980409677758091,15,0.69,1,0,0,0.165,0,0.835,15,0.685,1
"163",1673,6,9,15,14,1051,19,19,1,0,0,0,0,1,273572,8851017,0,1.13183781668636,0.980409677758091,15,0.69,1,0,0,0,0,1,15,0.685,1
"164",1971,7,9,24,24,1322,6,6,1,0,0,0,0,1,283530,8851017,0,1.15067225339442,0.945976215439764,24,0.661,1,0,0,0.128,0,0.872,24,0.656,1
"165",1972,7,9,24,21,890,6,6,1,0,0,0,0,1,283530,8851017,0,1.02899658203125,0.945976215439764,24,0.661,1,0,0,0.065,0,0.935,24,0.656,1
"166",2065,7,9,21,19,1670,7,7,1,0,0,0,0,1,248080,8851017,0,1.10930013084478,1.08115380668992,21,0.316,1,0,0,0,0,1,21,0.341,1
"167",2106,7,9,22,22,1359,8,8,1,0,0,0,0,1,253983,8851017,0,0.982708210277614,1.05602594017567,22,0.579,1,0,0,0,0,1,22,0.575,1
"168",2341,7,9,24,28,1591,5,6,1,0,0,0,0,1,283530,8851017,0,0.883486686337375,0.945976215439764,24,0.661,1,0,0,0.044,0.007,0.949,24,0.656,1
"169",2521,7,9,21,29,1187,7,7,1,0,0,0,0,1,248080,8851017,0,0.902446726075165,1.08115380668992,21,0.316,1,0,0,0,0,1,21,0.341,1
"170",2565,7,9,27,27,2283,3,3,1,0,0,0,0,1,262176,8851017,0,0.906138614064112,1.02302512954518,27,0.931,1,0,0,0,0,1,27,0.932,1
"171",2633,7,9,31,31,1926,7,4,1,0,0,0,0,1,263955,8851017,0,0.898916244850868,1.0161301599274,31,0.773,1,0,0,0,0,1,31,0.743,1
"172",2972,8,9,33,33,1166,1,1,1,0,0,0,0,1,240763,8851017,0,0.91905909545902,1.11401102479881,33,1,0.973,0.026,0.013,0.162,0,0.838,33,1,1
"173",3119,9,9,7,34,2025,28,25,1,0,0,0,0,1,240249,8851017,0,0.953489802601812,1.11639439233311,34,0.886,0.615,0.386,0.193,0,0,1,34,0.865,1
"174",3163,10,9,18,18,1770,33,33,1,0,0,0,0,1,305472,8851017,0,0.933163344916584,0.878026910367027,18,0.776,1,0,0,0.022,0,0.978,18,0.769,1
"175",3217,10,9,23,23,1141,32,32,1,0,0,0,0,1,307604,8851017,0,1.06039825659408,0.871941315339321,23,0.589,1,0,0,0.517,0,0.483,23,0.665,1
"176",3355,10,9,18,25,500,33,33,1,0,0,0,0,1,305472,8851017,0,0.997670903368922,0.878026910367027,18,0.776,1,0,0,0.148,0,0.852,18,0.769,1
"177",3609,11,9,8,35,3458,26,26,1,0,0,0,0,1,238869,8851017,0,0.895674238713777,1.12284405412019,35,0.889,0.898,0.102,0.051,0,0.011,0.989,35,0.867,1
"178",3742,12,9,16,38,1105,30,28,1,0,0,0,0,1,284190,8851017,0,1.10751786840446,0.943779289783723,38,0.689,1,0,0,0.455,0,0.545,38,0.756,1
"179",3769,12,9,14,37,1330,29,27,1,0,0,1,0,0,258602,8851017,0,1.01068081228847,1.03716381297761,37,0.802,1,0,0,0.136,0,0.864,37,0.812,1
"180",3829,12,9,14,40,2682,29,27,1,0,0,0,0,1,258602,8851017,0,0.958371086288964,1.03716381297761,37,0.802,0.851,0.148,0.069,0.045,0,0.955,37,0.812,1
"181",4095,13,9,19,39,1570,27,29,1,0,0,0,0,1,264604,8851017,0,1.10391539367211,1.01363787532931,39,0.368,0.88,0.12,0.06,0.151,0,0.849,39,0.409,1
"182",4107,13,9,25,36,1996,25,30,1,0,0,0,0,1,266597,8851017,0,0.988149926985786,1.00606021959601,36,0.639,0.75,0.25,0.125,0,0,1,36,0.581,1
"183",4269,14,9,17,16,1860,24,24,1,0,0,1,0,0,247419,8851017,0,1.15489423167256,1.08404219709738,17,0.582,1,0,0,0.848,0,0.152,17,0.597,1
"184",4274,14,9,17,17,1496,24,24,1,0,0,1,0,0,247419,8851017,0,1.14153055855056,1.08404219709738,17,0.582,1,0,0,1,0,0,17,0.597,1
"185",4523,15,9,12,13,1429,14,14,1,0,0,0,0,0,266122,8851017,0,1.02948968767592,1.00785593210496,12,0.648,1,0,0,0.788,0,0.212,12,0.597,1
"186",4586,15,9,9,9,2871,13,13,1,0,0,0,0,1,265709,8851017,0,0.962380885071219,1.00942247482636,9,0.865,1,0,0,0,0.021,0.979,9,0.821,1
"187",4704,15,9,9,12,1528,13,13,1,0,0,0,0,1,265709,8851017,0,0.955948991670699,1.00942247482636,9,0.865,1,0,0,0.083,0,0.917,9,0.821,1
"188",4981,16,9,13,8,280,17,17,1,0,0,1,0,0,245859,8851017,0,0.96905267099351,1.09092055350277,13,0.457,1,0,0,0.273,0,0.727,13,0.456,1
"189",5183,17,9,10,10,1442,20,20,1,0,0,0,0,1,269938,8851017,0,1.01606891944016,0.993608296585276,10,0.807,1,0,0,0.101,0,0.899,10,0.811,1
"190",5274,17,9,10,11,878,20,20,1,0,0,0,0,1,269938,8851017,0,1.03786749186218,0.993608296585276,10,0.807,1,0,0,0,0,1,10,0.811,1
"191",1,1,10,3,16,513,3,3,1,0,0,0,1,0,99275,1600675,0,1.08741803646206,1.07490976244439,6,0.295,0.171,0.83,0.047,0.009,0.991,0,6,0.308,0
"192",42,2,10,1,8,760,2,1,0,1,1,0,1,0,99956,1600675,0,1.41226849666536,1.06758640468473,7,0.65,0.074,0.926,0.074,0.135,0.865,0,7,0.538,0
"193",66,4,10,6,15,2572,1,6,1,0,0,0,1,0,101768,1600675,0,1.30226066610205,1.04857781096874,15,0.339,0.174,0.826,0.139,0.036,0.964,0,15,0.325,0
"194",108,5,10,11,2,9095,12,11,1,0,0,1,0,0,117933,1600675,0,0.685069723528299,0.90484992891444,1,0.551,0.838,0.162,0.015,0.111,0.889,0,1,0.481,0
"195",122,5,10,11,1,905,12,11,1,0,0,0,0,0,117933,1600675,0,0.888847118351173,0.90484992891444,1,0.551,0.758,0.242,0.015,0.105,0.895,0,1,0.481,0
"196",166,5,10,11,6,2495,11,11,1,0,0,0,1,0,117933,1600675,0,0.808439682497995,0.90484992891444,1,0.551,0.405,0.596,0.06,0.044,0.956,0,1,0.481,0
"197",182,5,10,8,3,1165,9,8,1,0,0,0,1,0,115459,1600675,0,0.799230565666552,0.924238618614977,3,0.415,0.615,0.384,0.038,0.237,0.763,0,3,0.268,0
"198",205,5,10,9,5,835,11,9,1,0,0,0,0,0,115204,1600675,0,0.992592799295556,0.926284388273555,5,0.214,0.905,0.095,0.027,0.366,0.634,0,5,0.281,0
"199",229,5,10,9,4,633,9,9,1,0,0,1,0,0,115204,1600675,0,0.847768000190667,0.926284388273555,5,0.214,0.38,0.62,0.038,0.063,0.937,0,5,0.281,0
"200",420,6,10,6,14,1271,1,6,1,0,0,0,1,0,101768,1600675,0,1.03597122767776,1.04857781096874,15,0.339,0.326,0.674,0.109,0.095,0.905,0,15,0.325,0
"201",436,7,10,15,11,1328,13,15,1,0,0,0,1,0,109747,1600675,0,1.23247448121231,0.972342448237006,12,0.724,0.489,0.511,0.064,0,1,0,12,0.61,0
"202",438,7,10,15,12,2814,13,15,1,0,0,0,1,0,109747,1600675,0,1.18477159464443,0.972342448237006,12,0.724,0.958,0.042,0.021,0,1,0,12,0.61,0
"203",485,7,10,13,13,1602,15,13,1,0,0,0,1,0,96510,1600675,0,1.3269635545637,1.10570579905364,13,0.51,1,0,0,0.068,0.932,0,13,0.475,0
"204",541,7,10,13,10,14035,15,13,1,0,0,0,1,0,96510,1600675,0,1.02369428495049,1.10570579905364,13,0.51,0.373,0.627,0.045,0,1,0,13,0.475,0
"205",612,8,10,6,17,2281,1,6,1,0,0,0,1,0,101768,1600675,0,1.08361360011481,1.04857781096874,15,0.339,0.43,0.57,0.105,0.119,0.881,0,15,0.325,0
"206",689,12,10,7,9,8932,6,7,1,0,0,0,1,0,105322,1600675,0,0.951969031232827,1.01319445763152,14,0.357,0.429,0.572,0.086,0.143,0.857,0,14,0.276,0
"207",947,20,10,1,7,1079,2,1,0,1,1,0,1,0,99956,1600675,0,0.980366637247654,1.06758640468473,7,0.65,0.109,0.892,0.071,0.061,0.939,0,7,0.538,0
"208",1,1,11,18,13,1916,4,1,0,1,1,1,0,0,264860,5329859,0,1.01941199219794,0.914695756935053,18,0.455,0.417,0.584,0.061,0.877,0.114,0.009,18,0.458,0
"209",51,2,11,22,22,4518,8,2,0,1,1,0,0,0,247532,5329859,0,1.32246493142106,0.978727268320129,22,0.74,0.306,0.694,0.082,0.535,0.228,0.236,22,0.792,0
"210",141,3,11,9,9,6511,6,3,0,1,1,1,0,0,246521,5329859,0,0.973809673456352,0.982741097844882,9,0.482,0.347,0.653,0.041,0.932,0.068,0,9,0.56,0
"211",244,4,11,22,17,1599,8,2,1,0,0,1,0,0,247532,5329859,0,0.920101168921924,0.978727268320129,22,0.74,0.356,0.645,0.089,0.771,0.229,0,22,0.792,0
"212",331,6,11,2,2,1049,10,4,0,1,1,0,1,0,272117,5329859,0,0.890302032514757,0.890302032514757,2,1,0.182,0.818,0.102,0.819,0.172,0.009,2,1,0
"213",336,7,11,16,16,21909,21,22,1,0,0,1,0,0,224692,5329859,0,0.918527869355342,1.07821514865602,16,0.57,0.757,0.244,0.056,0.954,0.046,0,16,0.434,0
"214",348,7,11,16,15,1619,21,22,1,0,0,1,0,0,224692,5329859,0,1.04146366055437,1.07821514865602,16,0.57,0.652,0.348,0.104,0.955,0.045,0,16,0.434,0
"215",567,8,11,10,18,1590,7,5,0,1,1,1,0,0,246515,5329859,0,1.13015272096236,0.982765017065161,10,0.491,0.254,0.746,0.078,0.757,0.236,0.007,10,0.368,0
"216",662,11,11,19,21,1725,5,7,1,0,0,1,0,0,266668,5329859,0,1.30582782118947,0.908494150711065,19,0.621,0.584,0.416,0.067,0.912,0.08,0.009,19,0.598,0
"217",752,14,11,1,1,2342,3,8,0,1,1,1,0,0,242192,5329859,0,1.07300513405269,1.0003068564685,1,0.86,0.196,0.804,0.08,0.752,0.248,0,1,0.906,0
"218",823,15,11,8,8,1199,9,9,1,0,0,0,0,0,243016,5329859,0,0.874134288947567,0.996915092758576,8,0.493,0.533,0.467,0.072,0.473,0.527,0,8,0.528,0
"219",916,16,11,18,19,1407,4,1,1,0,0,0,1,0,264860,5329859,0,1.22292491914256,0.914695756935053,18,0.455,0.406,0.593,0.109,0.646,0.089,0.266,18,0.458,0
"220",929,17,11,11,11,5611,13,13,1,0,0,1,0,0,265423,5329859,0,0.890262773103264,0.912755556910359,11,0.444,0.716,0.283,0.082,0.89,0.11,0,11,0.349,0
"221",930,17,11,11,12,7981,13,13,1,0,0,1,0,0,265423,5329859,0,0.939759803029598,0.912755556910359,11,0.444,0.739,0.261,0.087,0.895,0.105,0,11,0.349,0
"222",1261,20,11,3,4,5543,17,16,0,1,1,1,0,0,238603,5329859,0,0.741576346400171,1.01535319414181,3,0.369,0.787,0.212,0.039,0.896,0.104,0,3,0.306,0
"223",1267,20,11,3,3,6337,17,16,1,0,0,1,0,0,238603,5329859,0,1.14083376820299,1.01535319414181,3,0.369,0.951,0.049,0.016,1,0,0,3,0.306,0
"224",1344,20,11,7,7,1521,19,18,1,0,0,1,0,0,239745,5329859,0,0.83480521897066,1.01051666638227,7,0.186,0.9,0.1,0.017,0.973,0.027,0,7,0.256,0
"225",1421,20,11,7,5,759,19,18,1,0,0,1,0,0,239745,5329859,0,0.837967009953991,1.01051666638227,7,0.186,0.933,0.067,0.027,0.992,0.008,0,7,0.256,0
"226",1463,20,11,7,6,793,19,18,1,0,0,1,0,0,239745,5329859,0,1.27406663186197,1.01051666638227,7,0.186,0.92,0.08,0.009,0.926,0.074,0,7,0.256,0
"227",1859,21,11,20,20,2667,11,10,1,0,0,0,0,0,282798,5329859,0,1.30282929209277,0.856676207688237,20,0.658,0.556,0.444,0.038,0.49,0.51,0,20,0.604,0
"228",2034,25,11,10,10,4937,7,5,1,0,0,1,0,0,246515,5329859,0,0.79149496117711,0.982765017065161,10,0.491,0.368,0.632,0.057,0.702,0.26,0.038,10,0.368,0
"229",2109,27,11,14,14,2742,12,12,0,1,1,1,0,0,260690,5329859,0,1.22967215104188,0.929327239947133,14,0.347,0.62,0.38,0.039,0.981,0.01,0.01,14,0.463,0
"230",1,1,12,8,8,1622,24,4,1,0,0,0,0,1,115482,3387049,0,1.04534290578285,1.04748822945815,8,0.998,0.364,0.636,0.068,0,0.422,0.578,8,0.988,1
"231",14,1,12,4,4,878,24,9,1,0,0,0,0,0,119589,3387049,0,1.01151473558844,1.01151473558844,4,1,1,0,0,0,0.079,0.921,4,1,1
"232",24,1,12,5,5,1530,18,5,1,0,0,0,0,1,130261,3387049,0,0.928643536548051,0.928643536548051,5,1,0.817,0.183,0.033,0,0.059,0.941,5,1,1
"233",40,1,12,3,3,1251,18,7,1,0,0,0,0,1,117800,3387049,0,1.02687636429784,1.02687636429784,3,1,1,0,0,0.02,0.039,0.941,3,1,1
"234",112,1,12,9,9,6223,20,6,1,0,0,0,0,1,124699,3387049,0,0.970064200308629,0.970064200308629,9,1,0.353,0.647,0.088,0,0.619,0.381,9,1,1
"235",149,1,12,6,6,2464,22,8,1,0,0,0,0,1,121665,3387049,0,0.99425500936412,0.99425500936412,6,1,0.944,0.056,0.019,0,0.098,0.902,6,1,1
"236",282,1,12,7,7,1360,21,3,1,0,0,0,0,0,132154,3387049,0,0.915341463098247,0.915341463098247,7,1,0.524,0.476,0.071,0,0.545,0.455,7,1,1
"237",384,2,12,26,26,3881,12,1,0,1,1,0,1,0,125133,3387049,0,0.858158596156964,0.966699717215169,26,0.888,0,1,0.062,0,0.592,0.408,26,0.925,1
"238",411,3,12,17,17,1519,5,20,0,1,1,0,1,0,126210,3387049,0,0.958450485019299,0.958450485019299,17,1,0.079,0.92,0.073,0,0.53,0.47,17,1,1
"239",456,4,12,28,28,2557,15,14,1,0,0,0,0,1,133127,3387049,0,0.969970858338765,0.908651405907785,28,0.905,0.018,0.982,0.071,0,0.134,0.866,28,0.963,1
"240",474,5,12,27,27,1247,15,15,1,0,0,0,0,1,130020,3387049,0,0.866444401013421,0.930364833981585,27,0.931,0.188,0.812,0.069,0,0.595,0.405,27,0.979,1
"241",479,6,12,20,20,728,11,22,0,1,1,0,0,1,109379,3387049,0,1.10593473806019,1.10593473806019,20,1,0.176,0.824,0.05,0,0.368,0.632,20,1,1
"242",500,7,12,18,18,1844,4,21,0,1,1,0,0,0,124278,3387049,0,0.973350357378504,0.973350357378504,18,1,0.234,0.767,0.048,0,0.393,0.607,18,1,1
"243",553,8,12,23,23,1259,12,23,0,1,1,0,0,0,119050,3387049,0,1.01609437811244,1.01609437811244,23,1,0.226,0.774,0.097,0.011,0.805,0.184,23,1,1
"244",596,11,12,10,10,1007,3,26,1,0,0,0,0,0,116023,3387049,0,1.04260392951644,1.04260392951644,10,1,0.266,0.734,0.119,0,0.322,0.678,10,1,1
"245",671,12,12,14,14,4404,6,13,1,0,0,0,0,1,110815,3387049,0,1.09160344460845,1.09160344460845,14,1,0.104,0.897,0.057,0,0.439,0.561,14,1,1
"246",725,13,12,15,15,1370,6,16,1,0,0,0,1,0,112770,3387049,0,1.08398332987693,1.07267922066406,15,0.971,0.144,0.856,0.11,0,0.453,0.547,15,0.981,1
"247",789,16,12,12,12,675,10,27,1,0,0,0,1,0,108049,3387049,0,1.12200901304387,1.11954794319508,12,0.998,0.324,0.676,0.056,0,0.253,0.747,12,0.99,1
"248",1112,28,12,25,25,7040,27,12,1,0,0,0,0,0,136825,3387049,0,0.999735827982989,0.884093080316358,25,0.884,0.144,0.856,0.056,0,0.689,0.311,25,0.904,1
"249",1204,29,12,1,1,10726,25,11,1,0,0,0,1,0,113925,3387049,0,1.06180413179097,1.06180413179097,1,1,0.68,0.32,0.06,0,0.933,0.067,1,1,1
"250",1207,29,12,2,2,3651,25,10,0,1,1,0,1,0,127803,3387049,0,0.946503882649748,0.946503882649748,2,1,0.677,0.323,0.081,0,0.981,0.019,2,1,1
"251",1309,30,12,19,19,1868,11,25,1,0,0,0,0,1,107318,3387049,0,1.12717377992774,1.12717377992774,19,1,0.174,0.826,0.083,0,0.803,0.197,19,1,1
"252",1480,36,12,22,22,6477,7,24,0,1,1,0,0,1,124593,3387049,0,0.970889501932578,0.970889501932578,22,1,0.861,0.139,0.014,0,0.18,0.82,22,1,1
"253",1602,39,12,11,11,650,28,28,1,0,0,0,0,0,116299,3387049,0,1.04012962892446,1.04012962892446,11,1,0.246,0.754,0.09,0,0.302,0.698,11,1,1
"254",1654,40,12,13,13,2105,13,18,0,1,1,0,0,1,118319,3387049,0,1.02237202574638,1.02237202574638,13,1,0.167,0.833,0.058,0,0.708,0.292,13,1,1
"255",1719,43,12,24,24,1365,12,19,1,0,0,0,1,0,125986,3387049,0,0.960154586337257,0.960154586337257,24,1,0.212,0.788,0.053,0,0.609,0.391,24,1,1
"256",1809,47,12,16,16,6660,8,17,0,1,1,0,0,1,110772,3387049,0,1.09202718840759,1.09202718840759,16,1,0.111,0.889,0.173,0,0.717,0.283,16,1,1
"257",1933,50,12,21,21,1853,4,2,0,1,1,0,1,0,128705,3387049,0,0.939870523400689,0.939870523400689,21,1,0.271,0.729,0.043,0.262,0.738,0,21,1,1
"258",1,1,13,1,18,1422,8,1,0,1,1,0,1,0,138846,2597901,0,1.78818308719067,1.0394813918538,10,0.443,0.045,0.954,0.068,0.015,0.985,0,10,0.479,0
"259",13,2,13,10,10,2833,8,10,1,0,0,0,1,0,159602,2597901,0,1.19970269513922,0.904298400604838,11,0.303,0.01,0.989,0.082,0,0.937,0.063,11,0.336,0
"260",34,3,13,2,14,5385,2,2,1,0,0,0,1,0,145827,2597901,0,0.656322001115638,0.989719553534896,14,0.606,0.261,0.739,0.085,0,0.919,0.081,14,0.569,0
"261",81,5,13,3,5,2062,2,3,1,0,0,0,1,0,143718,2597901,0,0.746899301027414,1.00424326342792,14,0.221,0.443,0.557,0.142,0,0.923,0.077,14,0.184,0
"262",92,6,13,4,16,2564,6,4,0,1,1,0,1,0,153081,2597901,0,1.02331135375307,0.942820032096298,6,0.7,0.153,0.847,0.025,0,0.902,0.098,6,0.621,0
"263",114,7,13,10,11,2261,5,10,0,1,1,0,1,0,159602,2597901,0,1.11696745966639,0.904298400604838,11,0.303,0.343,0.657,0.148,0.031,0.969,0,11,0.336,0
"264",162,10,13,7,13,2734,16,7,0,1,1,0,1,0,151016,2597901,0,0.562892284571744,0.955712198265967,13,0.327,0.102,0.898,0.097,0,0.921,0.079,13,0.349,0
"265",224,13,13,8,15,2766,1,8,0,1,1,0,1,0,155323,2597901,0,1.22083076046839,0.929210956093646,9,0.226,0.026,0.974,0.061,0,0.912,0.088,9,0.289,0
"266",257,15,13,10,3,4495,5,10,1,0,0,0,0,0,159602,2597901,0,0.567406682287326,0.904298400604838,11,0.303,0.398,0.602,0.153,0,1,0,11,0.336,0
"267",281,16,13,4,6,1342,6,4,0,1,1,0,1,0,153081,2597901,0,1.34597761177791,0.942820032096298,6,0.7,0.032,0.967,0.118,0.029,0.971,0,6,0.621,0
"268",291,17,13,9,17,2668,11,9,0,1,1,0,1,0,147104,2597901,0,2.26503191044151,0.981127864186788,17,0.433,0,1,0.071,0.056,0.819,0.125,17,0.39,0
"269",342,20,13,8,9,623,1,8,0,1,1,0,1,0,155323,2597901,0,3.10389112310659,0.929210956093646,9,0.226,0.027,0.973,0.055,0,0.983,0.017,9,0.289,0
"270",358,22,13,12,2,1723,7,12,0,1,1,0,0,0,95996,2597901,0,0.69739762521422,1.50347757545453,2,0.464,0.698,0.302,0.094,0.016,0.984,0,2,0.406,0
"271",713,39,13,1,1,1376,7,1,1,0,0,0,1,0,138846,2597901,0,0.711454692740092,1.0394813918538,10,0.443,0.643,0.356,0.113,0.026,0.974,0,10,0.479,0
"272",780,43,13,18,7,920,18,18,0,1,1,0,1,0,144501,2597901,0,2.16532891249337,0.998801623056818,16,0.743,0.05,0.951,0.058,0.051,0.859,0.091,16,0.596,0
"273",1295,64,13,4,4,2114,6,4,0,1,1,0,1,0,153081,2597901,0,0.807013080447173,0.942820032096298,6,0.7,0.439,0.561,0.131,0.041,0.767,0.192,6,0.621,0
"274",1333,67,13,8,8,1343,1,8,0,1,1,0,1,0,155323,2597901,0,2.69328643228584,0.929210956093646,9,0.226,0.118,0.882,0.137,0,1,0,9,0.289,0
"275",1350,68,13,13,12,1715,10,13,1,0,0,0,1,0,119258,2597901,0,0.912566284765253,1.21021510786139,12,0.754,0.273,0.728,0.234,0,1,0,12,0.712,0
"276",1,1,14,2,3,1998,3,2,0,1,1,0,0,0,367882,7224159,0,0.971495753161595,0.981858177350346,17,0.112,0.276,0.724,0.193,0.861,0.139,0,17,0.151,0
"277",13,2,14,4,17,2431,8,4,0,1,1,0,1,0,356397,7224159,0,0.912911268595229,1.01349885100043,18,0.61,0.308,0.692,0.204,0.386,0.598,0.016,18,0.605,0
"278",24,3,14,3,1,2618,8,3,0,1,1,0,1,0,354010,7224159,0,1.02740233919459,1.02033261772266,1,0.993,0.223,0.777,0.22,0.338,0.656,0.006,1,0.991,0
"279",36,4,14,5,19,1127,4,5,1,0,0,0,0,0,358489,7224159,0,1.01969316718986,1.00758447260585,19,0.612,0.4,0.6,0.148,0.231,0.763,0.006,19,0.593,0
"280",48,6,14,4,18,3485,8,4,1,0,0,0,1,0,356397,7224159,0,1.00625118396274,1.01349885100043,18,0.61,0.382,0.618,0.145,0.395,0.599,0.007,18,0.605,0
"281",149,11,14,4,5,983,6,4,0,1,1,1,0,0,356397,7224159,0,0.945818146111547,1.01349885100043,18,0.61,0.309,0.691,0.174,0.273,0.655,0.073,18,0.605,0
"282",161,13,14,8,15,1248,7,8,0,1,1,0,0,0,355496,7224159,0,1.01606755068974,1.01606755068974,15,1,0.33,0.67,0.161,0.467,0.516,0.016,15,1,0
"283",452,30,14,3,0,945,2,3,0,1,0,0,0,0,354010,7224159,0,Inf,1.02033261772266,1,0.993,0,0,0,0,0,0,1,0.991,0
"284",501,36,14,9,2,5485,5,9,0,1,1,0,0,0,376590,7224159,0,0.959154385405879,0.959154385405879,2,1,0.301,0.699,0.169,0.69,0.302,0.008,2,1,0
"285",570,41,14,13,12,693,14,13,1,0,0,1,0,0,372514,7224159,0,1.53814162344465,0.969649328615837,8,0.398,1,0,0,0.962,0.038,0,8,0.364,0
"286",633,41,14,12,9,1303,12,12,1,0,0,0,0,0,372585,7224159,0,1.37330460305451,0.969464551713032,9,0.675,1,0,0,0.227,0.773,0,9,0.682,0
"287",640,41,14,12,11,1523,12,12,1,0,0,0,0,0,372585,7224159,0,1.41410610260265,0.969464551713032,9,0.675,1,0,0,0.195,0.805,0,9,0.682,0
"288",731,41,14,11,13,1863,13,11,1,0,0,0,0,0,374555,7224159,0,1.49425580500639,0.964365580488847,13,0.451,1,0,0,0.244,0.756,0,13,0.443,0
"289",793,41,14,10,14,1657,11,10,1,0,0,1,0,0,374655,7224159,0,1.45361161414946,0.964108179525163,14,0.663,1,0,0,0.75,0.25,0,14,0.646,0
"290",1087,41,14,13,8,3015,14,13,1,0,0,1,0,0,372514,7224159,0,1.44021734363101,0.969649328615837,8,0.398,1,0,0,0.716,0.284,0,8,0.364,0
"291",2024,72,14,2,7,21175,1,2,0,1,1,1,0,0,367882,7224159,0,0.490095791808851,0.981858177350346,17,0.112,0.581,0.419,0.171,0.536,0.464,0,17,0.151,0
"292",2473,99,14,14,16,1791,20,14,1,0,0,0,0,0,376499,7224159,0,0.868081754582443,0.959386213509199,16,0.745,0.985,0.014,0.007,0.452,0.548,0,16,0.793,0
"293",2650,102,14,16,20,6516,19,16,1,0,0,0,1,0,358671,7224159,0,0.782663793495713,1.00707319521233,20,0.777,0.82,0.18,0.09,0.048,0.952,0,20,0.84,0
"294",2900,120,14,19,10,1554,16,19,1,0,0,0,1,0,313514,7224159,0,1.03604553107638,1.15212701825118,6,0.465,1,0,0,0.805,0.195,0,6,0.506,0
"295",2909,120,14,17,4,1749,17,17,1,0,0,0,1,0,369745,7224159,0,1.06939659766467,0.97691097918836,4,0.866,0.939,0.061,0.02,0.154,0.846,0,4,0.748,0
"296",2966,120,14,19,6,4328,17,19,1,0,0,0,0,0,313514,7224159,0,0.752278341025342,1.15212701825118,6,0.465,0.856,0.144,0.059,0.222,0.778,0,6,0.506,0
