"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"12",315,1,1,6,18,4705,6,6,0,1,1,0,1,0,66653,1160287,0,1.001871135979,0.967104089671716,18,0.728,0.733,0.267,0.1,0.25,0.75,0,18,0.594,0
"13",338,2,1,2,2,2367,2,2,0,1,1,1,0,0,64359,1160287,0,1.00157536457821,1.00157536457821,2,1,0.031,0.969,0.219,0.412,0.588,0,2,1,0
"14",355,3,1,3,8,1568,3,3,0,1,1,1,0,0,62677,1160287,0,1.18862622649202,1.02845364150947,8,0.865,0.289,0.711,0.158,0.8,0.2,0,8,0.8,0
"15",387,4,1,4,1,3725,4,4,1,0,0,0,1,0,64179,1160287,0,0.887578504494167,1.00438443866201,1,0.884,0.273,0.727,0.227,0.55,0.45,0,1,0.765,0
"16",392,5,1,18,7,8231,18,18,0,1,1,1,0,0,68496,1160287,0,0.941082528744582,0.941082528744582,7,1,0.316,0.684,0.158,0.6,0.4,0,7,1,0
"17",400,5,1,17,4,1962,17,17,0,1,1,0,0,0,69564,1160287,0,0.926634306378139,0.926634306378139,4,1,0.174,0.826,0.304,0.462,0.538,0,4,1,0
"18",415,6,1,1,3,6799,1,1,0,1,1,0,0,0,60874,1160287,0,1.05891495365655,1.05891495365655,3,1,0.387,0.613,0.129,0.238,0.762,0,3,1,0
"19",1,1,2,15,14,1952,7,7,1,0,0,1,0,0,176698,3013030,0,0.875603624317767,1.0030507352858,14,0.201,0.883,0.116,0.019,0.857,0.143,0,14,0.345,0
"20",68,1,2,16,15,755,6,6,1,0,0,1,0,0,184293,3013030,0,0.728875696845884,0.9617134607583,14,0.56,0.713,0.287,0.009,0.692,0.297,0.011,14,0.396,0
"21",211,2,2,4,1,948,1,1,1,0,0,1,0,0,181282,3013030,0,1.55669104407825,0.977687022558938,1,0.628,1,0,0,0.986,0.014,0,1,0.748,0
"22",217,2,2,3,2,389,5,5,1,0,0,1,0,0,187474,3013030,0,1.57281217896785,0.945395408555477,2,0.442,1,0,0,0.959,0.041,0,2,0.444,0
"23",370,2,2,3,3,785,5,5,1,0,0,1,0,0,187474,3013030,0,2.29427145994317,0.945395408555477,2,0.442,1,0,0,0.986,0.014,0,2,0.444,0
"24",374,2,2,3,4,958,5,5,1,0,0,1,0,0,187474,3013030,0,0.916934699257239,0.945395408555477,2,0.442,0.973,0.027,0,0.955,0.045,0,2,0.444,0
"25",495,2,2,5,6,1785,3,3,1,0,0,1,0,0,167325,3013030,0,0.745545576556104,1.05923836141359,6,0.704,0.709,0.291,0.104,0.541,0.459,0,6,0.675,0
"26",549,2,2,1,5,1043,2,2,0,1,0,0,1,0,146777,3013030,0,1.41832764219146,1.20752610302383,5,0.817,0.402,0.598,0.165,0.534,0.466,0,5,0.86,0
"27",694,3,2,6,7,1939,12,12,1,0,0,1,0,0,182656,3013030,0,1.75626563238631,0.970332531225525,13,0.127,0.463,0.537,0.241,0.71,0.29,0,13,0.11,0
"28",735,4,2,11,8,2750,16,16,1,0,0,1,0,0,187447,3013030,0,0.753091443336744,0.945531583986564,8,0.796,0.936,0.064,0.014,0.734,0.266,0,8,0.688,0
"29",746,4,2,10,9,1146,11,11,1,0,0,1,0,0,183897,3013030,0,1.59395878178959,0.963784394653145,9,0.605,1,0,0,0.907,0.093,0,9,0.603,0
"30",749,4,2,10,12,1063,11,11,1,0,0,0,1,0,183897,3013030,0,1.61362241504333,0.963784394653145,9,0.605,1,0,0,0.802,0.198,0,9,0.603,0
"31",884,4,2,9,10,1603,13,13,1,0,0,1,0,0,186379,3013030,0,1.02149214343736,0.950949725148914,12,0.414,1,0,0,0.882,0.118,0,12,0.453,0
"32",1046,4,2,8,13,808,17,17,1,0,0,1,0,0,184039,3013030,0,0.326185965937127,0.96304076214025,11,0.53,0.915,0.086,0.017,0.952,0.048,0,11,0.482,0
"33",1098,4,2,8,11,2435,17,17,1,0,0,1,0,0,184039,3013030,0,0.862929348184086,0.96304076214025,11,0.53,1,0,0,1,0,0,11,0.482,0
"34",1190,4,2,13,16,2956,14,14,1,0,0,0,1,0,173567,3013030,0,1.27497668419654,1.0211449113226,13,0.115,1,0,0,0.659,0.341,0,13,0.121,0
"35",1194,5,2,15,17,5564,7,7,0,1,0,1,0,0,176698,3013030,0,1.9891032818227,1.0030507352858,14,0.201,0.889,0.111,0,1,0,0,14,0.345,0
"36",1,1,3,4,9,864,4,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,11,0.408,0.56,0.44,0.2,0,0,1,11,0.396,0
"37",18,1,3,4,10,1331,2,4,1,0,0,0,0,0,34508,573075,0,1.38252933570078,1.0379386663962,11,0.408,0.789,0.211,0,0,0,1,11,0.396,0
"38",40,1,3,4,11,988,4,4,0,1,1,0,0,0,34508,573075,0,1.59912436378248,1.0379386663962,11,0.408,0.188,0.812,0.25,0.25,0.375,0.375,11,0.396,0
"39",63,1,3,4,12,89,3,4,0,1,0,0,0,1,34508,573075,0,1.73633835078534,1.0379386663962,11,0.408,0.286,0.715,0.048,0.333,0,0.667,11,0.396,0
"40",75,2,3,1,13,1123,1,1,0,1,1,0,0,0,37873,573075,0,1.8817477934223,0.945718255749479,13,0.503,0.429,0.571,0.19,0,0.333,0.667,13,0.531,0
"41",92,2,3,3,14,1871,1,3,0,1,1,0,0,1,38028,573075,0,1.217526259433,0.941863561060271,14,0.774,0.5,0.5,0.143,0.5,0,0.5,14,0.522,0
"42",105,2,3,3,15,302,3,3,0,1,0,0,0,1,38028,573075,0,3.32101877607789,0.941863561060271,14,0.774,0.111,0.889,0.167,0,0,1,14,0.522,0
"43",121,3,3,12,1,1400,12,12,0,1,1,0,0,0,42012,573075,0,0.829524005280467,0.852546593830334,6,0.512,0.9,0.1,0.05,0,0.036,0.964,6,0.571,0
"44",159,3,3,11,2,505,11,11,1,0,0,0,0,0,41988,573075,0,1.54891833160353,0.853033902543584,1,0.429,1,0,0,0,0.182,0.818,1,0.431,0
"45",184,3,3,15,3,295,15,15,1,0,0,0,0,1,28064,573075,0,1.41090315528244,1.27626808366591,5,0.549,0.917,0.084,0.042,0,0.333,0.667,5,0.553,0
"46",207,3,3,15,5,704,15,15,1,0,0,0,1,0,28064,573075,0,0.790806047425594,1.27626808366591,5,0.549,0.605,0.395,0.079,0.077,0.038,0.885,5,0.553,0
"47",226,3,3,13,4,1407,13,13,1,0,0,0,0,1,41050,573075,0,1.21282634091833,0.872525883069428,3,0.267,0.929,0.071,0,0,0.043,0.957,3,0.326,0
"48",267,3,3,12,6,2090,12,12,0,1,0,0,0,1,42012,573075,0,1.66645826548178,0.852546593830334,6,0.512,0,1,0.13,0,0.2,0.8,6,0.571,0
"49",290,4,3,9,16,1536,9,9,0,1,1,1,0,0,39517,573075,0,1.13471210201172,0.906374155426778,8,0.062,0.6,0.4,0.2,0.571,0,0.429,8,0.067,0
"50",298,4,3,9,7,18276,9,9,0,1,1,0,0,0,39517,573075,0,0.385794781344248,0.906374155426778,8,0.062,0.6,0.4,0.1,0,0.111,0.889,8,0.067,0
"51",328,4,3,5,8,2635,5,5,1,0,0,0,0,1,39801,573075,0,0.313998557877757,0.89990672344916,8,0.198,0.877,0.123,0.055,0.429,0,0.571,8,0.15,0
"52",1,1,4,11,2,730,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,1,0.289,1,0,0,0.273,0.727,0,1,0.306,0
