"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,3,4,9,4,4,4,864,0.35,0.308199415631848,0.0418005843681519,0,1,0
"2",2,1,3,4,9,4,4,4,769,0.35,0.308199415631848,0.0418005843681519,0,0,1
"3",3,1,3,4,9,2,4,4,2154,0.35,0.308199415631848,0.0418005843681519,0,1,0
"4",4,1,3,4,9,2,4,4,713,0.35,0.308199415631848,0.0418005843681519,0,1,0
"5",5,1,3,4,9,2,4,4,1292,0.35,0.308199415631848,0.0418005843681519,0,1,0
"6",6,1,3,4,9,4,4,4,1046,0.35,0.308199415631848,0.0418005843681519,0,1,0
"7",7,1,3,4,9,4,4,4,1254,0.35,0.308199415631848,0.0418005843681519,0,1,0
"8",8,1,3,4,9,2,4,4,625,0.35,0.308199415631848,0.0418005843681519,0,1,0
"9",9,1,3,4,9,2,4,4,427,0.35,0.308199415631848,0.0418005843681519,0,1,0
"10",10,1,3,4,9,2,4,4,1829,0.35,0.308199415631848,0.0418005843681519,0,1,0
"11",11,1,3,2,9,2,2,2,628,0.514,0.585446430524865,0.0714464305248649,0,1,0
"12",12,1,3,2,9,2,2,2,396,0.514,0.585446430524865,0.0714464305248649,0,1,0
"13",13,1,3,2,9,4,2,2,1409,0.514,0.585446430524865,0.0714464305248649,0,0,1
"14",14,1,3,2,9,2,2,2,711,0.514,0.585446430524865,0.0714464305248649,0,0,1
"15",15,1,3,2,9,2,2,2,722,0.514,0.585446430524865,0.0714464305248649,0,1,0
"16",16,1,3,2,9,2,2,2,1481,0.514,0.585446430524865,0.0714464305248649,0,1,0
"17",17,1,3,2,9,2,2,2,612,0.514,0.585446430524865,0.0714464305248649,0,1,0
"18",18,1,3,4,10,2,4,4,1331,0.35,0.308199415631848,0.0418005843681519,0,1,0
"19",19,1,3,4,10,2,4,4,1148,0.35,0.308199415631848,0.0418005843681519,0,1,0
"20",20,1,3,2,10,2,2,2,1667,0.514,0.585446430524865,0.0714464305248649,0,1,0
"21",21,1,3,2,10,2,2,2,1435,0.514,0.585446430524865,0.0714464305248649,0,1,0
"22",22,1,3,2,10,2,2,2,2188,0.514,0.585446430524865,0.0714464305248649,0,1,0
"23",23,1,3,2,10,2,2,2,1140,0.514,0.585446430524865,0.0714464305248649,0,1,0
"24",24,1,3,2,10,2,2,2,824,0.514,0.585446430524865,0.0714464305248649,0,1,0
"25",25,1,3,2,10,2,2,2,1224,0.514,0.585446430524865,0.0714464305248649,0,1,0
"26",26,1,3,2,10,2,2,2,1199,0.514,0.585446430524865,0.0714464305248649,0,1,0
"27",27,1,3,2,10,2,2,2,1289,0.514,0.585446430524865,0.0714464305248649,0,1,0
"28",28,1,3,2,10,2,2,2,4007,0.514,0.585446430524865,0.0714464305248649,0,1,0
"29",29,1,3,2,10,2,2,2,2084,0.514,0.585446430524865,0.0714464305248649,0,1,0
"30",30,1,3,2,10,2,2,2,2203,0.514,0.585446430524865,0.0714464305248649,0,1,0
"31",31,1,3,2,10,2,2,2,1424,0.514,0.585446430524865,0.0714464305248649,0,1,0
"32",32,1,3,2,10,2,2,2,1525,0.514,0.585446430524865,0.0714464305248649,0,1,0
"33",33,1,3,2,9,4,2,2,401,0.514,0.585446430524865,0.0714464305248649,0,0,1
"34",34,1,3,2,9,4,2,2,934,0.514,0.585446430524865,0.0714464305248649,0,0,1
"35",35,1,3,2,9,4,2,2,160,0.514,0.585446430524865,0.0714464305248649,1,0,0
"36",36,1,3,2,10,4,2,2,472,0.514,0.585446430524865,0.0714464305248649,1,0,0
"37",37,1,3,4,10,4,4,4,344,0.35,0.308199415631848,0.0418005843681519,1,0,0
"38",38,1,3,4,10,4,4,4,191,0.35,0.308199415631848,0.0418005843681519,1,0,0
