"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8","dist2015","dist2017","elec_cong_2016","elec_cong_2017","elec_cong_2018","elec_cong_2019","PANgob_antes","PRIgob_antes","PRDgob_antes","PVEMgob_antes","MCgob_antes","Indgob_antes","PANgob_despues","PRIgob_despues","PRDgob_despues","Morenagob_despues","MCgob_despues","Indgob_despues","PESgob_despues","PANcong_antes","PRIcong_antes","PRDcong_antes","PVEMcong_antes","MCcong_antes","PANcong_despues","PRIcong_despues","MCcong_despues","PENDIENTEcong_despues","Morenacong_despues","PANgober_2antes","PRIgober_2antes","PRDgober_2antes"
"17",415,6,1,1,3,6799,1,1,0,0,1,0,0,0,1,1,0.444,0.407,0.148,0.238,0.762,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"18",508,1,1,5,12,830,5,5,1,0,0,0,0,0,5,1,0.684,0,0.316,0.222,0.778,0,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"19",1,1,2,15,14,1952,7,7,1,0,0,1,0,0,7,1,0.901,0.079,0.02,0.857,0.143,0,7,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"20",11,1,2,16,14,2910,6,6,1,0,0,1,0,0,6,1,0.901,0.079,0.02,0.857,0.143,0,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"21",126,1,2,17,15,19001,8,8,1,0,0,1,0,0,8,1,0.72,0.271,0.009,0.692,0.297,0.011,8,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"22",211,2,2,4,1,948,1,1,1,0,0,1,0,0,1,1,1,0,0,0.986,0.014,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"23",217,2,2,3,2,389,5,5,1,0,0,1,0,0,5,1,1,0,0,0.959,0.041,0,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"24",375,2,2,2,4,1012,4,4,1,0,0,1,0,0,4,1,0.973,0.027,0,0.955,0.045,0,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"25",495,2,2,5,6,1785,3,3,1,0,0,1,0,0,3,1,0.792,0.092,0.117,0.541,0.459,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"26",549,2,2,1,5,1043,2,2,0,1,0,0,1,0,2,1,0.481,0.321,0.198,0.534,0.466,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"27",694,3,2,6,7,1939,12,12,1,0,0,1,0,0,12,1,0.61,0.073,0.317,0.71,0.29,0,12,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"28",735,4,2,11,8,2750,16,16,1,0,0,1,0,0,16,1,0.949,0.036,0.014,0.734,0.266,0,16,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"29",739,4,2,10,8,1284,11,11,1,0,0,1,0,0,11,1,0.949,0.036,0.014,0.734,0.266,0,11,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"30",869,4,2,9,12,563,13,13,1,0,0,1,0,0,13,1,1,0,0,0.802,0.198,0,13,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"31",964,4,2,8,10,1067,17,17,1,0,0,1,0,0,17,1,1,0,0,0.882,0.118,0,17,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"32",966,4,2,12,10,1247,9,9,1,0,0,1,0,0,9,1,1,0,0,0.882,0.118,0,9,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"33",1005,4,2,13,10,1120,14,14,1,0,0,1,0,0,14,1,1,0,0,0.882,0.118,0,14,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"34",1049,4,2,7,13,7721,10,10,1,0,0,1,0,0,10,1,0.93,0.053,0.017,0.952,0.048,0,10,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"35",1158,4,2,14,13,3528,15,15,1,0,0,1,0,0,15,1,0.93,0.053,0.017,0.952,0.048,0,15,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"36",1,1,3,4,9,864,4,4,1,0,0,0,0,1,4,0.308,0.7,0.05,0.25,0,0,1,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"37",3,1,3,4,9,2154,2,4,1,0,0,0,0,1,4,0.308,0.7,0.05,0.25,0,0,1,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"38",48,1,3,4,11,1536,3,4,0,1,0,0,0,0,4,0.308,0.25,0.417,0.333,0.25,0.375,0.375,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"39",75,2,3,1,13,1123,1,1,0,0,1,0,0,0,3,0.23,0.529,0.235,0.235,0,0.333,0.667,3,0.233,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"40",121,3,3,12,1,1400,12,12,0,0,1,0,0,0,12,1,0.947,0,0.053,0,0.036,0.964,12,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"41",122,3,3,11,1,949,11,11,1,0,0,0,1,0,11,1,0.947,0,0.053,0,0.036,0.964,11,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"42",175,3,3,16,2,1638,16,16,1,0,0,0,0,0,16,1,1,0,0,0,0.182,0.818,16,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"43",184,3,3,15,3,295,15,15,1,0,0,0,0,1,15,1,0.957,0,0.043,0,0.333,0.667,15,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"44",186,3,3,13,3,1024,13,13,1,0,0,0,0,0,13,1,0.957,0,0.043,0,0.333,0.667,13,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"45",290,4,3,9,16,1536,9,9,0,0,1,1,0,0,9,1,0.75,0,0.25,0.571,0,0.429,9,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"46",291,4,3,8,16,2167,8,8,1,0,0,0,0,1,8,1,0.75,0,0.25,0.571,0,0.429,8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"47",299,4,3,10,7,1467,10,10,1,0,0,0,0,1,10,1,0.667,0.222,0.111,0,0.111,0.889,10,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"48",317,4,3,5,16,1785,5,5,1,0,0,1,0,0,5,1,0.75,0,0.25,0.571,0,0.429,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"49",332,4,3,6,8,11664,6,6,1,0,0,1,0,0,6,1,0.928,0.014,0.058,0.429,0,0.571,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"50",355,4,3,7,8,1833,7,7,1,0,0,0,0,0,7,1,0.928,0.014,0.058,0.429,0,0.571,7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"51",1,1,4,11,2,730,9,11,1,0,0,0,1,0,9,0.452,1,0,0,0.273,0.727,0,9,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"52",4,1,4,5,2,14373,10,5,1,0,0,0,0,0,10,1,1,0,0,0.273,0.727,0,10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"53",17,1,4,7,7,7054,7,7,0,0,1,1,0,0,7,0.723,0.143,0.667,0.19,0.214,0.786,0,7,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"54",42,1,4,8,3,1330,5,8,1,0,0,0,1,0,5,0.795,1,0,0,0,1,0,5,0.7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"55",53,1,4,9,5,1229,6,9,1,0,0,0,1,0,6,0.708,0.958,0,0.042,0.045,0.955,0,6,0.538,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"56",56,1,4,6,5,1053,13,6,1,0,0,0,1,0,13,0.966,0.958,0,0.042,0.045,0.955,0,13,0.957,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"57",89,1,4,10,5,1147,12,10,1,0,0,0,1,0,12,0.305,0.958,0,0.042,0.045,0.955,0,12,0.326,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"58",136,1,4,10,6,348,8,10,0,1,0,0,1,0,12,0.305,0.346,0.462,0.192,0.053,0.947,0,12,0.326,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"59",147,2,4,1,17,2181,1,1,0,0,1,0,1,0,1,0.735,0.625,0.083,0.292,0.062,0.938,0,1,0.733,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"60",157,2,4,3,19,754,3,3,0,1,0,0,1,0,3,0.664,0.267,0.533,0.2,0.067,0.933,0,3,0.649,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"61",172,2,4,1,17,1908,2,1,0,1,0,0,1,0,1,0.735,0.625,0.083,0.292,0.062,0.938,0,1,0.733,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"62",183,3,4,15,11,7130,14,15,1,0,0,1,0,0,19,0.52,1,0,0,0.667,0.333,0,19,0.571,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"63",184,3,4,15,11,6256,19,15,1,0,0,1,0,0,19,0.52,1,0,0,0.667,0.333,0,19,0.571,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"64",187,3,4,12,9,1834,17,12,1,0,0,1,0,0,17,0.666,1,0,0,0.85,0.15,0,17,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"65",216,3,4,17,8,1002,18,17,1,0,0,1,0,0,14,0.518,1,0,0,0.947,0.053,0,14,0.562,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"66",230,3,4,13,11,8216,15,13,1,0,0,0,1,0,15,1,1,0,0,0.667,0.333,0,15,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"67",250,3,4,14,12,3209,16,14,0,0,1,1,0,0,16,1,0.364,0.455,0.182,0.3,0.7,0,16,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"68",273,10,4,4,14,3519,4,4,0,1,0,0,0,0,4,1,0.133,0.833,0.033,0.444,0.556,0,4,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"69",303,4,4,21,15,951,11,21,1,0,0,0,1,0,11,0.924,0.68,0.24,0.08,0.05,0.95,0,11,0.852,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"70",356,9,4,18,21,2711,21,18,0,1,0,0,1,0,21,1,0,0.962,0.038,0.133,0.867,0,21,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"71",448,9,4,19,13,3785,20,19,0,0,1,0,1,0,20,1,0.643,0.25,0.107,0.125,0.875,0,20,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"72",1,1,5,5,13,760,6,5,0,0,1,0,1,0,4,0.578,0.673,0.1,0.227,0.039,0.961,0,4,0.484,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"73",3,2,5,1,15,3083,5,3,1,0,0,0,1,0,5,1,0.783,0.152,0.065,0,1,0,5,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"74",57,4,5,12,5,7004,7,11,0,0,1,0,1,0,7,0.857,0.252,0.643,0.104,0.058,0.942,0,7,0.81,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"75",84,6,5,6,12,2839,2,2,1,0,0,0,1,0,1,0.278,0.803,0.128,0.068,0.385,0.615,0,1,0.228,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"76",131,9,5,7,10,2483,3,8,1,0,0,0,1,0,3,0.79,0.407,0.537,0.057,0,0.981,0.019,3,0.684,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"77",173,10,5,6,11,5509,1,2,0,0,1,1,0,0,1,0.278,0.705,0.18,0.115,0.442,0.558,0,1,0.228,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"78",323,18,5,5,12,1429,4,5,0,0,1,1,0,0,4,0.578,0.803,0.128,0.068,0.385,0.615,0,4,0.484,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"79",577,25,5,2,16,4421,8,16,0,0,1,0,1,0,8,0.835,0.908,0.034,0.057,0.035,0.965,0,8,0.784,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"80",730,30,5,14,4,2708,16,13,1,0,0,1,0,0,14,0.393,0.966,0.034,0,0.493,0.507,0,14,0.495,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"81",743,30,5,13,4,1456,13,12,1,0,0,1,0,0,13,0.513,0.966,0.034,0,0.493,0.507,0,13,0.559,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"82",753,30,5,14,1,2321,14,13,1,0,0,1,0,0,14,0.393,1,0,0,0.568,0.432,0,14,0.495,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"83",930,30,5,16,3,2822,15,15,1,0,0,0,1,0,15,0.599,1,0,0,0.25,0.75,0,15,0.535,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"84",1172,35,5,8,9,4860,12,7,1,0,0,0,0,0,12,1,1,0,0,0.571,0.429,0,12,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"85",1188,35,5,9,9,1195,11,10,1,0,0,1,0,0,11,1,1,0,0,0.571,0.429,0,11,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"86",1318,35,5,11,9,1338,9,9,1,0,0,0,0,0,9,1,1,0,0,0.571,0.429,0,9,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"87",1379,35,5,10,8,633,10,6,1,0,0,1,0,0,10,1,1,0,0,0.438,0.562,0,10,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"88",1,1,6,6,1,5884,15,11,1,0,0,1,0,0,15,0.95,0.8,0,0.2,0.833,0.167,0,15,0.931,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"89",3,1,6,2,2,1916,16,12,1,0,0,1,0,0,16,0.748,1,0,0,0.793,0.207,0,16,0.8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"90",22,1,6,6,1,950,14,11,1,0,0,0,0,0,15,0.95,0.8,0,0.2,0.833,0.167,0,15,0.931,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"91",33,1,6,1,2,1493,13,9,1,0,0,1,0,0,13,0.441,1,0,0,0.793,0.207,0,13,0.429,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"92",92,2,6,4,4,2841,1,14,0,0,1,1,0,0,1,0.36,0.292,0.333,0.375,0.667,0.333,0,1,0.371,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"93",108,3,6,5,5,1740,2,13,1,0,0,1,0,0,3,0.34,0.552,0.207,0.241,0.417,0.583,0,3,0.35,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"94",138,5,6,7,7,7725,4,15,1,0,0,0,1,0,3,0.241,1,0,0,0.846,0.154,0,3,0.267,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"95",140,5,6,7,4,5100,3,15,0,0,1,0,0,0,3,0.241,0.292,0.333,0.375,0.667,0.333,0,3,0.267,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"96",153,5,6,8,7,1436,5,16,1,0,0,1,0,0,5,1,1,0,0,0.846,0.154,0,5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"97",191,7,6,16,3,1559,12,7,1,0,0,0,1,0,12,1,0.393,0.464,0.143,0.174,0.826,0,12,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"98",200,8,6,13,13,463,8,4,0,0,1,0,0,0,8,0.548,0.923,0,0.077,0.867,0.133,0,8,0.529,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"99",213,8,6,13,13,1344,7,4,1,0,0,0,0,0,8,0.548,0.923,0,0.077,0.867,0.133,0,8,0.529,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"100",234,8,6,14,11,2523,6,2,0,0,1,1,0,0,7,0.282,0.571,0.214,0.214,0.8,0.2,0,7,0.295,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"101",244,8,6,12,14,6988,9,3,1,0,0,1,0,0,9,0.928,0.15,0.45,0.4,0.438,0.562,0,9,0.714,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"102",277,10,6,10,10,4006,10,6,0,0,1,0,1,0,10,1,0.579,0.105,0.316,0.176,0.824,0,10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"103",298,10,6,15,9,1725,11,8,0,0,1,0,1,0,11,1,0.5,0.077,0.423,0.087,0.913,0,11,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
