"edon.x","disloc2013","disloc2016","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
32,14,14,1,7,0.507,0.507,1
32,15,14,1,7,0.507,0.507,1
32,3,2,15,14,0.429,0.278,0.611
32,12,16,16,17,1,0.881,0.881
32,18,12,18,15,0.457,0.912,0.429
32,6,11,2,6,0.218,0.279,0.567
32,16,17,14,18,0.659,1,0.646
32,11,7,8,12,0.257,0.305,0.315
32,8,5,8,10,0.257,0.367,0.297
32,17,18,18,16,0.457,0.878,0.335
32,10,13,4,2,0.426,0.426,1
32,4,3,13,8,0.615,0.717,0.349
32,5,3,13,8,0.615,0.717,0.349
32,7,10,15,5,0.429,0.427,0.23
32,9,9,3,3,0.708,0.708,1
32,13,15,5,1,1,1,1
32,1,2,10,14,0.293,0.278,0.611
32,2,2,10,14,0.293,0.278,0.611
