"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
16,19,14,5,14,0.726,0.845,0.4
16,21,10,8,10,0.802,0.897,0.734
16,8,12,9,12,0.438,0.738,0.572
16,2,9,13,9,0.49,0.709,0.64
16,13,2,14,2,0.904,1,0.828
16,23,11,3,11,0.814,0.656,0.556
16,3,8,15,8,0.281,1,0.904
16,22,16,3,16,0.814,0.872,0.534
16,4,1,11,1,0.918,0.887,0.805
16,18,6,4,6,0.384,0.764,0.433
16,7,4,10,4,0.248,0.248,1
16,9,15,2,15,0.584,0.453,0.801
16,5,15,2,15,0.584,0.453,0.801
16,1,5,13,5,0.49,0.806,0.753
16,15,4,10,4,0.248,0.248,1
16,12,3,12,3,0.601,0.601,1
16,24,18,18,18,1,1,1
16,10,20,22,20,0.397,0.57,0.579
16,11,21,22,21,0.397,0.31,0.433
16,17,19,21,19,0.631,0.41,0.493
16,16,19,22,19,0.397,0.41,0.493
16,20,11,8,11,0.802,0.656,0.556
16,14,4,10,4,0.248,0.248,1
16,6,17,17,17,1,1,1
16,NA,22,20,22,0.647,0.537,0.843
