"edon.x","disloc2015","escenario1","dsiSQ_E1"
26,6,3,0.265
26,7,4,0.385
26,3,2,0.718
26,18,3,0.265
26,5,3,0.265
26,4,14,0.593
26,8,8,0.355
26,10,7,0.491
26,9,7,0.491
26,12,5,0.387
26,11,9,0.264
26,2,16,0.281
26,1,16,0.281
26,14,18,0.938
26,17,12,0.26
26,16,12,0.26
26,15,13,0.47
26,13,19,0.951
26,21,1,0.7
26,20,20,0.79
26,19,21,0.701
