"","SECCION","munn.x","edon.x","disloc2018","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"3",425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"4",426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"5",427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"6",428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"7",429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"8",502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"9",503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"12",536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"13",537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"14",538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"15",539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"16",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"20",594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"23",597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"25",599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"27",601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"28",602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"29",603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"30",604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"39",613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"45",619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"46",620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"50",624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"52",626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"53",627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"54",628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"55",629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"56",630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"58",765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
