"","SECCION","munn.x","edon.x","disloc2018","disloc2010","escenario1","escenario2","escenario3_tribunal","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"102",1010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"104",1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",1013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"106",1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",1015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",1017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"111",1019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"113",1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",1022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",1023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"116",1024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",1025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",1026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",1028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",1030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",1031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",1032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",1033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"127",1035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",1036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"129",1037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"130",1038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"131",1039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",1040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"133",1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"134",1042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"135",1043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"136",1044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"137",1045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"138",1046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"139",1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"140",1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"141",1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"142",1050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"143",1051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"144",1052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",1053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"147",1055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
