"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"53",53,1,4,"cam",9,5,6,9,9,1229,0.364,0.371582049464692,0.00758204946469199,0,0,0
"54",54,1,4,"cam",10,5,6,10,10,977,0.415,0.355501915838158,0.059498084161842,0,0,0
"55",55,1,4,"cam",9,5,9,9,9,1439,0.364,0.371582049464692,0.00758204946469199,0,0,0
"56",56,1,4,"cam",6,5,13,6,6,1053,0.913,0.93917622036624,0.02617622036624,0,0,0
"57",57,1,4,"cam",6,4,13,6,6,1182,0.913,0.93917622036624,0.02617622036624,0,0,0
"58",58,1,4,"cam",6,4,13,6,6,1174,0.913,0.93917622036624,0.02617622036624,0,0,0
"59",59,1,4,"cam",6,4,13,6,6,1261,0.913,0.93917622036624,0.02617622036624,0,0,0
"60",60,1,4,"cam",8,3,5,8,8,1122,0.684,0.755999630791951,0.0719996307919509,0,0,0
"61",61,1,4,"cam",8,3,5,8,8,1173,0.684,0.755999630791951,0.0719996307919509,0,0,0
"62",62,1,4,"cam",8,3,5,8,8,1456,0.684,0.755999630791951,0.0719996307919509,0,0,0
"63",63,1,4,"cam",8,3,7,8,8,1806,0.684,0.755999630791951,0.0719996307919509,0,0,0
"64",64,1,4,"cam",8,3,5,8,8,1614,0.684,0.755999630791951,0.0719996307919509,0,0,0
"65",65,1,4,"cam",8,3,5,8,8,2187,0.684,0.755999630791951,0.0719996307919509,0,0,0
"66",66,1,4,"cam",8,3,5,8,8,1374,0.684,0.755999630791951,0.0719996307919509,0,0,0
"67",67,1,4,"cam",8,3,5,8,8,1224,0.684,0.755999630791951,0.0719996307919509,0,0,0
"68",68,1,4,"cam",6,4,13,6,6,1605,0.913,0.93917622036624,0.02617622036624,0,0,0
"69",69,1,4,"cam",6,4,13,6,6,1164,0.913,0.93917622036624,0.02617622036624,0,0,0
"70",70,1,4,"cam",6,4,13,6,6,1418,0.913,0.93917622036624,0.02617622036624,0,0,0
"71",71,1,4,"cam",9,5,9,9,9,1122,0.364,0.371582049464692,0.00758204946469199,0,0,0
"72",72,1,4,"cam",10,5,6,10,10,1405,0.415,0.355501915838158,0.059498084161842,0,0,0
"73",73,1,4,"cam",10,5,6,10,10,1589,0.415,0.355501915838158,0.059498084161842,0,0,0
"74",74,1,4,"cam",9,5,6,9,9,1374,0.364,0.371582049464692,0.00758204946469199,0,0,0
"75",75,1,4,"cam",9,5,6,9,9,2803,0.364,0.371582049464692,0.00758204946469199,0,0,0
"76",76,1,4,"cam",9,5,9,9,9,1071,0.364,0.371582049464692,0.00758204946469199,0,0,0
"77",77,1,4,"cam",6,4,13,6,6,1156,0.913,0.93917622036624,0.02617622036624,0,0,0
"78",78,1,4,"cam",6,4,13,6,6,1053,0.913,0.93917622036624,0.02617622036624,0,0,0
"79",79,1,4,"cam",8,3,5,8,8,10392,0.684,0.755999630791951,0.0719996307919509,0,0,0
"80",80,1,4,"cam",8,3,5,8,8,927,0.684,0.755999630791951,0.0719996307919509,0,0,0
"81",81,1,4,"cam",7,7,7,7,7,16103,0.136,0.122314049586777,0.013685950413223,0,0,0
"82",82,1,4,"cam",8,3,5,8,8,1360,0.684,0.755999630791951,0.0719996307919509,0,0,0
"83",83,1,4,"cam",8,3,5,8,8,6797,0.684,0.755999630791951,0.0719996307919509,0,0,0
"84",84,1,4,"cam",6,4,13,6,6,1111,0.913,0.93917622036624,0.02617622036624,0,0,0
