"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,24,4,4,4,2,1,1602,1,1,0,0,1,0
"2",2,1,24,4,4,4,2,1,2706,1,1,0,0,1,0
"3",3,1,24,4,4,4,2,1,358,1,1,0,1,0,0
"4",4,1,24,4,4,4,2,1,560,1,1,0,1,0,0
"5",5,1,24,4,4,4,2,1,357,1,1,0,1,0,0
"6",6,1,24,4,4,4,2,1,2030,1,1,0,1,0,0
"7",7,1,24,4,4,4,2,1,1667,1,1,0,1,0,0
"8",8,1,24,4,4,4,2,1,2175,1,1,0,1,0,0
"9",9,1,24,4,4,4,2,1,395,1,1,0,1,0,0
"10",10,1,24,4,4,4,2,1,201,1,1,0,1,0,0
"11",11,1,24,4,4,4,2,1,1664,1,1,0,1,0,0
"12",12,1,24,4,4,4,2,1,881,1,1,0,1,0,0
"13",13,1,24,4,4,4,2,1,1496,1,1,0,1,0,0
"14",14,1,24,4,4,4,2,1,2993,1,1,0,1,0,0
"15",98,6,24,1,1,3,1,5,1625,0.891,0.918786648877129,0.0277866488771289,0,0,1
"16",99,6,24,1,1,3,1,5,220,0.891,0.918786648877129,0.0277866488771289,1,0,0
"17",101,6,24,1,1,3,1,5,502,0.891,0.918786648877129,0.0277866488771289,1,0,0
"18",102,6,24,1,1,3,1,5,385,0.891,0.918786648877129,0.0277866488771289,1,0,0
"19",103,6,24,1,1,3,1,5,543,0.891,0.918786648877129,0.0277866488771289,1,0,0
"20",105,6,24,1,1,3,1,5,364,0.891,0.918786648877129,0.0277866488771289,1,0,0
"21",106,6,24,1,1,3,1,5,1342,0.891,0.918786648877129,0.0277866488771289,1,0,0
"22",107,6,24,1,1,3,1,5,248,0.891,0.918786648877129,0.0277866488771289,1,0,0
"23",108,6,24,1,1,3,1,5,587,0.891,0.918786648877129,0.0277866488771289,1,0,0
"24",109,6,24,1,1,3,1,5,313,0.891,0.918786648877129,0.0277866488771289,1,0,0
"25",110,6,24,1,1,3,1,5,283,0.891,0.918786648877129,0.0277866488771289,1,0,0
"26",111,6,24,1,1,3,1,5,417,0.891,0.918786648877129,0.0277866488771289,1,0,0
"27",112,6,24,1,1,3,1,5,670,0.891,0.918786648877129,0.0277866488771289,1,0,0
"28",113,6,24,1,1,3,1,5,342,0.891,0.918786648877129,0.0277866488771289,1,0,0
"29",114,6,24,1,1,3,1,5,170,0.891,0.918786648877129,0.0277866488771289,1,0,0
"30",115,6,24,1,1,3,1,5,470,0.891,0.918786648877129,0.0277866488771289,1,0,0
"31",116,6,24,1,1,3,1,5,361,0.891,0.918786648877129,0.0277866488771289,1,0,0
"32",117,6,24,1,1,3,1,5,287,0.891,0.918786648877129,0.0277866488771289,1,0,0
