"","SECCION","munn.x","edon.x","disloc2015","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"2",13,1,23,13,3,1,1,3,1422,0.296,0.647024111074616,0.351024111074616,0,0,0
"3",13,1,23,13,3,1,1,3,5385,0.296,0.519352532938594,0.223352532938594,0,0,0
"4",13,1,23,13,3,1,1,3,2564,0.296,0.558775244299674,0.262775244299674,0,0,0
"5",13,1,23,13,3,1,1,3,2261,0.296,0.616422579490452,0.320422579490452,0,0,0
"6",13,1,23,13,3,1,1,3,2696,0.296,1,0.704,0,0,0
"7",13,1,23,13,3,1,1,3,2734,0.296,1,0.704,0,0,0
"8",13,1,23,13,3,1,1,3,2786,0.296,0.519352532938594,0.223352532938594,0,0,0
"9",13,1,23,13,3,1,1,3,1298,0.296,1,0.704,0,0,0
"10",13,1,23,13,3,1,1,3,2668,0.296,0.558775244299674,0.262775244299674,0,0,0
"11",13,1,23,13,3,1,1,3,1723,0.296,0.869223717654902,0.573223717654902,0,0,0
"12",13,1,23,13,3,1,1,3,3077,0.296,0.507186982678564,0.211186982678564,0,0,0
"13",13,1,23,13,3,1,1,3,1969,0.296,1,0.704,0,0,0
"14",13,1,23,13,3,1,1,3,3167,0.296,0.869223717654902,0.573223717654902,0,0,0
"15",13,1,23,13,3,1,1,3,1153,0.296,1,0.704,0,0,0
"16",13,1,23,13,3,1,1,3,14321,0.296,1,0.704,0,0,0
"17",13,1,23,13,3,1,1,3,1715,0.296,1,0.704,0,0,0
"18",13,1,23,13,3,1,1,3,1398,0.296,1,0.704,0,0,0
"19",13,1,23,13,3,1,1,3,11799,0.296,1,0.704,0,0,0
"20",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"21",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"27",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"28",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"29",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"30",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"39",459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"40",460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"45",465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"48",468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"49",469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"50",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"51",471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"56",476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"57",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"58",478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"59",479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"60",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"61",481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"62",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"63",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"64",484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"65",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"66",486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"68",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"69",489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"73",493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"75",495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"76",496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"77",497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
