"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"54",874,5,9,"df",1,1,12,12,12,1804,0.752,0.818982423557729,0.066982423557729,0,0,0
"55",875,5,9,"df",1,1,12,12,12,2303,0.752,0.818982423557729,0.066982423557729,0,0,0
"56",876,5,9,"df",1,1,12,12,12,3631,0.752,0.818982423557729,0.066982423557729,0,0,0
"57",877,5,9,"df",1,1,12,12,12,3808,0.752,0.818982423557729,0.066982423557729,0,0,0
"58",878,5,9,"df",1,1,12,12,12,2277,0.752,0.818982423557729,0.066982423557729,0,0,0
"59",879,5,9,"df",1,1,12,12,12,1995,0.752,0.818982423557729,0.066982423557729,0,0,0
"60",880,5,9,"df",1,1,12,12,12,1850,0.752,0.818982423557729,0.066982423557729,0,0,0
"61",881,5,9,"df",1,1,12,12,12,2584,0.752,0.818982423557729,0.066982423557729,0,0,0
"62",882,5,9,"df",1,1,12,12,12,2007,0.752,0.818982423557729,0.066982423557729,0,0,0
"63",883,5,9,"df",1,1,12,12,12,2270,0.752,0.818982423557729,0.066982423557729,0,0,0
"64",884,5,9,"df",1,1,12,12,12,1718,0.752,0.818982423557729,0.066982423557729,0,0,0
"65",885,5,9,"df",1,1,12,12,12,1707,0.752,0.818982423557729,0.066982423557729,0,0,0
"66",886,5,9,"df",1,1,12,12,12,1531,0.752,0.818982423557729,0.066982423557729,0,0,0
"67",887,5,9,"df",1,1,12,12,12,2042,0.752,0.818982423557729,0.066982423557729,0,0,0
"68",888,5,9,"df",1,1,12,12,12,2016,0.752,0.818982423557729,0.066982423557729,0,0,0
"69",889,5,9,"df",1,1,12,12,12,1712,0.752,0.818982423557729,0.066982423557729,0,0,0
"70",890,5,9,"df",1,1,12,12,12,1790,0.752,0.818982423557729,0.066982423557729,0,0,0
"71",891,5,9,"df",1,1,12,12,12,2100,0.752,0.818982423557729,0.066982423557729,0,0,0
"72",892,5,9,"df",1,1,12,12,12,1645,0.752,0.818982423557729,0.066982423557729,0,0,0
"73",893,5,9,"df",1,1,12,12,12,2287,0.752,0.818982423557729,0.066982423557729,0,0,0
"74",894,5,9,"df",1,1,12,12,12,3014,0.752,0.818982423557729,0.066982423557729,0,0,0
"75",895,5,9,"df",1,1,12,12,12,3028,0.752,0.818982423557729,0.066982423557729,0,0,0
"76",896,5,9,"df",1,1,12,12,12,2888,0.752,0.818982423557729,0.066982423557729,0,0,0
"77",897,5,9,"df",1,1,12,12,12,1803,0.752,0.818982423557729,0.066982423557729,0,0,0
"78",898,5,9,"df",1,1,12,12,12,1736,0.752,0.818982423557729,0.066982423557729,0,0,0
"79",899,5,9,"df",1,1,12,12,12,1687,0.752,0.818982423557729,0.066982423557729,0,0,0
"80",900,5,9,"df",1,1,12,12,12,1981,0.752,0.818982423557729,0.066982423557729,0,0,0
"81",901,5,9,"df",1,1,12,12,12,1773,0.752,0.818982423557729,0.066982423557729,0,0,0
"82",902,5,9,"df",1,1,12,12,12,1595,0.752,0.818982423557729,0.066982423557729,0,0,0
"83",903,5,9,"df",1,1,12,12,12,1700,0.752,0.818982423557729,0.066982423557729,0,0,0
"84",904,5,9,"df",1,1,12,12,12,1743,0.752,0.818982423557729,0.066982423557729,0,0,0
"85",905,5,9,"df",1,1,12,12,12,2165,0.752,0.818982423557729,0.066982423557729,0,0,0
"86",906,5,9,"df",1,1,12,12,12,2175,0.752,0.818982423557729,0.066982423557729,0,0,0
