"edon.x","disloc2013","disloc2016","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
8,1,11,1,1,0.531,0.531,1
8,10,11,1,1,0.531,0.531,1
8,22,20,3,2,0.734,0.885,0.83
8,11,13,5,4,0.386,0.415,0.891
8,21,22,6,6,0.757,0.757,1
8,14,13,5,4,0.386,0.415,0.891
8,12,20,3,2,0.734,0.885,0.83
8,13,14,7,7,1,0.921,0.921
8,19,18,10,10,0.271,0.271,1
8,18,16,11,11,0.424,0.424,1
8,16,18,10,10,0.271,0.271,1
8,15,12,9,9,0.52,0.52,1
8,17,12,9,9,0.52,0.52,1
8,20,19,8,8,1,0.866,0.866
8,2,2,16,16,0.264,0.264,1
8,3,4,22,21,0.399,0.399,1
8,6,2,16,16,0.264,0.264,1
8,4,5,19,20,0.161,0.161,1
8,9,5,19,20,0.161,0.161,1
8,7,5,19,20,0.161,0.161,1
8,5,4,22,21,0.399,0.399,1
8,8,9,18,17,0.322,0.322,1
