"","SECCION","munn.x","edon.x","edo.x","disloc2018","disloc2011","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1",1,1,2,"bc",4,9,7,7,7,864,0.324,0.261352319199881,0.062647680800119,0,0,0
"2",2,1,2,"bc",4,9,7,7,7,769,0.324,0.261352319199881,0.062647680800119,0,0,1
"3",3,1,2,"bc",4,9,7,7,7,2154,0.324,0.658399338613756,0.334399338613756,0,0,0
"4",4,1,2,"bc",4,9,7,7,7,713,0.324,0.658399338613756,0.334399338613756,0,0,0
"5",5,1,2,"bc",4,9,7,7,7,1292,0.324,0.658399338613756,0.334399338613756,0,0,0
"6",6,1,2,"bc",4,9,7,7,7,1046,0.324,0.261352319199881,0.062647680800119,0,0,0
"7",7,1,2,"bc",4,9,7,7,7,1254,0.324,0.261352319199881,0.062647680800119,0,0,0
"8",8,1,2,"bc",4,9,7,7,7,625,0.324,0.658399338613756,0.334399338613756,0,0,0
"9",9,1,2,"bc",4,9,7,7,7,427,0.324,0.658399338613756,0.334399338613756,0,0,0
"10",10,1,2,"bc",4,9,7,7,7,1829,0.324,0.658399338613756,0.334399338613756,0,0,0
"11",11,1,2,"bc",2,9,6,6,6,628,0.396,0.658399338613756,0.262399338613756,0,0,0
"12",12,1,2,"bc",2,9,6,6,6,396,0.396,0.658399338613756,0.262399338613756,0,0,0
"13",13,1,2,"bc",2,9,6,6,6,1409,0.396,0.261352319199881,0.134647680800119,0,0,1
"14",14,1,2,"bc",2,9,6,6,6,711,0.396,0.658399338613756,0.262399338613756,0,0,1
"15",15,1,2,"bc",2,9,6,6,6,722,0.396,0.658399338613756,0.262399338613756,0,0,0
"16",16,1,2,"bc",2,9,6,6,6,1481,0.396,0.658399338613756,0.262399338613756,0,0,0
"17",17,1,2,"bc",2,9,6,6,6,612,0.396,0.658399338613756,0.262399338613756,0,0,0
"18",18,1,2,"bc",4,10,6,6,6,1331,0.396,0.658399338613756,0.262399338613756,0,0,0
"19",19,1,2,"bc",4,10,6,6,6,1148,0.396,0.658399338613756,0.262399338613756,0,0,0
"20",20,1,2,"bc",2,10,7,7,7,1667,0.324,0.658399338613756,0.334399338613756,0,0,0
"21",21,1,2,"bc",2,10,7,7,7,1435,0.324,0.658399338613756,0.334399338613756,0,0,0
"22",22,1,2,"bc",2,10,7,7,7,2188,0.324,0.658399338613756,0.334399338613756,0,0,0
"23",23,1,2,"bc",2,10,7,7,7,1140,0.324,0.658399338613756,0.334399338613756,0,0,0
"24",24,1,2,"bc",2,10,7,7,7,824,0.324,0.658399338613756,0.334399338613756,0,0,0
"25",25,1,2,"bc",2,10,7,7,7,1224,0.324,0.658399338613756,0.334399338613756,0,0,0
"26",26,1,2,"bc",2,10,7,7,7,1199,0.324,0.658399338613756,0.334399338613756,0,0,0
"27",27,1,2,"bc",2,10,7,7,7,1289,0.324,0.658399338613756,0.334399338613756,0,0,0
"28",28,1,2,"bc",2,10,6,6,6,4007,0.396,0.658399338613756,0.262399338613756,0,0,0
"29",29,1,2,"bc",2,10,6,6,6,2084,0.396,0.658399338613756,0.262399338613756,0,0,0
"30",30,1,2,"bc",2,10,6,6,6,2203,0.396,0.658399338613756,0.262399338613756,0,0,0
"31",31,1,2,"bc",2,10,6,6,6,1424,0.396,0.658399338613756,0.262399338613756,0,0,0
"32",32,1,2,"bc",2,10,6,6,6,1525,0.396,0.658399338613756,0.262399338613756,0,0,0
"33",33,1,2,"bc",2,9,6,6,6,401,0.396,0.261352319199881,0.134647680800119,0,0,1
"34",34,1,2,"bc",2,9,6,6,6,934,0.396,0.261352319199881,0.134647680800119,0,0,1
"35",35,1,2,"bc",2,9,6,6,6,160,0.396,0.261352319199881,0.134647680800119,1,0,0
"36",36,1,2,"bc",2,10,6,6,6,472,0.396,0.261352319199881,0.134647680800119,1,0,0
"37",37,1,2,"bc",4,10,6,6,6,344,0.396,0.261352319199881,0.134647680800119,1,0,0
"38",38,1,2,"bc",4,10,6,6,6,191,0.396,0.261352319199881,0.134647680800119,1,0,0
"39",39,1,2,"bc",2,10,6,6,6,212,0.396,0.261352319199881,0.134647680800119,1,0,0
"40",40,1,2,"bc",4,11,6,6,6,988,0.396,0.261352319199881,0.134647680800119,0,0,1
"41",41,1,2,"bc",4,11,6,6,6,1258,0.396,0.261352319199881,0.134647680800119,0,0,0
"42",42,1,2,"bc",4,11,6,6,6,1682,0.396,0.261352319199881,0.134647680800119,0,0,1
"43",43,1,2,"bc",4,11,7,7,7,1471,0.324,0.261352319199881,0.062647680800119,0,0,1
"44",44,1,2,"bc",4,11,7,7,7,921,0.324,0.261352319199881,0.062647680800119,0,0,0
"45",45,1,2,"bc",4,11,7,7,7,1039,0.324,0.261352319199881,0.062647680800119,0,0,1
"46",46,1,2,"bc",4,11,7,7,7,833,0.324,0.261352319199881,0.062647680800119,0,0,1
"47",47,1,2,"bc",4,11,7,7,7,1230,0.324,0.261352319199881,0.062647680800119,0,0,1
"48",48,1,2,"bc",4,11,7,7,7,1536,0.324,0.271406105959547,0.052593894040453,1,0,0
"49",49,1,2,"bc",4,11,7,7,7,164,0.324,0.261352319199881,0.062647680800119,1,0,0
"50",50,1,2,"bc",4,11,7,7,7,238,0.324,0.261352319199881,0.062647680800119,1,0,0
"51",51,1,2,"bc",4,11,7,7,7,311,0.324,0.261352319199881,0.062647680800119,1,0,0
"52",52,1,2,"bc",4,11,7,7,7,510,0.324,0.261352319199881,0.062647680800119,1,0,0
"53",53,1,2,"bc",4,11,7,7,7,361,0.324,0.261352319199881,0.062647680800119,1,0,0
"54",54,1,2,"bc",4,11,7,7,7,1256,0.324,0.261352319199881,0.062647680800119,1,0,0
"55",55,1,2,"bc",4,11,6,6,6,475,0.396,0.271406105959547,0.124593894040453,1,0,0
"56",56,1,2,"bc",4,11,6,6,6,715,0.396,0.271406105959547,0.124593894040453,0,0,1
"57",57,1,2,"bc",4,11,6,6,6,851,0.396,0.271406105959547,0.124593894040453,0,0,0
"58",58,1,2,"bc",4,11,6,6,6,646,0.396,0.271406105959547,0.124593894040453,0,0,0
"59",59,1,2,"bc",2,11,6,6,6,1254,0.396,0.271406105959547,0.124593894040453,0,0,1
"60",60,1,2,"bc",2,11,6,6,6,1471,0.396,0.271406105959547,0.124593894040453,0,0,0
"61",61,1,2,"bc",2,11,6,6,6,2974,0.396,0.271406105959547,0.124593894040453,0,0,0
"62",62,1,2,"bc",2,11,6,6,6,142,0.396,0.271406105959547,0.124593894040453,1,0,0
"63",63,1,2,"bc",4,12,6,6,6,89,0.396,0.271406105959547,0.124593894040453,1,0,0
"64",66,1,2,"bc",4,12,6,6,6,143,0.396,0.271406105959547,0.124593894040453,1,0,0
"65",67,1,2,"bc",4,12,7,7,7,551,0.324,0.271406105959547,0.052593894040453,1,0,0
