"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"61",452,30,14,"jal",3,0,2,3,3,945,0.991,0.993118838450891,0.002118838450891,1,0,0
"62",453,30,14,"jal",3,0,2,3,3,1491,0.991,0.993118838450891,0.002118838450891,1,0,0
"63",454,30,14,"jal",3,1,2,3,3,1233,0.991,0.993118838450891,0.002118838450891,1,0,0
"64",455,30,14,"jal",3,1,2,3,3,1241,0.991,0.993118838450891,0.002118838450891,1,0,0
"65",456,30,14,"jal",3,1,2,3,3,1071,0.991,0.993118838450891,0.002118838450891,1,0,0
"66",476,32,14,"jal",3,1,2,3,3,1482,0.991,0.993118838450891,0.002118838450891,0,0,1
"67",477,32,14,"jal",3,1,2,3,3,1610,0.991,0.993118838450891,0.002118838450891,1,0,0
"68",478,32,14,"jal",3,1,2,3,3,438,0.991,0.993118838450891,0.002118838450891,1,0,0
"69",530,37,14,"jal",3,1,2,3,3,2702,0.991,0.993118838450891,0.002118838450891,0,0,1
"70",531,37,14,"jal",3,1,2,3,3,3380,0.991,0.993118838450891,0.002118838450891,0,0,1
"71",532,37,14,"jal",3,1,2,3,3,1906,0.991,0.993118838450891,0.002118838450891,0,0,0
"72",533,37,14,"jal",3,1,2,3,3,1648,0.991,0.993118838450891,0.002118838450891,0,0,1
"73",534,37,14,"jal",3,1,2,3,3,741,0.991,0.993118838450891,0.002118838450891,0,0,0
"74",535,37,14,"jal",3,1,2,3,3,1270,0.991,0.993118838450891,0.002118838450891,0,0,0
"75",536,37,14,"jal",3,1,2,3,3,2129,0.991,0.993118838450891,0.002118838450891,0,0,0
"76",537,37,14,"jal",3,1,2,3,3,530,0.991,0.993118838450891,0.002118838450891,0,0,0
"77",538,37,14,"jal",3,1,2,3,3,1913,0.991,0.993118838450891,0.002118838450891,0,0,1
"78",539,37,14,"jal",3,1,2,3,3,1993,0.991,0.993118838450891,0.002118838450891,1,0,0
"79",540,37,14,"jal",3,1,2,3,3,336,0.991,0.993118838450891,0.002118838450891,1,0,0
"80",1549,42,14,"jal",3,1,2,3,3,1263,0.991,0.993118838450891,0.002118838450891,0,0,0
"81",1550,42,14,"jal",3,1,2,3,3,287,0.991,0.993118838450891,0.002118838450891,0,0,0
"82",1551,42,14,"jal",3,1,2,3,3,682,0.991,0.993118838450891,0.002118838450891,0,0,0
"83",1552,42,14,"jal",3,1,2,3,3,1425,0.991,0.993118838450891,0.002118838450891,0,0,0
"84",1553,42,14,"jal",3,1,2,3,3,1741,0.991,0.993118838450891,0.002118838450891,1,0,0
"85",1554,42,14,"jal",3,1,2,3,3,551,0.991,0.993118838450891,0.002118838450891,1,0,0
"86",1555,42,14,"jal",3,1,2,3,3,209,0.991,0.993118838450891,0.002118838450891,1,0,0
"87",1556,42,14,"jal",3,1,2,3,3,398,0.991,0.993118838450891,0.002118838450891,1,0,0
"88",1557,42,14,"jal",3,1,2,3,3,308,0.991,0.993118838450891,0.002118838450891,1,0,0
"89",1558,42,14,"jal",3,1,2,3,3,1221,0.991,0.993118838450891,0.002118838450891,1,0,0
"90",1559,42,14,"jal",3,1,2,3,3,1248,0.991,0.993118838450891,0.002118838450891,1,0,0
"91",1560,42,14,"jal",3,1,2,3,3,952,0.991,0.993118838450891,0.002118838450891,1,0,0
"92",1561,43,14,"jal",3,1,2,3,3,1349,0.991,0.993118838450891,0.002118838450891,0,0,0
"93",1562,43,14,"jal",3,1,2,3,3,1688,0.991,0.993118838450891,0.002118838450891,0,0,1
"94",1563,43,14,"jal",3,1,2,3,3,1058,0.991,0.993118838450891,0.002118838450891,0,0,1
"95",1564,43,14,"jal",3,1,2,3,3,990,0.991,0.993118838450891,0.002118838450891,1,0,0
"96",1565,43,14,"jal",3,1,2,3,3,999,0.991,0.993118838450891,0.002118838450891,1,0,0
"97",1566,44,14,"jal",3,1,2,3,3,2068,0.991,0.993118838450891,0.002118838450891,0,0,0
"98",1567,44,14,"jal",3,1,2,3,3,2667,0.991,0.993118838450891,0.002118838450891,0,0,1
"99",1568,44,14,"jal",3,1,2,3,3,1652,0.991,0.993118838450891,0.002118838450891,0,0,1
