"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
9,5,5,15,15,0.476,0.476,1
9,3,3,16,16,0.695,0.695,1
9,26,26,23,23,0.355,0.355,0.965
9,32,26,21,21,0.868,0.868,1
9,30,26,23,23,0.355,0.355,0.965
9,20,20,31,31,0.543,0.543,1
9,1,1,12,12,0.752,0.752,1
9,2,1,12,12,0.752,0.752,1
9,7,2,10,10,0.511,0.515,0.956
9,4,4,9,9,0.774,0.783,0.947
9,6,4,9,9,0.774,0.783,0.947
9,15,15,19,18,0.357,0.705,0.681
9,14,15,19,18,0.357,0.705,0.681
9,24,24,6,6,0.723,0.655,0.906
9,21,24,6,6,0.723,0.655,0.906
9,19,21,7,7,0.368,0.329,0.945
9,22,22,8,8,0.575,0.575,1
9,28,24,5,6,0.717,0.655,0.906
9,29,21,7,7,0.368,0.329,0.945
9,27,27,3,3,0.932,0.932,1
9,31,31,7,7,0.368,0.329,0.945
9,33,33,1,1,1,1,1
9,34,7,28,25,0.341,0.842,0.336
9,18,18,33,33,0.75,0.75,1
9,23,23,32,32,0.659,0.659,1
9,25,18,33,33,0.75,0.75,1
9,35,8,26,26,0.692,0.848,0.675
9,38,16,30,28,0.788,0.784,0.943
9,37,14,29,27,0.812,0.783,0.963
9,40,14,29,27,0.812,0.783,0.963
9,39,19,27,29,0.847,0.351,0.39
9,36,25,25,30,0.492,0.552,0.38
9,16,17,24,24,0.604,0.604,0.966
9,17,17,24,24,0.604,0.604,0.966
9,13,12,14,14,0.597,0.597,1
9,9,9,13,13,0.821,0.821,1
9,12,9,13,13,0.821,0.821,1
9,8,13,17,17,0.439,0.439,1
9,10,10,20,20,0.595,0.788,0.785
9,11,10,20,20,0.595,0.788,0.785
