"","SECCION","munn.x","edon.x","edo","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"85",1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"86",1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"87",1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",1874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"90",1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"91",1876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"94",1879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"95",1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"96",1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"97",1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"98",1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"99",1888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"100",1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"101",1890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"102",1891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",1892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"104",1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"106",1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",1911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"113",1912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",1914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",1915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"116",1916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"127",1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
