"","SECCION","munn.x","edon.x","disloc2017","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"71",328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"72",625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"73",626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"75",630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"76",1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"77",1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"85",638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"86",639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"87",640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"90",643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"91",644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"94",647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"95",648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"96",652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"97",653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"98",654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"99",655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"100",656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"101",657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"102",658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"104",660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"106",662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"113",669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"116",672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"127",683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"129",685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"130",686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"131",687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"133",689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"134",690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"135",691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"136",692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"137",693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"138",694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"139",695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"140",696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"141",697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"142",698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"143",699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"144",700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"147",703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"151",707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"152",708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"154",710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"155",711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"156",712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"157",713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"158",714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"159",715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"160",716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"161",717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"162",718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"163",719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"164",720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"165",721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"166",722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"167",723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"168",724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"169",725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"170",726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"171",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"172",728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"173",729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"174",730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"175",731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"176",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
