"","SECCION","munn.x","edon.x","disloc2015","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"3",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"5",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"6",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"8",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"9",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"14",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"15",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"16",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"17",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"20",328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"21",329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"22",716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"23",717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"24",718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"25",719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"26",720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"27",721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"28",722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"29",723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"30",724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"32",726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"33",727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"34",728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"35",729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"36",730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"37",731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"38",732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"39",733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"40",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"44",738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"45",739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"46",740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"52",750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"53",751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"54",752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"55",753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"56",754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"57",755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"58",756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"59",757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"60",758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"61",759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"62",760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"63",761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"64",762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"65",763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"66",764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"68",766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"69",767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
