"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3_jge","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"133",320,7,17,"mor",2,1,10,10,9,2401,0.342,0.335320290831181,0.00667970916881905,0,0,0
"134",321,7,17,"mor",2,3,10,10,9,1376,0.342,0.335320290831181,0.00667970916881905,0,0,0
"135",322,7,17,"mor",2,3,10,10,9,1402,0.342,0.335320290831181,0.00667970916881905,0,0,0
"136",323,7,17,"mor",2,3,10,10,9,315,0.342,0.335320290831181,0.00667970916881905,0,0,0
"137",324,7,17,"mor",2,3,10,10,9,1341,0.342,0.335320290831181,0.00667970916881905,0,0,0
"138",325,7,17,"mor",2,3,10,10,9,216,0.342,0.335320290831181,0.00667970916881905,0,0,0
"139",326,7,17,"mor",2,3,10,10,9,231,0.342,0.335320290831181,0.00667970916881905,0,0,0
"140",327,7,17,"mor",2,4,10,10,9,936,0.342,0.335320290831181,0.00667970916881905,0,0,0
"141",328,7,17,"mor",2,4,9,9,9,852,0.171,0.129603635218428,0.041396364781572,0,0,0
"142",329,7,17,"mor",2,4,9,9,9,635,0.171,0.129603635218428,0.041396364781572,0,0,0
"143",330,7,17,"mor",2,4,9,9,9,1124,0.171,0.129603635218428,0.041396364781572,0,0,0
"144",331,7,17,"mor",3,4,9,9,10,856,0.171,0.129603635218428,0.041396364781572,0,0,0
"145",332,7,17,"mor",3,4,9,9,10,1553,0.171,0.129603635218428,0.041396364781572,0,0,0
"146",333,7,17,"mor",3,4,9,9,10,1974,0.171,0.129603635218428,0.041396364781572,0,0,0
"147",334,7,17,"mor",3,4,9,9,10,1906,0.171,0.129603635218428,0.041396364781572,0,0,0
"148",335,7,17,"mor",3,4,9,9,10,1844,0.171,0.129603635218428,0.041396364781572,0,0,0
"149",336,7,17,"mor",3,4,9,9,10,1494,0.171,0.129603635218428,0.041396364781572,0,0,0
"150",337,7,17,"mor",3,4,9,9,10,1471,0.171,0.129603635218428,0.041396364781572,0,0,0
"151",338,7,17,"mor",3,4,9,9,10,1722,0.171,0.129603635218428,0.041396364781572,0,0,0
"152",339,7,17,"mor",3,4,9,9,10,1623,0.171,0.129603635218428,0.041396364781572,0,0,0
"153",340,7,17,"mor",3,4,9,9,10,1887,0.171,0.129603635218428,0.041396364781572,0,0,0
"154",341,7,17,"mor",3,4,9,9,10,1759,0.171,0.129603635218428,0.041396364781572,0,0,0
"155",342,7,17,"mor",3,4,9,9,10,748,0.171,0.129603635218428,0.041396364781572,0,0,0
"156",343,7,17,"mor",2,4,9,9,9,1301,0.171,0.129603635218428,0.041396364781572,0,0,0
"157",344,7,17,"mor",2,4,9,9,9,1609,0.171,0.129603635218428,0.041396364781572,0,0,0
"158",345,7,17,"mor",2,4,10,10,9,532,0.342,0.335320290831181,0.00667970916881905,0,0,0
"159",346,7,17,"mor",2,3,10,10,9,502,0.342,0.335320290831181,0.00667970916881905,0,0,0
"160",347,7,17,"mor",2,3,10,10,9,252,0.342,0.335320290831181,0.00667970916881905,0,0,0
"161",348,7,17,"mor",2,4,10,10,9,1722,0.342,0.335320290831181,0.00667970916881905,0,0,0
"162",349,7,17,"mor",2,3,10,10,9,2124,0.342,0.335320290831181,0.00667970916881905,0,0,1
"163",350,7,17,"mor",2,4,10,10,9,2075,0.342,0.335320290831181,0.00667970916881905,0,0,0
"164",351,7,17,"mor",2,4,10,10,9,1060,0.342,0.335320290831181,0.00667970916881905,0,0,0
"165",352,7,17,"mor",2,4,10,10,9,437,0.342,0.335320290831181,0.00667970916881905,0,0,0
"166",353,7,17,"mor",2,4,10,10,9,294,0.342,0.335320290831181,0.00667970916881905,0,0,0
"167",354,7,17,"mor",2,4,10,10,9,1225,0.342,0.335320290831181,0.00667970916881905,0,0,0
"168",355,7,17,"mor",2,4,10,10,9,2870,0.342,0.335320290831181,0.00667970916881905,0,0,0
"169",356,7,17,"mor",2,4,10,10,9,1113,0.342,0.335320290831181,0.00667970916881905,0,0,0
"170",357,7,17,"mor",2,4,9,9,9,1091,0.171,0.129603635218428,0.041396364781572,0,0,0
"171",358,7,17,"mor",2,4,9,9,9,558,0.171,0.129603635218428,0.041396364781572,0,0,0
"172",359,7,17,"mor",3,4,9,9,10,1254,0.171,0.129603635218428,0.041396364781572,0,0,0
"173",360,7,17,"mor",3,4,9,9,10,1546,0.171,0.129603635218428,0.041396364781572,0,0,0
"174",361,7,17,"mor",2,4,10,10,9,1023,0.342,0.335320290831181,0.00667970916881905,0,0,0
"175",362,7,17,"mor",2,4,10,10,9,1665,0.342,0.335320290831181,0.00667970916881905,0,0,0
"176",363,7,17,"mor",2,4,10,10,9,619,0.342,0.335320290831181,0.00667970916881905,0,0,0
"177",364,7,17,"mor",2,4,10,10,9,1756,0.342,0.335320290831181,0.00667970916881905,0,0,0
"178",365,7,17,"mor",2,4,10,10,9,3207,0.342,0.335320290831181,0.00667970916881905,0,0,0
"179",366,7,17,"mor",2,4,10,10,9,2163,0.342,0.335320290831181,0.00667970916881905,0,0,0
"180",367,7,17,"mor",2,4,10,10,9,1893,0.342,0.335320290831181,0.00667970916881905,0,0,0
"181",368,7,17,"mor",2,4,10,10,9,1347,0.342,0.335320290831181,0.00667970916881905,0,0,0
"182",369,7,17,"mor",2,4,10,10,9,1244,0.342,0.335320290831181,0.00667970916881905,0,0,0
"183",370,7,17,"mor",2,4,10,10,9,1822,0.342,0.335320290831181,0.00667970916881905,0,0,0
"184",371,7,17,"mor",2,4,10,10,9,1476,0.342,0.335320290831181,0.00667970916881905,0,0,0
"185",372,7,17,"mor",2,4,10,10,9,749,0.342,0.335320290831181,0.00667970916881905,0,0,0
"186",373,7,17,"mor",2,4,10,10,9,2886,0.342,0.335320290831181,0.00667970916881905,0,0,0
"187",374,7,17,"mor",2,4,10,10,9,1812,0.342,0.335320290831181,0.00667970916881905,0,0,0
"188",375,7,17,"mor",2,4,10,10,9,4062,0.342,0.335320290831181,0.00667970916881905,0,0,0
"189",376,7,17,"mor",2,4,10,10,9,1169,0.342,0.335320290831181,0.00667970916881905,0,0,0
"190",377,7,17,"mor",2,4,10,10,9,477,0.342,0.335320290831181,0.00667970916881905,0,0,0
"191",378,7,17,"mor",2,4,10,10,9,1865,0.342,0.335320290831181,0.00667970916881905,0,0,0
"192",379,7,17,"mor",2,4,10,10,9,1345,0.342,0.335320290831181,0.00667970916881905,0,0,0
"193",380,7,17,"mor",2,4,10,10,9,955,0.342,0.335320290831181,0.00667970916881905,0,0,0
"194",381,7,17,"mor",2,4,10,10,9,309,0.342,0.335320290831181,0.00667970916881905,0,0,0
"195",382,7,17,"mor",2,4,10,10,9,2254,0.342,0.335320290831181,0.00667970916881905,0,0,0
"196",383,7,17,"mor",2,4,10,10,9,5633,0.342,0.335320290831181,0.00667970916881905,0,0,0
"197",384,7,17,"mor",2,4,10,10,9,1693,0.342,0.335320290831181,0.00667970916881905,0,0,0
"198",385,7,17,"mor",2,4,10,10,9,3256,0.342,0.335320290831181,0.00667970916881905,0,0,0
"199",386,7,17,"mor",2,4,10,10,9,1767,0.342,0.335320290831181,0.00667970916881905,0,0,0
"200",389,7,17,"mor",2,1,10,10,9,1164,0.342,0.335320290831181,0.00667970916881905,1,0,0
"201",390,7,17,"mor",1,1,8,8,8,1571,0.33,0.403471711976488,0.073471711976488,0,0,0
"202",612,7,17,"mor",2,4,10,10,9,1927,0.342,0.335320290831181,0.00667970916881905,0,0,0
"203",907,7,17,"mor",2,4,10,10,9,591,0.342,0.335320290831181,0.00667970916881905,0,0,0
"204",387,7,17,"mor",5,4,NA,NA,NA,5979,0,0,0,0,0,0
"205",388,7,17,"mor",5,4,NA,NA,NA,4275,0,0,0,0,0,0
"206",391,8,17,"mor",8,5,5,5,4,5445,0.28,0.33052259872293,0.05052259872293,0,0,1
"207",392,8,17,"mor",8,5,5,5,4,2835,0.28,0.33052259872293,0.05052259872293,0,0,0
"208",393,8,17,"mor",8,5,5,5,4,6261,0.28,0.33052259872293,0.05052259872293,0,0,0
"209",394,8,17,"mor",8,5,5,5,4,2541,0.28,0.33052259872293,0.05052259872293,0,0,0
"210",395,8,17,"mor",8,5,5,5,4,1891,0.28,0.33052259872293,0.05052259872293,0,0,0
"211",396,8,17,"mor",8,5,5,5,4,5137,0.28,0.33052259872293,0.05052259872293,0,0,0
"212",397,8,17,"mor",8,5,5,5,4,2126,0.28,0.33052259872293,0.05052259872293,0,0,0
"213",398,8,17,"mor",8,5,5,5,4,1512,0.28,0.33052259872293,0.05052259872293,0,0,0
"214",399,8,17,"mor",8,5,5,5,4,3920,0.28,0.33052259872293,0.05052259872293,0,0,1
"215",400,8,17,"mor",8,5,5,5,4,2109,0.28,0.33052259872293,0.05052259872293,0,0,0
"216",401,8,17,"mor",8,5,5,5,4,2720,0.28,0.33052259872293,0.05052259872293,0,0,0
"217",402,8,17,"mor",8,5,5,5,4,4574,0.28,0.33052259872293,0.05052259872293,0,0,0
"218",403,8,17,"mor",8,5,5,5,4,4510,0.28,0.33052259872293,0.05052259872293,0,0,0
"219",404,8,17,"mor",8,5,5,5,4,1863,0.28,0.33052259872293,0.05052259872293,0,0,0
"220",405,8,17,"mor",8,5,5,5,4,1883,0.28,0.33052259872293,0.05052259872293,0,0,0
"221",406,8,17,"mor",8,5,5,5,4,8688,0.28,0.33052259872293,0.05052259872293,0,0,1
"222",407,8,17,"mor",8,5,5,5,4,3004,0.28,0.33052259872293,0.05052259872293,0,0,0
"223",408,8,17,"mor",8,5,5,5,4,2542,0.28,0.33052259872293,0.05052259872293,0,0,0
"224",409,8,17,"mor",8,5,5,5,4,3102,0.28,0.33052259872293,0.05052259872293,0,0,0
"225",410,8,17,"mor",8,5,5,5,4,2714,0.28,0.33052259872293,0.05052259872293,0,0,0
"226",411,8,17,"mor",8,5,5,5,4,7626,0.28,0.33052259872293,0.05052259872293,0,0,0
"227",431,11,17,"mor",6,6,6,6,6,1865,0.483,0.343587586572479,0.139412413427521,0,0,0
"228",432,11,17,"mor",6,6,6,6,6,1903,0.483,0.343587586572479,0.139412413427521,0,0,0
"229",433,11,17,"mor",6,6,6,6,6,2233,0.483,0.343587586572479,0.139412413427521,0,0,0
"230",434,11,17,"mor",6,6,6,6,6,2200,0.483,0.343587586572479,0.139412413427521,0,0,0
"231",435,11,17,"mor",6,6,6,6,6,2574,0.483,0.343587586572479,0.139412413427521,0,0,0
"232",436,11,17,"mor",6,6,6,6,6,3962,0.483,0.343587586572479,0.139412413427521,0,0,0
"233",437,11,17,"mor",6,6,6,6,6,3015,0.483,0.343587586572479,0.139412413427521,0,0,0
"234",438,11,17,"mor",6,6,6,6,6,3200,0.483,0.343587586572479,0.139412413427521,0,0,0
"235",439,11,17,"mor",6,6,6,6,6,2328,0.483,0.343587586572479,0.139412413427521,0,0,0
"236",440,11,17,"mor",6,6,6,6,6,1369,0.483,0.343587586572479,0.139412413427521,0,0,0
"237",441,11,17,"mor",6,6,6,6,6,1222,0.483,0.343587586572479,0.139412413427521,0,0,0
"238",442,11,17,"mor",6,6,6,6,6,904,0.483,0.343587586572479,0.139412413427521,0,0,0
"239",443,11,17,"mor",6,6,6,6,6,992,0.483,0.343587586572479,0.139412413427521,0,0,0
"240",444,11,17,"mor",6,6,6,6,6,1574,0.483,0.343587586572479,0.139412413427521,0,0,0
"241",445,11,17,"mor",6,6,6,6,6,2975,0.483,0.343587586572479,0.139412413427521,0,0,0
"242",446,11,17,"mor",6,6,6,6,6,971,0.483,0.343587586572479,0.139412413427521,0,0,0
"243",447,11,17,"mor",6,6,6,6,6,832,0.483,0.343587586572479,0.139412413427521,0,0,0
"244",448,11,17,"mor",6,7,6,6,6,3503,0.483,0.343587586572479,0.139412413427521,0,0,0
"245",449,11,17,"mor",6,7,6,6,6,5949,0.483,0.343587586572479,0.139412413427521,0,0,0
"246",450,11,17,"mor",6,7,6,6,6,3064,0.483,0.343587586572479,0.139412413427521,0,0,0
"247",451,11,17,"mor",6,6,6,6,6,1146,0.483,0.343587586572479,0.139412413427521,0,0,0
"248",452,11,17,"mor",6,6,6,6,6,850,0.483,0.343587586572479,0.139412413427521,0,0,0
"249",453,11,17,"mor",6,6,6,6,6,4435,0.483,0.343587586572479,0.139412413427521,0,0,0
"250",454,11,17,"mor",6,6,6,6,6,3553,0.483,0.343587586572479,0.139412413427521,0,0,0
"251",455,11,17,"mor",12,6,7,7,7,6275,0.369,0.333812445967233,0.035187554032767,0,0,0
"252",456,11,17,"mor",12,6,7,7,7,3557,0.369,0.333812445967233,0.035187554032767,0,0,0
"253",457,11,17,"mor",6,6,6,6,6,2999,0.483,0.343587586572479,0.139412413427521,0,0,0
"254",458,11,17,"mor",6,6,6,6,6,1717,0.483,0.343587586572479,0.139412413427521,0,0,0
"255",459,11,17,"mor",6,6,6,6,6,1762,0.483,0.343587586572479,0.139412413427521,0,0,0
"256",460,11,17,"mor",6,6,6,6,6,1090,0.483,0.343587586572479,0.139412413427521,0,0,0
"257",461,11,17,"mor",6,6,6,6,6,1255,0.483,0.343587586572479,0.139412413427521,0,0,0
"258",462,11,17,"mor",6,6,6,6,6,1340,0.483,0.343587586572479,0.139412413427521,0,0,0
"259",463,11,17,"mor",6,6,6,6,6,1684,0.483,0.343587586572479,0.139412413427521,0,0,0
"260",464,11,17,"mor",6,6,6,6,6,3681,0.483,0.343587586572479,0.139412413427521,0,0,0
"261",465,11,17,"mor",12,6,7,7,7,9484,0.369,0.333812445967233,0.035187554032767,0,0,0
