"edon.x","escenario1","escenario3","dsiE1_E3"
23,3,7,0.811
23,1,3,0.296
23,4,5,0.733
23,3,4,0.375
23,8,6,0.789
23,5,8,0.326
23,6,1,0.477
23,12,11,1
23,9,9,0.781
23,10,12,0.554
23,15,15,0.441
23,14,13,0.389
23,13,14,0.485
23,2,2,0.3
23,11,10,0.873
