"edon.x","disloc2012.x","disloc2018.x","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
7,16,18,5,24,0.325,0.292,0.285
7,3,3,1,16,0.6,0.455,0.491
7,7,20,19,23,0.455,0.472,0.382
7,12,11,23,11,0.169,0.416,0.524
7,17,17,9,18,0.527,0.657,0.386
7,4,20,19,23,0.455,0.472,0.382
7,23,23,9,7,0.527,0.515,0.416
7,15,15,11,6,1,0.426,0.426
7,14,2,10,9,0.278,0.174,0.185
7,10,11,23,11,0.169,0.416,0.524
7,24,24,12,19,0.538,0.7,0.331
7,9,9,20,20,1,1,1
7,13,12,4,12,0.655,0.53,0.543
7,6,6,6,8,0.466,0.629,0.716
7,22,21,23,10,0.169,0.341,0.333
7,21,20,19,23,0.455,0.472,0.382
7,20,10,6,17,0.466,0.237,0.298
7,11,11,23,11,0.169,0.416,0.524
7,8,8,22,4,0.537,0.537,1
7,5,5,24,1,0.823,0.823,1
7,18,19,12,14,0.538,0.485,0.392
7,19,19,2,14,0.338,0.485,0.392
7,1,1,15,13,0.211,0.282,0.379
7,2,1,15,13,0.211,0.282,0.379
