"","edon.x","dis_old.x","esc3","dsi_SQ_E3_sec","edon.y","dis_new","dis_old.y","esc1","dsi_SQ_E3_pob","pob_total","dif"
"70",4,3,7,0.136,4,7,3,7,0.122314049586777,2817,0.013685950413223
"71",4,5,9,0.364,4,9,5,9,0.371582049464692,753,0.00758204946469199
"72",4,6,9,0.364,4,9,5,9,0.371582049464692,753,0.00758204946469199
"73",4,4,6,0.913,4,6,4,13,0.93917622036624,1182,0.02617622036624
"74",4,5,9,0.364,4,9,6,6,0.371582049464692,2902,0.00758204946469199
"75",4,6,9,0.364,4,9,6,6,0.371582049464692,2902,0.00758204946469199
"76",4,17,1,0.96,4,1,17,1,0.955111196873945,2181,0.004888803126055
"77",4,19,3,0.967,4,3,19,3,0.955485923409955,754,0.011514076590045
"78",4,11,15,0.123,4,15,11,14,0.301426920164215,7130,0.178426920164215
"79",4,10,15,0.123,4,15,11,14,0.301426920164215,7130,0.178426920164215
"80",4,11,15,0.123,4,15,10,19,0.301426920164215,3472,0.178426920164215
"81",4,10,15,0.123,4,15,10,19,0.301426920164215,3472,0.178426920164215
"82",4,9,12,0.567,4,12,9,17,0.644325035639873,1834,0.077325035639873
"83",4,8,17,0.383,4,17,8,18,0.428312562405237,1002,0.045312562405237
"84",4,12,14,0.34,4,14,12,16,0.276773739270386,3209,0.063226260729614
"85",4,20,14,0.34,4,14,12,16,0.276773739270386,3209,0.063226260729614
"86",4,12,14,0.34,4,14,20,16,0.276773739270386,1589,0.063226260729614
"87",4,20,14,0.34,4,14,20,16,0.276773739270386,1589,0.063226260729614
"88",4,14,4,1,4,4,14,4,1,3519,0
"89",4,15,21,0.926,4,21,15,11,0.978893916056989,951,0.052893916056989
"90",4,16,20,0.935,4,20,16,12,0.979257822662662,2002,0.044257822662662
"91",4,21,18,1,4,18,21,21,1,2711,0
"92",4,18,2,1,4,2,18,2,1,2426,0
"93",4,13,19,1,4,19,13,20,1,3785,0
"94",5,13,5,0.41,5,5,13,6,0.42722530436434,760,0.01722530436434
"95",5,14,5,0.41,5,5,13,6,0.42722530436434,760,0.01722530436434
"96",5,12,5,0.41,5,5,13,6,0.42722530436434,760,0.01722530436434
"97",5,15,3,0.798,5,1,15,5,0.851018297250062,3083,0.0530182972500619
"98",5,13,5,0.41,5,5,14,6,0.42722530436434,3656,0.01722530436434
"99",5,14,5,0.41,5,5,14,6,0.42722530436434,3656,0.01722530436434
"100",5,12,5,0.41,5,5,14,6,0.42722530436434,3656,0.01722530436434
"101",5,5,11,1,5,12,5,7,1,7004,0
"102",5,13,5,0.41,5,5,12,6,0.42722530436434,593,0.01722530436434
"103",5,14,5,0.41,5,5,12,6,0.42722530436434,593,0.01722530436434
"104",5,12,5,0.41,5,5,12,6,0.42722530436434,593,0.01722530436434
"105",5,11,4,0.443,5,4,11,2,0.493703124645957,1287,0.050703124645957
"106",5,10,8,0.618,5,7,10,3,0.457014369290419,2483,0.160985630709581
"107",5,6,8,0.618,5,7,10,3,0.457014369290419,2483,0.160985630709581
"108",5,10,8,0.618,5,7,6,3,0.457014369290419,1941,0.160985630709581
"109",5,6,8,0.618,5,7,6,3,0.457014369290419,1941,0.160985630709581
"110",5,16,16,0.784,5,2,16,8,0.835004898325909,4421,0.0510048983259089
"111",5,4,13,0.7,5,14,4,16,0.713483522821261,2708,0.0134835228212611
"112",5,1,13,0.7,5,14,4,16,0.713483522821261,2708,0.0134835228212611
"113",5,4,13,0.7,5,14,1,16,0.713483522821261,7970,0.0134835228212611
"114",5,1,13,0.7,5,14,1,16,0.713483522821261,7970,0.0134835228212611
"115",5,2,14,0.199,5,15,2,14,0.34527350225792,3589,0.14627350225792
"116",5,3,14,0.199,5,15,2,14,0.34527350225792,3589,0.14627350225792
"117",5,2,14,0.199,5,15,3,13,0.34527350225792,833,0.14627350225792
