"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"1",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"2",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"3",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"4",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"5",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"6",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"8",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"9",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"10",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"11",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"12",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"13",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"14",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"15",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"16",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"17",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"18",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"19",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"20",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"21",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"22",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"23",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"24",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"25",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"26",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"27",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"28",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"29",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"30",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"31",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"32",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"33",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"34",292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"35",293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"36",294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"37",295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"39",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"41",414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"42",415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"43",416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"44",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"45",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"46",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"47",420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"48",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
