"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",2,2,20,2,25,13,2,2,977,0.56,0.516635911727047,0.0433640882729532,0,0,1
"2",3,2,20,2,25,13,2,2,2444,0.56,0.516635911727047,0.0433640882729532,0,1,0
"3",4,2,20,2,25,13,2,2,2537,0.56,0.516635911727047,0.0433640882729532,0,1,0
"4",5,2,20,2,25,13,2,2,862,0.56,0.516635911727047,0.0433640882729532,0,0,1
"5",6,2,20,2,25,13,2,2,2154,0.56,0.516635911727047,0.0433640882729532,0,1,0
"6",7,2,20,2,25,13,2,2,1258,0.56,0.516635911727047,0.0433640882729532,0,0,1
"7",8,2,20,2,25,13,2,2,604,0.56,0.516635911727047,0.0433640882729532,0,1,0
"8",9,2,20,2,25,13,2,2,3069,0.56,0.516635911727047,0.0433640882729532,0,0,1
"9",10,2,20,2,25,13,2,2,1977,0.56,0.516635911727047,0.0433640882729532,0,1,0
"10",11,2,20,2,25,13,2,2,2148,0.56,0.516635911727047,0.0433640882729532,0,1,0
"11",12,2,20,2,25,13,2,2,2190,0.56,0.516635911727047,0.0433640882729532,0,0,1
"12",13,2,20,2,25,13,2,2,1076,0.56,0.516635911727047,0.0433640882729532,1,0,0
"13",14,2,20,2,25,13,2,2,1068,0.56,0.516635911727047,0.0433640882729532,1,0,0
"14",15,2,20,2,25,13,2,2,1110,0.56,0.516635911727047,0.0433640882729532,1,0,0
"15",16,2,20,2,25,13,2,2,425,0.56,0.516635911727047,0.0433640882729532,1,0,0
"16",17,2,20,2,25,13,2,2,1475,0.56,0.516635911727047,0.0433640882729532,1,0,0
"17",18,2,20,2,25,13,2,2,500,0.56,0.516635911727047,0.0433640882729532,1,0,0
"18",19,2,20,2,25,13,2,2,38,0.56,0.516635911727047,0.0433640882729532,0,1,0
"19",20,2,20,2,25,13,2,2,900,0.56,0.516635911727047,0.0433640882729532,1,0,0
"20",21,2,20,2,25,13,2,2,1629,0.56,0.516635911727047,0.0433640882729532,1,0,0
"21",22,2,20,2,25,13,2,2,804,0.56,0.516635911727047,0.0433640882729532,1,0,0
"22",23,2,20,2,25,13,2,2,52,0.56,0.516635911727047,0.0433640882729532,0,0,1
"23",24,2,20,2,25,13,2,2,1774,0.56,0.516635911727047,0.0433640882729532,1,0,0
"24",25,2,20,2,25,13,2,2,1060,0.56,0.516635911727047,0.0433640882729532,1,0,0
"25",26,2,20,2,25,13,2,2,1352,0.56,0.516635911727047,0.0433640882729532,1,0,0
"26",27,2,20,2,25,13,2,2,898,0.56,0.516635911727047,0.0433640882729532,1,0,0
"27",28,2,20,2,25,13,2,2,1154,0.56,0.516635911727047,0.0433640882729532,1,0,0
"28",29,2,20,2,25,13,2,2,1429,0.56,0.516635911727047,0.0433640882729532,1,0,0
"29",30,2,20,2,25,13,2,2,1356,0.56,0.516635911727047,0.0433640882729532,1,0,0
"30",31,2,20,2,25,13,2,2,3864,0.56,0.516635911727047,0.0433640882729532,0,0,1
"31",32,2,20,2,25,13,2,2,644,0.56,0.516635911727047,0.0433640882729532,1,0,0
"32",33,2,20,2,25,13,2,2,1869,0.56,0.516635911727047,0.0433640882729532,1,0,0
"33",34,2,20,2,25,13,2,2,1621,0.56,0.516635911727047,0.0433640882729532,1,0,0
"34",74,11,20,9,18,22,8,9,2003,0.14,0.152654072748802,0.0126540727488021,0,1,0
"35",75,11,20,9,18,22,8,9,2188,0.14,0.152654072748802,0.0126540727488021,0,0,1
"36",76,11,20,9,18,22,8,9,1808,0.14,0.152654072748802,0.0126540727488021,1,0,0
"37",134,24,20,2,25,13,2,2,1224,0.56,0.516635911727047,0.0433640882729532,0,1,0
"38",135,24,20,2,25,13,2,2,1958,0.56,0.516635911727047,0.0433640882729532,0,1,0
"39",136,24,20,2,25,13,2,2,4046,0.56,0.516635911727047,0.0433640882729532,0,0,1
"40",137,24,20,2,25,13,2,2,985,0.56,0.516635911727047,0.0433640882729532,0,1,0
"41",138,24,20,2,25,13,2,2,922,0.56,0.516635911727047,0.0433640882729532,0,0,1
"42",139,24,20,2,25,13,2,2,1869,0.56,0.516635911727047,0.0433640882729532,1,0,0
