"","SECCION","munn.x","edon.x","disloc2017.x","disloc2015.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"69",2824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",2825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"71",2826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"72",2827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"73",2828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"74",2829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"75",2830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"76",2831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"77",2832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",2834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",2835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",2836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",2837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",2838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"84",2839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"85",2840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"86",2841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"87",2842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"88",2843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"89",2844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"90",2845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"91",2846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"92",2847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"93",2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"94",2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"96",2851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",2852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"98",2853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",2854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",2855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"101",2856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"102",2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"103",2858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"104",2859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"105",2860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"106",2861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",2862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",2863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",2865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
