"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"58",566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60",568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"63",571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"64",572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"65",573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"66",574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"67",575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"68",576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"69",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"70",578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"71",579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"72",2666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"73",2667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"74",2668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"75",2669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"76",2670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"77",806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"78",807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"79",808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"80",809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"81",810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"82",811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"83",812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"84",813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"85",814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"86",815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"87",816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"88",817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"90",819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"91",820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"94",823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"95",824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"96",825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"97",826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"98",827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"99",828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"100",829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"101",830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"102",831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"103",832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"104",833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"105",834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"106",835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"113",842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"116",845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"125",854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"127",856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"129",858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"130",859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"131",860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"133",862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"134",863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"135",864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"136",865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"137",866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"138",867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"139",868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"140",869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"141",870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"142",1297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"143",1298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"144",1299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",1301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"147",1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",1303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",1305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"151",1306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"152",1307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",1308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"154",1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"155",1310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"156",1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"157",1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"158",1313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"159",1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"160",1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"161",1316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"162",1317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"163",1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"164",1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"165",1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"166",1360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"167",1361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"168",1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"169",1363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"170",1364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"171",1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"172",1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"173",1367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",1368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"175",2065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"176",2066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"177",2067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"178",2068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",2069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",2072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"184",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"185",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"186",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"187",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"191",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"192",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"193",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"194",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"196",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"197",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"198",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"199",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"201",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"202",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"203",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"204",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"205",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"210",300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"211",301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"212",302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"213",303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"215",324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"216",325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"217",326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"218",327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"219",328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"220",329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"221",330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"222",331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"223",332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"224",333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"226",335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"227",336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"228",337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"229",338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"230",339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"231",405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"232",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"233",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"234",408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"235",409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"236",410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"238",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"239",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"240",414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"241",415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"242",416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"243",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"244",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"245",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"247",581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"248",582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"249",583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"250",584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"251",585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"252",586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"253",587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"255",589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"257",591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"258",592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"259",593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"260",594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"261",595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"262",596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"263",597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"264",598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"267",712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"268",713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"269",714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"270",715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"271",716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"272",717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"273",718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"274",719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"275",720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"276",721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"277",722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"278",723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"279",724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"280",725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"281",756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"282",757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"283",758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"284",759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"285",760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"286",761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"287",762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"288",763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"289",764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"290",765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
