"","SECCION","munn.x","edon.x","disloc2016.x","disloc2007","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"93",2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"94",2849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",2850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"96",2851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",2852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"98",2853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",2854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",2855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"101",2856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"102",2857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"103",2858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"104",2859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"105",2860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"106",2861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"107",2862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"108",2863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"109",2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",2865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",2866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"112",2867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"113",2868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"114",2869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",2870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"116",2871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",2872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"118",2873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"119",2874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"120",2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"121",2876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"122",2877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"123",2878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"124",2879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"125",2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"126",2881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"127",2882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"128",2883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"129",2884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"130",2885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"131",2886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"132",2887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"133",2888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"134",2889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"135",2891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"136",2892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
