"edon.x","disloc2018","disloc2011","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
3,4,9,4,4,0.319,0.396,0.35
3,4,10,2,4,0.484,0.396,0.35
3,4,11,4,4,0.319,0.396,0.35
3,4,12,3,4,0.295,0.396,0.35
3,1,13,1,1,0.6,0.531,0.233
3,3,14,1,3,0.6,0.522,0.433
3,3,15,3,3,0.295,0.522,0.433
3,12,1,12,12,0.571,0.571,1
3,11,2,11,11,0.431,0.431,1
3,15,3,15,15,0.412,0.412,1
3,15,5,15,15,0.412,0.412,1
3,13,4,13,13,0.326,0.326,1
3,12,6,12,12,0.571,0.571,1
3,9,16,9,9,0.067,0.067,1
3,9,7,9,9,0.067,0.067,1
3,5,8,5,5,0.15,0.15,1
