"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",320,15,30,18,10,21,13,18,1057,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"2",321,15,30,18,10,21,13,18,1587,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"3",322,15,30,18,10,21,13,18,1491,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"4",323,15,30,18,10,21,13,18,1095,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"5",324,15,30,18,10,21,13,18,1814,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"6",325,15,30,18,10,21,13,18,1389,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"7",326,15,30,18,10,21,13,18,408,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"8",327,15,30,18,10,21,13,18,795,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"9",328,15,30,18,10,21,13,18,2175,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"10",329,15,30,18,10,21,13,18,1799,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"11",330,15,30,18,10,21,13,18,3244,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"12",331,15,30,18,10,21,13,18,1613,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"13",332,15,30,18,10,21,13,18,1148,0.047,0.0425149126671059,0.00448508733289408,0,1,0
"14",333,15,30,18,10,21,13,18,1000,0.047,0.0425149126671059,0.00448508733289408,0,0,1
"15",334,15,30,18,10,21,13,18,1085,0.047,0.0425149126671059,0.00448508733289408,0,0,1
"16",335,15,30,18,10,21,13,18,1906,0.047,0.0425149126671059,0.00448508733289408,1,0,0
"17",336,15,30,18,10,21,13,18,1575,0.047,0.0425149126671059,0.00448508733289408,1,0,0
"18",337,15,30,18,10,21,13,18,686,0.047,0.0425149126671059,0.00448508733289408,1,0,0
"19",338,15,30,18,NA,21,13,18,1446,0.047,0.0425149126671059,0.00448508733289408,1,0,0
"20",1403,62,30,13,10,21,13,13,1440,0.047,0.0320112865406263,0.0149887134593737,0,1,0
"21",1404,62,30,13,10,21,13,13,862,0.047,0.0320112865406263,0.0149887134593737,0,1,0
"22",1405,62,30,13,8,21,13,13,1441,0.047,0.0320112865406263,0.0149887134593737,0,1,0
"23",1406,62,30,13,8,21,13,13,1570,0.047,0.0320112865406263,0.0149887134593737,0,1,0
"24",1407,62,30,13,8,21,13,13,512,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"25",1408,62,30,13,8,21,13,13,2190,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"26",1409,62,30,13,8,21,13,13,1262,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"27",1410,62,30,13,8,21,13,13,995,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"28",1411,62,30,13,8,21,13,13,1301,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"29",1412,62,30,13,8,21,13,13,3887,0.047,0.0320112865406263,0.0149887134593737,1,0,0
"30",2776,122,30,13,10,21,13,13,1592,0.047,0.0320112865406263,0.0149887134593737,0,0,1
"31",2777,122,30,13,1,21,13,13,2590,0.047,0.0320112865406263,0.0149887134593737,0,0,1
"32",2778,122,30,13,1,21,13,13,558,0.047,0.0320112865406263,0.0149887134593737,1,0,0
