"edon.x","disloc2018","disloc2015","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
6,6,1,15,11,0.581,0.581,0.931
6,2,2,16,12,0.593,0.5,0.8
6,2,5,16,12,0.593,0.5,0.8
6,1,3,16,9,0.593,0.308,0.429
6,4,4,1,14,0.333,0.419,0.371
6,6,6,15,11,0.581,0.581,0.931
6,7,7,4,15,0.3,0.579,0.267
6,8,8,5,16,0.683,0.683,1
6,9,9,2,1,0.636,0.636,0.6
6,13,13,8,4,0.486,0.857,0.529
6,14,14,7,2,0.2,0.485,0.295
6,14,11,7,2,0.2,0.485,0.295
6,12,12,8,3,0.486,0.176,0.714
6,10,10,10,6,0.333,0.333,1
6,10,15,10,6,0.333,0.333,1
6,16,16,12,7,0.3,0.3,1
