"edon.x","disloc2013","disloc2016","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
29,3,8,10,1,0.222,0.8,0.471
29,2,8,7,1,0.703,0.8,0.471
29,15,4,8,11,0.396,0.396,1
29,16,4,8,11,0.396,0.396,1
29,12,2,4,13,0.413,0.767,0.6
29,14,2,4,13,0.413,0.767,0.6
29,17,11,14,3,0.41,0.41,1
29,13,1,9,6,0.821,0.821,1
29,19,11,14,3,0.41,0.41,1
29,4,9,7,15,0.703,0.722,0.698
29,5,9,7,15,0.703,0.722,0.698
29,18,10,15,2,0.622,0.622,1
29,11,6,3,10,0.338,0.774,0.389
29,10,14,10,9,0.222,0.718,0.434
29,7,12,11,7,0.55,0.356,0.442
29,9,12,11,7,0.55,0.356,0.442
29,6,15,12,5,0.882,0.652,0.739
29,1,7,13,4,0.657,0.657,1
29,8,13,11,8,0.55,0.656,0.255
