"","   seccion","     munn","     edon","  dis_nueva"," dis_anterior","  pob_total","     esc1","     esc3","    urbana","    rural","    mixta","     pan","     pri","     prd","   pob_dist","   pob_edo","     RRI"," RRI_anterior","  RRI_nueva","      SQ","   dsi_pob"," prop_urbana","  prop_rural","  prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","     SQ_","   dsi_sec","    dcrit8"
"","Min.   :   1.0  ","Min.   :  1.00  ","Min.   : 1.00  ","Min.   : 1.00  ","Min.   : 0.00  ","Min.   :   16  ","Min.   : 1.00  ","Min.   : 1.00  ","Min.   :0.0  ","Min.   :0.0  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   :0.00  ","Min.   : 28064  ","Min.   :  573075  ","Min.   :0  ","Min.   :0.04291  ","Min.   :0.6778  ","Min.   : 1.00  ","Min.   :0.0270  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   :0.00000  ","Min.   :0.0000  ","Min.   :0.00000  ","Min.   :0.0000  ","Min.   : 1.00  ","Min.   :0.0250  ","Min.   :0.0000  "
"","1st Qu.: 107.2  ","1st Qu.:  4.00  ","1st Qu.: 9.00  ","1st Qu.: 5.00  ","1st Qu.: 6.00  ","1st Qu.: 1141  ","1st Qu.: 6.00  ","1st Qu.: 5.00  ","1st Qu.:0.0  ","1st Qu.:0.0  ","1st Qu.:0.0000  ","1st Qu.:0.0000  ","1st Qu.:0.0000  ","1st Qu.:0.00  ","1st Qu.:102625  ","1st Qu.: 1775009  ","1st Qu.:0  ","1st Qu.:0.91033  ","1st Qu.:0.9539  ","1st Qu.: 6.00  ","1st Qu.:0.3680  ","1st Qu.:0.2968  ","1st Qu.:0.0075  ","1st Qu.:0.00000  ","1st Qu.:0.0000  ","1st Qu.:0.09775  ","1st Qu.:0.0000  ","1st Qu.: 6.00  ","1st Qu.:0.3640  ","1st Qu.:0.0000  "
"","Median : 374.5  ","Median : 10.00  ","Median :15.00  ","Median :10.00  ","Median :11.00  ","Median : 1836  ","Median :11.00  ","Median :10.00  ","Median :1.0  ","Median :0.0  ","Median :0.0000  ","Median :0.0000  ","Median :0.0000  ","Median :0.00  ","Median :151384  ","Median : 3148012  ","Median :0  ","Median :1.01834  ","Median :0.9874  ","Median :11.00  ","Median :0.5600  ","Median :0.6300  ","Median :0.3660  ","Median :0.06200  ","Median :0.1240  ","Median :0.56200  ","Median :0.0000  ","Median :11.00  ","Median :0.5580  ","Median :0.0000  "
"","Mean   : 824.9  ","Mean   : 20.03  ","Mean   :16.24  ","Mean   :11.58  ","Mean   :12.58  ","Mean   : 2629  ","Mean   :12.04  ","Mean   :11.53  ","Mean   :0.7  ","Mean   :0.3  ","Mean   :0.2697  ","Mean   :0.1947  ","Mean   :0.3395  ","Mean   :0.15  ","Mean   :163220  ","Mean   : 4312085  ","Mean   :0  ","Mean   :    Inf  ","Mean   :1.0005  ","Mean   :12.46  ","Mean   :0.5739  ","Mean   :0.6081  ","Mean   :0.3892  ","Mean   :0.08235  ","Mean   :0.2751  ","Mean   :0.51098  ","Mean   :0.2113  ","Mean   :12.46  ","Mean   :0.5719  ","Mean   :0.1987  "
"","3rd Qu.:1067.0  ","3rd Qu.: 25.00  ","3rd Qu.:24.00  ","3rd Qu.:16.00  ","3rd Qu.:17.00  ","3rd Qu.: 2974  ","3rd Qu.:17.00  ","3rd Qu.:16.00  ","3rd Qu.:1.0  ","3rd Qu.:1.0  ","3rd Qu.:1.0000  ","3rd Qu.:0.0000  ","3rd Qu.:1.0000  ","3rd Qu.:0.00  ","3rd Qu.:215525  ","3rd Qu.: 5677386  ","3rd Qu.:0  ","3rd Qu.:1.18273  ","3rd Qu.:1.0354  ","3rd Qu.:17.00  ","3rd Qu.:0.7953  ","3rd Qu.:0.9895  ","3rd Qu.:0.6997  ","3rd Qu.:0.14300  ","3rd Qu.:0.5000  ","3rd Qu.:0.88000  ","3rd Qu.:0.3008  ","3rd Qu.:17.00  ","3rd Qu.:0.7805  ","3rd Qu.:0.0000  "
"","Max.   :5274.0  ","Max.   :386.00  ","Max.   :32.00  ","Max.   :45.00  ","Max.   :45.00  ","Max.   :23216  ","Max.   :44.00  ","Max.   :43.00  ","Max.   :1.0  ","Max.   :1.0  ","Max.   :1.0000  ","Max.   :1.0000  ","Max.   :1.0000  ","Max.   :1.00  ","Max.   :376590  ","Max.   :15066020  ","Max.   :0  ","Max.   :    Inf  ","Max.   :1.5936  ","Max.   :45.00  ","Max.   :1.0000  ","Max.   :1.0000  ","Max.   :1.0000  ","Max.   :0.34700  ","Max.   :1.0000  ","Max.   :1.00000  ","Max.   :1.0000  ","Max.   :45.00  ","Max.   :1.0000  ","Max.   :1.0000  "
"",NA,NA,NA,NA,"NA's   :1  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA's   :8  ","NA's   :8  ","NA's   :8  ",NA,NA,NA
