"edon.x","disloc2012","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
27,1,6,18,6,0.506,0.506,1
27,19,3,11,3,0.703,0.828,0.609
27,2,3,11,3,0.703,0.828,0.609
27,3,21,16,21,0.387,1,0.387
27,20,11,7,11,0.229,0.21,0.956
27,4,11,7,11,0.229,0.21,0.956
27,21,11,7,11,0.229,0.21,0.956
27,5,12,5,12,0.368,0.212,0.343
27,6,18,12,18,0.546,0.639,0.369
27,7,14,14,14,0.758,0.814,0.581
27,8,9,16,9,0.387,0.382,0.385
27,9,5,8,5,0.321,0.691,0.415
27,10,8,19,8,0.264,0.438,0.375
27,11,19,15,19,0.74,0.685,0.552
27,12,9,16,9,0.387,0.382,0.385
27,13,7,19,7,0.264,0.573,0.351
27,14,1,1,1,1,1,1
27,15,20,17,20,0.818,0.714,0.616
27,16,8,20,8,0.509,0.438,0.375
27,17,13,20,13,0.509,0.634,0.382
27,18,6,18,6,0.506,0.506,1
