"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",319,2,2,3,2,5,5,5,1282,1,1,0,0,1,0
"2",320,2,2,3,2,5,5,5,539,1,1,0,0,1,0
"3",321,2,2,3,2,5,5,5,990,1,1,0,0,1,0
"4",338,2,2,3,2,5,5,5,1651,1,1,0,0,1,0
"5",339,2,2,3,2,5,5,5,2270,1,1,0,0,1,0
"6",340,2,2,3,2,5,5,5,1684,1,1,0,0,1,0
"7",341,2,2,3,2,5,5,5,1013,1,1,0,0,1,0
"8",342,2,2,3,2,5,5,5,2023,1,1,0,0,1,0
"9",358,2,2,3,2,5,5,5,1595,1,1,0,0,1,0
"10",359,2,2,3,2,5,5,5,1050,1,1,0,0,1,0
"11",360,2,2,3,2,5,5,5,1173,1,1,0,0,1,0
"12",361,2,2,3,2,5,5,5,2121,1,1,0,0,1,0
"13",362,2,2,3,2,5,5,5,1257,1,1,0,0,1,0
"14",363,2,2,3,2,5,5,5,1164,1,1,0,0,1,0
"15",364,2,2,3,2,5,5,5,1611,1,1,0,0,1,0
"16",365,2,2,3,2,5,5,5,1056,1,1,0,0,1,0
"17",366,2,2,3,2,5,5,5,5705,1,1,0,0,1,0
"18",367,2,2,3,2,5,5,5,1271,1,1,0,0,1,0
"19",368,2,2,3,2,5,5,5,1645,1,1,0,0,1,0
"20",451,2,2,3,3,5,5,5,715,1,1,0,0,1,0
"21",459,2,2,3,3,5,5,5,1711,1,1,0,0,1,0
"22",463,2,2,2,4,4,4,4,1991,1,1,0,0,1,0
"23",464,2,2,2,4,4,4,4,897,1,1,0,0,1,0
"24",465,2,2,3,3,5,5,5,1146,1,1,0,0,1,0
"25",466,2,2,2,4,4,4,4,1106,1,1,0,0,1,0
"26",467,2,2,2,4,4,4,4,2194,1,1,0,0,1,0
"27",468,2,2,2,4,4,4,4,1261,1,1,0,0,1,0
"28",471,2,2,2,4,4,4,4,1131,1,1,0,0,1,0
"29",472,2,2,2,4,4,4,4,3155,1,1,0,0,1,0
"30",473,2,2,2,4,4,4,4,976,1,1,0,0,1,0
"31",474,2,2,2,4,4,4,4,2175,1,1,0,0,1,0
"32",475,2,2,2,4,4,4,4,1102,1,1,0,0,1,0
"33",476,2,2,2,4,4,4,4,1215,1,1,0,0,1,0
"34",477,2,2,2,4,4,4,4,1784,1,1,0,0,1,0
"35",478,2,2,2,4,4,4,4,1546,1,1,0,0,1,0
"36",479,2,2,2,4,4,4,4,1596,1,1,0,0,1,0
"37",480,2,2,2,4,4,4,4,4167,1,1,0,0,1,0
"38",481,2,2,2,4,4,4,4,2191,1,1,0,0,1,0
"39",482,2,2,2,4,4,4,4,1776,1,1,0,0,1,0
"40",483,2,2,2,4,4,4,4,537,1,1,0,0,1,0
"41",484,2,2,2,4,4,4,4,714,1,1,0,0,1,0
"42",485,2,2,2,4,4,4,4,811,1,1,0,0,1,0
"43",486,2,2,2,4,4,4,4,1437,1,1,0,0,1,0
"44",487,2,2,2,4,4,4,4,1112,1,1,0,0,1,0
"45",488,2,2,2,4,4,4,4,10877,1,1,0,0,1,0
"46",489,2,2,2,4,4,4,4,1256,1,1,0,0,1,0
"47",490,2,2,2,4,4,4,4,727,1,1,0,0,1,0
"48",491,2,2,2,4,4,4,4,1255,1,1,0,0,1,0
"49",492,2,2,2,4,4,4,4,2276,1,1,0,0,1,0
"50",493,2,2,2,4,4,4,4,1543,1,1,0,0,1,0
"51",494,2,2,2,4,4,4,4,792,1,1,0,0,1,0
"52",495,2,2,5,6,3,3,3,1785,1,1,0,0,1,0
"53",496,2,2,5,6,3,3,3,4490,1,1,0,0,1,0
"54",497,2,2,5,6,3,3,3,852,1,1,0,0,1,0
"55",498,2,2,2,4,4,4,4,1948,1,1,0,0,1,0
"56",499,2,2,2,4,4,4,4,1393,1,1,0,0,1,0
"57",500,2,2,2,4,4,4,4,766,1,1,0,0,1,0
"58",501,2,2,2,4,4,4,4,15700,1,1,0,0,1,0
"59",502,2,2,2,4,4,4,4,9863,1,1,0,0,1,0
"60",503,2,2,2,4,4,4,4,591,1,1,0,0,1,0
"61",504,2,2,2,4,4,4,4,470,1,1,0,0,1,0
"62",505,2,2,2,4,4,4,4,1225,1,1,0,0,1,0
"63",507,2,2,5,6,3,3,3,959,1,1,0,0,1,0
"64",508,2,2,5,6,3,3,3,578,1,1,0,0,1,0
"65",509,2,2,5,6,3,3,3,1175,1,1,0,0,1,0
"66",510,2,2,5,6,3,3,3,943,1,1,0,0,1,0
"67",511,2,2,5,6,3,3,3,1000,1,1,0,0,1,0
"68",512,2,2,5,6,3,3,3,1088,1,1,0,0,1,0
"69",513,2,2,5,6,3,3,3,798,1,1,0,0,1,0
"70",514,2,2,5,6,3,3,3,1281,1,1,0,0,1,0
"71",515,2,2,5,6,3,3,3,704,1,1,0,0,1,0
"72",516,2,2,5,6,3,3,3,4203,1,1,0,0,1,0
"73",569,2,2,5,6,3,3,3,485,1,1,0,0,0,1
"74",570,2,2,5,6,3,3,3,4718,1,1,0,0,0,1
"75",580,2,2,1,5,2,2,2,671,1,1,0,1,0,0
"76",581,2,2,1,5,2,2,2,1541,1,1,0,0,0,1
"77",582,2,2,1,5,2,2,2,1043,1,1,0,0,1,0
"78",587,2,2,1,5,2,2,2,93,1,1,0,1,0,0
"79",588,2,2,1,5,2,2,2,1537,1,1,0,0,0,1
"80",589,2,2,1,5,2,2,2,1181,1,1,0,0,0,1
"81",590,2,2,1,5,2,2,2,2620,1,1,0,0,0,1
"82",591,2,2,1,5,2,2,2,960,1,1,0,0,0,1
"83",592,2,2,1,5,2,2,2,1850,1,1,0,0,0,1
"84",593,2,2,1,4,2,2,2,1178,1,1,0,0,1,0
"85",594,2,2,1,4,2,2,2,2490,1,1,0,0,1,0
"86",595,2,2,1,4,2,2,2,10205,1,1,0,0,1,0
"87",596,2,2,1,4,2,2,2,2248,1,1,0,0,1,0
"88",597,2,2,1,6,2,2,2,1781,1,1,0,1,0,0
"89",598,2,2,1,5,2,2,2,1141,1,1,0,1,0,0
"90",599,2,2,1,5,2,2,2,2503,1,1,0,0,1,0
"91",600,2,2,1,5,2,2,2,1089,1,1,0,1,0,0
"92",601,2,2,1,5,2,2,2,1695,1,1,0,0,1,0
"93",602,2,2,1,5,2,2,2,2067,1,1,0,0,0,1
"94",603,2,2,1,5,2,2,2,2481,1,1,0,1,0,0
"95",604,2,2,1,5,2,2,2,1111,1,1,0,1,0,0
"96",605,2,2,1,5,2,2,2,1340,1,1,0,0,1,0
"97",606,2,2,1,5,2,2,2,1113,1,1,0,0,1,0
"98",607,2,2,1,5,2,2,2,1326,1,1,0,0,1,0
