"edon.x","disloc1996","disloc2018","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
15,13,14,10,4,0.421,0.421,1
15,39,39,17,16,0.792,0.83,0.929
15,8,9,9,1,0.425,0.516,0.455
15,45,45,5,5,0.99,0.361,0.364
15,5,7,6,9,0.563,0.594,0.325
15,10,10,8,10,0.308,0.46,0.39
15,9,9,1,1,0.549,0.516,0.455
15,28,28,12,11,0.492,0.529,0.878
15,20,20,36,33,0.506,0.506,1
15,23,23,15,15,0.644,0.815,0.737
15,6,4,6,2,0.563,0.504,0.27
15,16,29,42,38,0.228,0.228,1
15,38,38,35,32,0.356,0.464,0.741
15,34,9,9,1,0.425,0.516,0.455
15,27,1,12,13,0.492,0.39,0.866
15,36,12,37,31,0.429,0.256,0.444
15,19,19,37,34,0.429,0.445,0.291
15,43,43,38,37,0.669,0.669,1
15,14,14,10,4,0.421,0.421,1
15,35,35,6,6,0.563,0.814,0.577
15,40,5,15,18,0.644,0.208,0.234
15,31,3,19,17,0.339,0.358,0.609
15,11,10,8,10,0.308,0.46,0.39
15,21,21,25,28,0.604,0.604,1
15,22,22,28,24,0.477,0.477,1
15,42,42,27,23,0.588,0.588,1
15,33,6,23,25,0.357,0.357,1
15,17,17,4,7,0.547,0.567,0.547
15,44,17,3,7,0.357,0.567,0.547
15,15,15,3,8,0.357,0.286,0.481
15,3,15,3,8,0.357,0.286,0.481
15,7,7,6,9,0.563,0.594,0.325
15,4,4,2,2,0.531,0.504,0.27
15,30,32,44,41,0.495,0.495,1
15,29,29,42,38,0.228,0.228,1
15,25,25,21,20,0.323,0.323,1
15,32,41,20,21,0.608,0.608,1
15,41,41,20,21,0.608,0.608,1
15,24,24,22,22,0.551,0.551,1
15,26,24,22,22,0.551,0.551,1
15,12,13,8,3,0.308,0.32,0.498
15,37,37,26,27,0.356,0.356,1
15,18,18,40,35,0.648,0.648,1
15,2,34,32,43,0.606,0.308,0.481
15,1,34,32,43,0.606,0.308,0.481
