"","SECCION","munn.x","edon.x","disloc2015.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"1098",318,13,28,3,14,3,3,3,917,0.741,0.706462100652927,0.034537899347073,1,0,0
"1099",319,13,28,3,14,3,3,3,817,0.741,0.706462100652927,0.034537899347073,1,0,0
"1100",320,13,28,3,14,3,3,3,1008,0.741,0.706462100652927,0.034537899347073,1,0,0
"1101",321,13,28,3,14,3,3,3,1300,0.741,0.706462100652927,0.034537899347073,1,0,0
"1102",322,13,28,3,14,3,3,3,796,0.741,0.706462100652927,0.034537899347073,1,0,0
"1103",323,13,28,3,14,3,3,3,154,0.741,0.706462100652927,0.034537899347073,1,0,0
"1104",324,13,28,3,14,3,3,3,1337,0.741,0.706462100652927,0.034537899347073,1,0,0
"1105",325,13,28,3,14,3,3,3,687,0.741,0.706462100652927,0.034537899347073,1,0,0
"1106",326,13,28,3,14,3,3,3,421,0.741,0.706462100652927,0.034537899347073,1,0,0
"1107",346,16,28,3,13,3,3,3,1841,0.741,0.706462100652927,0.034537899347073,0,0,1
"1108",347,16,28,3,13,3,3,3,1445,0.741,0.706462100652927,0.034537899347073,0,0,1
"1109",348,16,28,3,13,3,3,3,1565,0.741,0.706462100652927,0.034537899347073,0,0,1
"1110",349,16,28,3,13,3,3,3,1192,0.741,0.706462100652927,0.034537899347073,0,0,1
"1111",350,16,28,3,13,3,3,3,807,0.741,0.706462100652927,0.034537899347073,1,0,0
"1112",351,16,28,3,13,3,3,3,358,0.741,0.706462100652927,0.034537899347073,1,0,0
"1113",352,16,28,3,13,3,3,3,239,0.741,0.706462100652927,0.034537899347073,1,0,0
"1114",353,16,28,3,13,3,3,3,952,0.741,0.706462100652927,0.034537899347073,1,0,0
"1115",354,16,28,3,13,3,3,3,1656,0.741,0.706462100652927,0.034537899347073,1,0,0
"1116",355,16,28,3,13,3,3,3,996,0.741,0.706462100652927,0.034537899347073,1,0,0
"1117",356,16,28,3,13,3,3,3,1064,0.741,0.706462100652927,0.034537899347073,1,0,0
"1118",357,16,28,3,13,3,3,3,674,0.741,0.706462100652927,0.034537899347073,1,0,0
"1119",358,16,28,3,13,3,3,3,948,0.741,0.706462100652927,0.034537899347073,1,0,0
"1120",359,16,28,3,13,3,3,3,1445,0.741,0.706462100652927,0.034537899347073,1,0,0
"1121",360,16,28,3,13,3,3,3,1264,0.741,0.706462100652927,0.034537899347073,1,0,0
"1122",362,16,28,3,13,3,3,3,509,0.741,0.706462100652927,0.034537899347073,1,0,0
"1123",363,16,28,3,13,3,3,3,1313,0.741,0.706462100652927,0.034537899347073,1,0,0
"1124",364,16,28,3,13,3,3,3,1806,0.741,0.706462100652927,0.034537899347073,1,0,0
"1125",365,16,28,3,13,3,3,3,1059,0.741,0.706462100652927,0.034537899347073,0,0,0
"1126",366,16,28,3,13,3,3,3,1078,0.741,0.706462100652927,0.034537899347073,1,0,0
"1127",367,16,28,3,13,3,3,3,1333,0.741,0.706462100652927,0.034537899347073,0,0,0
"1128",408,20,28,3,13,3,3,3,535,0.741,0.706462100652927,0.034537899347073,0,0,1
"1129",409,20,28,3,13,3,3,3,526,0.741,0.706462100652927,0.034537899347073,0,0,1
"1130",410,20,28,3,13,3,3,3,854,0.741,0.706462100652927,0.034537899347073,1,0,0
"1131",411,20,28,3,13,3,3,3,659,0.741,0.706462100652927,0.034537899347073,1,0,0
"1132",922,30,28,3,14,3,3,3,1729,0.741,0.706462100652927,0.034537899347073,0,0,1
"1133",923,30,28,3,14,3,3,3,1262,0.741,0.706462100652927,0.034537899347073,0,0,1
"1134",924,30,28,3,14,3,3,3,1979,0.741,0.706462100652927,0.034537899347073,0,0,1
"1135",925,30,28,3,14,3,3,3,1151,0.741,0.706462100652927,0.034537899347073,0,0,0
"1136",926,30,28,3,14,3,3,3,2163,0.741,0.706462100652927,0.034537899347073,0,0,0
"1137",927,30,28,3,14,3,3,3,1320,0.741,0.706462100652927,0.034537899347073,0,0,1
"1138",928,30,28,3,14,3,3,3,1634,0.741,0.706462100652927,0.034537899347073,1,0,0
"1139",929,30,28,3,14,3,3,3,1027,0.741,0.706462100652927,0.034537899347073,1,0,0
"1140",930,30,28,3,14,3,3,3,1478,0.741,0.706462100652927,0.034537899347073,1,0,0
