"edon.x","disloc2010","disloc2016","escenario1","escenario3","dsiSQ_E1","dsiSQ_E3","dsiE1_E3"
10,16,3,3,3,0.308,0.308,1
10,8,1,2,1,0.538,0.538,1
10,15,6,1,6,0.323,0.325,0.992
10,2,11,12,11,0.39,0.481,0.661
10,1,11,12,11,0.39,0.481,0.661
10,6,11,11,11,0.306,0.481,0.661
10,3,8,9,8,0.353,0.268,0.239
10,5,9,11,9,0.306,0.281,0.476
10,4,9,9,9,0.353,0.281,0.476
10,14,6,1,6,0.323,0.325,0.992
10,11,15,13,15,0.61,0.61,1
10,12,15,13,15,0.61,0.61,1
10,13,13,15,13,0.403,0.403,1
10,10,13,15,13,0.403,0.403,1
10,17,6,1,6,0.323,0.325,0.992
10,9,7,6,7,0.276,0.276,1
10,7,1,2,1,0.538,0.538,1
