"","seccion","munn","edon","dist_nueva","dist_anterior","esc1","esc2","esc3","pob total","dsi_secc","dsi_pob","dif","rural","urbano","mixto"
"1",356,19,19,18,18,23,25,25,2003,1,1,0,0,1,0
"2",357,19,19,18,18,23,25,25,1797,1,1,0,0,1,0
"3",358,19,19,18,18,23,25,25,1680,1,1,0,0,1,0
"4",359,19,19,18,18,23,25,25,4067,1,1,0,0,1,0
"5",360,19,19,18,18,23,25,25,2731,1,1,0,0,1,0
"6",361,19,19,18,18,23,25,25,2333,1,1,0,0,1,0
"7",362,19,19,18,18,23,25,25,1907,1,1,0,0,1,0
"8",363,19,19,18,18,23,25,25,1776,1,1,0,0,1,0
"9",364,19,19,18,18,23,25,25,1857,1,1,0,0,1,0
"10",365,19,19,18,18,23,25,25,2003,1,1,0,0,1,0
"11",366,19,19,18,18,23,25,25,2263,1,1,0,0,1,0
"12",367,19,19,18,18,23,25,25,1943,1,1,0,0,1,0
"13",368,19,19,18,18,23,25,25,1812,1,1,0,0,1,0
"14",369,19,19,18,18,23,25,25,1569,1,1,0,0,1,0
"15",370,19,19,18,18,23,25,25,2446,1,1,0,0,1,0
"16",371,19,19,18,18,23,25,25,2515,1,1,0,0,1,0
"17",372,19,19,18,18,23,25,25,1546,1,1,0,0,1,0
"18",373,19,19,18,18,23,25,25,1966,1,1,0,0,1,0
"19",374,19,19,18,18,23,25,25,1804,1,1,0,0,1,0
"20",375,19,19,18,18,23,25,25,1484,1,1,0,0,1,0
"21",376,19,19,18,18,23,25,25,916,1,1,0,0,1,0
"22",377,19,19,18,18,23,25,25,1245,1,1,0,0,1,0
"23",378,19,19,18,18,23,25,25,1339,1,1,0,0,1,0
"24",379,19,19,18,18,23,25,25,896,1,1,0,0,1,0
"25",380,19,19,18,18,23,25,25,1993,1,1,0,0,1,0
"26",381,19,19,18,18,23,25,25,857,1,1,0,0,1,0
"27",382,19,19,18,18,23,25,25,1906,1,1,0,0,1,0
"28",383,19,19,18,18,23,25,25,1235,1,1,0,0,1,0
"29",384,19,19,18,18,23,25,25,1703,1,1,0,0,1,0
"30",385,19,19,18,18,23,25,25,1575,1,1,0,0,1,0
"31",386,19,19,18,18,23,25,25,2021,1,1,0,0,1,0
"32",387,19,19,18,18,23,25,25,2208,1,1,0,0,1,0
"33",388,19,19,18,18,23,25,25,3185,1,1,0,0,1,0
"34",389,19,19,18,18,23,25,25,6005,1,1,0,0,1,0
"35",390,19,19,18,18,23,25,25,6380,1,1,0,0,1,0
"36",391,19,19,18,18,23,25,25,1863,1,1,0,0,1,0
"37",392,19,19,18,18,23,25,25,1842,1,1,0,0,1,0
"38",393,19,19,18,18,23,25,25,1344,1,1,0,0,1,0
"39",394,19,19,18,18,23,25,25,1234,1,1,0,0,1,0
"40",395,19,19,18,18,23,25,25,669,1,1,0,0,1,0
"41",396,19,19,18,18,23,25,25,881,1,1,0,0,1,0
"42",397,19,19,18,18,23,25,25,1397,1,1,0,0,1,0
