"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2011","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",3,4,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"2",3,2,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"3",3,4,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"4",3,3,4,0.35,3,4,9,4,0.308199415631848,864,0.041800584368152
"5",3,4,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"6",3,2,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"7",3,4,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"8",3,3,4,0.35,3,4,9,2,0.308199415631848,2154,0.041800584368152
"9",3,4,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"10",3,2,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"11",3,4,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"12",3,3,4,0.35,3,4,11,3,0.308199415631848,1536,0.041800584368152
"13",3,1,1,0.233,3,1,13,1,0.230395662514345,1123,0.002604337485655
"14",3,12,12,1,3,12,1,12,1,1400,0
"15",3,12,12,1,3,12,1,12,1,1400,0
"16",3,11,11,1,3,11,1,11,1,949,0
"17",NA,NA,16,NA,3,16,2,16,1,1638,NA
"18",3,15,15,1,3,15,3,15,1,295,0
"19",3,15,15,1,3,15,3,15,1,295,0
"20",3,13,13,1,3,13,3,13,1,1024,0
"21",3,9,9,1,3,9,16,9,1,1536,0
"22",3,9,9,1,3,9,16,9,1,1536,0
"23",NA,NA,8,NA,3,8,16,8,1,2167,NA
"24",NA,NA,10,NA,3,10,7,10,1,1467,NA
"25",3,5,5,1,3,5,16,5,1,1785,0
"26",NA,NA,6,NA,3,6,8,6,1,11664,NA
"27",NA,NA,7,NA,3,7,8,7,1,1833,NA
