"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2018","disloc2012","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",14,3,2,0.211,14,2,3,3,0.133113924846048,1998,0.077886075153952
"2",14,1,2,0.211,14,2,3,3,0.133113924846048,1998,0.077886075153952
"3",14,8,4,0.455,14,4,17,8,0.428773729255965,2431,0.026226270744035
"4",14,8,4,0.455,14,4,17,8,0.428773729255965,2431,0.026226270744035
"5",14,6,4,0.455,14,4,17,8,0.428773729255965,2431,0.026226270744035
"6",14,4,5,0.327,14,5,19,4,0.343133042314361,1127,0.016133042314361
"7",14,8,3,0.584,14,3,1,2,0.562261988267861,3519,0.021738011732139
"8",14,2,3,0.584,14,3,1,2,0.562261988267861,3519,0.021738011732139
"9",NA,NA,1,NA,14,1,3,7,0.219371302471352,3523,NA
"10",14,8,4,0.455,14,4,5,6,0.428773729255965,983,0.026226270744035
"11",14,8,4,0.455,14,4,5,6,0.428773729255965,983,0.026226270744035
"12",14,6,4,0.455,14,4,5,6,0.428773729255965,983,0.026226270744035
"13",NA,NA,7,NA,14,7,17,9,0.316058939644988,2019,NA
"14",NA,NA,7,NA,14,7,17,1,0.316058939644988,4544,NA
"15",14,5,9,0.757,14,9,2,5,0.777784848232685,5485,0.020784848232685
"16",14,14,13,1,14,13,12,14,1,693,0
"17",14,14,13,1,14,13,12,14,1,693,0
"18",14,12,12,1,14,12,9,12,1,1303,0
"19",14,12,12,1,14,12,9,12,1,1303,0
"20",14,13,11,1,14,11,11,13,1,2574,0
"21",14,11,10,1,14,10,12,11,1,1204,0
"22",NA,NA,20,NA,14,20,7,10,1,3025,NA
"23",14,20,14,0.657,14,14,16,20,0.512164994297337,1791,0.144835005702663
"24",14,20,14,0.657,14,14,16,18,0.512164994297337,2493,0.144835005702663
"25",14,20,14,0.657,14,14,16,19,0.512164994297337,8177,0.144835005702663
"26",14,16,19,0.74,14,19,10,16,0.647972202079399,1554,0.092027797920601
"27",14,17,19,0.74,14,19,10,16,0.647972202079399,1554,0.092027797920601
"28",14,16,19,0.74,14,19,10,17,0.647972202079399,2046,0.092027797920601
"29",14,17,19,0.74,14,19,10,17,0.647972202079399,2046,0.092027797920601
"30",NA,NA,18,NA,14,18,10,15,0.686928748830465,4097,NA
