"","edon.x","escenario1.x","escenario3jge","dsi_E1_E3_sec","edon.y","disloc2018","disloc2015","escenario1.y","escenario3cg","dsi_E1_E3_pob","pob_total","dif"
"1",13,8,1,0.697,13,1,18,8,9,0.647024111074616,1422,0.049975888925384
"2",13,7,1,0.697,13,1,18,8,9,0.647024111074616,1422,0.049975888925384
"3",13,2,2,0.543,13,2,14,2,1,0.529683759413143,5385,0.013316240586857
"4",13,6,4,1,13,4,16,6,18,1,2564,0
"5",13,6,4,1,13,4,16,6,18,1,2564,0
"6",13,6,4,1,13,4,16,6,18,1,2564,0
"7",13,8,10,0.686,13,10,11,5,4,0.616422579490452,2261,0.0695774205095481
"8",13,5,10,0.686,13,10,11,5,4,0.616422579490452,2261,0.0695774205095481
"9",13,5,10,0.686,13,10,11,5,4,0.616422579490452,2261,0.0695774205095481
"10",NA,NA,6,NA,13,6,5,3,2,0.788599289371218,2696,NA
"11",13,16,7,1,13,7,13,16,14,1,2734,0
"12",13,1,8,0.881,13,8,18,1,1,0.896940833226069,2786,0.015940833226069
"13",13,1,8,0.881,13,8,18,1,1,0.896940833226069,2786,0.015940833226069
"14",13,1,8,0.881,13,8,18,1,1,0.896940833226069,2786,0.015940833226069
"15",13,18,18,1,13,18,16,18,16,1,1298,0
"16",13,11,9,0.962,13,9,17,11,18,0.942418573661687,2668,0.0195814263383129
"17",13,7,12,0.874,13,12,2,7,13,0.869223717654902,1723,0.00477628234509797
"18",13,2,2,0.543,13,2,14,9,6,0.529683759413143,3077,0.013316240586857
"19",NA,NA,11,NA,13,11,13,17,15,1,1969,NA
"20",13,7,12,0.874,13,12,2,15,13,0.869223717654902,3167,0.00477628234509797
"21",NA,NA,16,NA,13,16,2,13,11,1,1153,NA
"22",NA,NA,15,NA,13,15,1,12,12,1,14321,NA
"23",13,10,13,1,13,13,12,10,17,1,1715,0
"24",13,2,3,0.286,13,3,4,4,8,0.291344821633298,1398,0.00534482163329802
"25",NA,NA,17,NA,13,17,3,14,10,1,11799,NA
