"","edon.x","disloc2016.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2016.y","disloc2013","escenario1","dsi_SQ_E3_pob","pob_total","dif"
"1",8,1,1,0.531,8,11,1,1,0.634300499603223,732,0.103300499603223
"2",8,10,1,0.531,8,11,1,1,0.634300499603223,732,0.103300499603223
"3",8,1,1,0.531,8,11,10,1,0.634300499603223,3914,0.103300499603223
"4",8,10,1,0.531,8,11,10,1,0.634300499603223,3914,0.103300499603223
"5",8,22,2,0.885,8,20,22,3,0.94136565712698,1133,0.0563656571269799
"6",8,12,2,0.885,8,20,22,3,0.94136565712698,1133,0.0563656571269799
"7",8,11,4,0.415,8,13,11,5,0.482348858050112,637,0.067348858050112
"8",8,14,4,0.415,8,13,11,5,0.482348858050112,637,0.067348858050112
"9",8,21,6,0.757,8,22,21,6,0.848409972428618,1583,0.091409972428618
"10",8,11,4,0.415,8,13,14,5,0.482348858050112,241,0.067348858050112
"11",8,14,4,0.415,8,13,14,5,0.482348858050112,241,0.067348858050112
"12",8,22,2,0.885,8,20,12,3,0.94136565712698,458,0.0563656571269799
"13",8,12,2,0.885,8,20,12,3,0.94136565712698,458,0.0563656571269799
"14",8,13,7,0.921,8,14,13,7,0.952746802380705,1489,0.0317468023807049
"15",8,19,10,0.271,8,18,19,10,0.247694106916944,924,0.023305893083056
"16",8,16,10,0.271,8,18,19,10,0.247694106916944,924,0.023305893083056
"17",8,18,11,0.424,8,16,18,11,0.358304048341274,791,0.065695951658726
"18",8,19,10,0.271,8,18,16,10,0.247694106916944,4027,0.023305893083056
"19",8,16,10,0.271,8,18,16,10,0.247694106916944,4027,0.023305893083056
"20",8,15,9,0.52,8,12,15,9,0.633377551410338,19342,0.113377551410338
"21",8,17,9,0.52,8,12,15,9,0.633377551410338,19342,0.113377551410338
"22",8,15,9,0.52,8,12,17,9,0.633377551410338,4564,0.113377551410338
"23",8,17,9,0.52,8,12,17,9,0.633377551410338,4564,0.113377551410338
"24",8,20,8,0.866,8,19,20,8,0.891888055946221,943,0.025888055946221
"25",8,2,16,0.264,8,2,2,16,0.374437797669014,7094,0.110437797669014
"26",8,6,16,0.264,8,2,2,16,0.374437797669014,7094,0.110437797669014
"27",8,3,21,0.399,8,4,3,22,0.32632592642433,305,0.07267407357567
"28",8,5,21,0.399,8,4,3,22,0.32632592642433,305,0.07267407357567
"29",8,2,16,0.264,8,2,6,16,0.374437797669014,7702,0.110437797669014
"30",8,6,16,0.264,8,2,6,16,0.374437797669014,7702,0.110437797669014
"31",8,4,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"32",8,9,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"33",8,7,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"34",8,4,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"35",8,9,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"36",8,7,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"37",8,4,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"38",8,9,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"39",8,7,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"40",8,3,21,0.399,8,4,5,22,0.32632592642433,456,0.07267407357567
"41",8,5,21,0.399,8,4,5,22,0.32632592642433,456,0.07267407357567
"42",8,8,17,0.322,8,9,8,18,0.205414042462639,969,0.116585957537361
