"","edon.x","escenario1.x","escenario3","dsi_E1_E3_sec","edon.y","disloc2016","disloc2013","escenario1.y","dsi_E1_E3_pob","pob_total","dif"
"1",2,7,7,1,2,15,14,7,1,1952,0
"2",2,7,7,1,2,15,14,7,1,1952,0
"3",2,6,6,1,2,16,14,6,1,2910,0
"4",NA,NA,8,NA,2,17,15,8,1,19001,NA
"5",2,1,1,1,2,4,1,1,1,948,0
"6",2,5,5,1,2,3,2,5,1,389,0
"7",2,5,5,1,2,3,2,5,1,389,0
"8",2,5,5,1,2,3,2,5,1,389,0
"9",NA,NA,4,NA,2,2,4,4,1,1012,NA
"10",2,3,3,1,2,5,6,3,1,1785,0
"11",2,2,2,1,2,1,5,2,1,1043,0
"12",2,12,12,1,2,6,7,12,1,1939,0
"13",2,16,16,1,2,11,8,16,1,2750,0
"14",2,11,11,1,2,10,8,11,1,1284,0
"15",2,11,11,1,2,10,8,11,1,1284,0
"16",2,13,13,1,2,9,12,13,1,563,0
"17",2,17,17,1,2,8,10,17,1,1067,0
"18",2,17,17,1,2,8,10,17,1,1067,0
"19",NA,NA,9,NA,2,12,10,9,1,1247,NA
"20",2,14,14,1,2,13,10,14,1,1120,0
"21",NA,NA,10,NA,2,7,13,10,1,7721,NA
"22",NA,NA,15,NA,2,14,13,15,1,3528,NA
