"","edon.x","disloc2012.x","escenario3jge","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2012.y","escenario1","escenario3","dsi_SQ_E3_pob","pob_total","dif"
"1",13,18,1,1,17,9,9,1,1,0.484600265442793,2107,0.515399734557207
"2",13,13,11,1,17,4,13,11,11,0.608560662494359,2745,0.391439337505641
"3",13,14,2,1,17,11,18,2,2,0.424086280335869,3542,0.575913719664131
"4",13,5,3,1,17,10,16,3,3,0.748962141762,1941,0.251037858238
"5",13,18,1,1,17,9,8,4,1,0.484600265442793,1071,0.515399734557207
"6",13,13,11,1,17,4,14,12,12,0.608560662494359,5717,0.391439337505641
"7",13,17,9,1,17,2,1,10,9,0.894333565332982,4047,0.105666434667018
"8",13,18,8,1,17,1,1,8,8,0.937625624903365,3264,0.062374375096635
"9",13,10,10,1,17,3,2,9,10,0.887508068710949,2520,0.112491931289051
"10",NA,NA,NA,NA,17,5,4,NA,NA,0,5979,NA
"11",13,16,4,1,17,8,5,5,4,1,5445,0
"12",13,5,6,1,17,6,6,6,6,1,1865,0
"13",13,13,7,1,17,12,6,7,7,1,6275,0
