"","edon.x","disloc2012.x","escenario3","dsi_SQ_E3_sec","edon.y","disloc2018","disloc2012.y","escenario1","escenario3jge","dsi_SQ_E3_pob","pob_total","dif"
"1",17,9,1,0.462,17,9,9,1,1,0.553639079247935,2107,0.091639079247935
"2",17,8,1,0.462,17,9,9,1,1,0.553639079247935,2107,0.091639079247935
"3",17,13,11,0.614,17,4,13,11,11,0.619103432016436,2745,0.00510343201643604
"4",17,17,11,0.614,17,4,13,11,11,0.619103432016436,2745,0.00510343201643604
"5",17,18,2,0.633,17,11,18,2,2,0.594144562562356,3542,0.038855437437644
"6",17,11,2,0.633,17,11,18,2,2,0.594144562562356,3542,0.038855437437644
"7",17,16,3,0.477,17,10,16,3,3,0.508502601020058,1941,0.031502601020058
"8",17,10,3,0.477,17,10,16,3,3,0.508502601020058,1941,0.031502601020058
"9",17,9,1,0.462,17,9,8,4,1,0.553639079247935,1071,0.091639079247935
"10",17,8,1,0.462,17,9,8,4,1,0.553639079247935,1071,0.091639079247935
"11",17,14,12,0.53,17,4,14,12,11,0.629817731831189,5717,0.099817731831189
"12",17,15,12,0.53,17,4,14,12,11,0.629817731831189,5717,0.099817731831189
"13",17,14,12,0.53,17,7,15,12,12,0.629817731831189,1380,0.099817731831189
"14",17,15,12,0.53,17,7,15,12,12,0.629817731831189,1380,0.099817731831189
"15",17,1,9,0.409,17,2,1,10,9,0.381560191433202,4047,0.027439808566798
"16",17,3,9,0.409,17,2,1,10,9,0.381560191433202,4047,0.027439808566798
"17",17,4,9,0.409,17,2,1,10,9,0.381560191433202,4047,0.027439808566798
"18",17,2,8,0.326,17,1,2,8,8,0.394811689822157,4773,0.068811689822157
"19",17,1,9,0.409,17,2,3,10,9,0.381560191433202,1242,0.027439808566798
"20",17,3,9,0.409,17,2,3,10,9,0.381560191433202,1242,0.027439808566798
"21",17,4,9,0.409,17,2,3,10,9,0.381560191433202,1242,0.027439808566798
"22",17,1,9,0.409,17,2,4,10,9,0.381560191433202,936,0.027439808566798
"23",17,3,9,0.409,17,2,4,10,9,0.381560191433202,936,0.027439808566798
"24",17,4,9,0.409,17,2,4,10,9,0.381560191433202,936,0.027439808566798
"25",17,5,4,0.28,17,8,5,5,4,0.33052259872293,5445,0.05052259872293
"26",17,6,6,0.483,17,6,6,6,6,0.343587586572479,1865,0.139412413427521
"27",17,7,6,0.483,17,6,6,6,6,0.343587586572479,1865,0.139412413427521
"28",17,6,6,0.483,17,6,7,6,6,0.343587586572479,3503,0.139412413427521
"29",17,7,6,0.483,17,6,7,6,6,0.343587586572479,3503,0.139412413427521
"30",17,18,2,0.633,17,11,11,1,2,0.594144562562356,2087,0.038855437437644
"31",17,11,2,0.633,17,11,11,1,2,0.594144562562356,2087,0.038855437437644
"32",17,13,11,0.614,17,4,17,11,11,0.619103432016436,2583,0.00510343201643604
"33",17,17,11,0.614,17,4,17,11,11,0.619103432016436,2583,0.00510343201643604
"34",17,12,10,0.174,17,3,12,9,10,0.170593944951444,2222,0.00340605504855598
"35",17,16,3,0.477,17,10,10,3,3,0.508502601020058,2263,0.031502601020058
"36",17,10,3,0.477,17,10,10,3,3,0.508502601020058,2263,0.031502601020058
