"","edon.x","escenario1.x","escenario3cg","dsi_E1_E3cg_sec","edon.y","disloc2018","disloc2010","escenario1.y","escenario3jge","escenario3trib","dsi_E1_E3_pob","pob_total","dif"
"1",20,16,1,0.655,20,1,3,16,1,1,0.420594203453425,1172,0.234405796546575
"2",20,13,2,1,20,2,25,13,2,2,0.516635911727047,977,0.483364088272953
"3",20,3,3,0.386,20,3,22,3,3,3,0.307738126306805,1644,0.078261873693195
"4",20,2,3,0.386,20,3,22,3,3,3,0.307738126306805,1644,0.078261873693195
"5",20,3,16,0.723,20,16,1,3,16,16,0.307738126306805,2249,0.415261873693195
"6",20,17,4,0.437,20,4,20,17,4,4,0.528258122072708,1156,0.0912581220727079
"7",20,14,5,1,20,5,15,14,5,5,0.734092883473034,1012,0.265907116526966
"8",20,14,5,1,20,5,15,14,5,5,0.734092883473034,1012,0.265907116526966
"9",20,5,6,0.953,20,6,5,5,18,6,0.431416552147291,885,0.521583447852709
"10",20,5,6,0.953,20,6,5,5,18,6,0.431416552147291,885,0.521583447852709
"11",20,4,7,0.319,20,7,16,4,7,7,0.171534218060539,3918,0.147465781939461
"12",20,1,7,0.319,20,7,16,4,7,7,0.171534218060539,3918,0.147465781939461
"13",20,3,3,0.386,20,3,19,2,3,3,0.378344023956646,1070,0.007655976043354
"14",20,2,3,0.386,20,3,19,2,3,3,0.378344023956646,1070,0.007655976043354
"15",20,20,8,0.679,20,8,4,20,10,8,0.213954360864517,540,0.465045639135483
"16",20,22,9,0.308,20,9,18,22,9,9,0.152654072748802,2003,0.155345927251198
"17",20,20,11,0.631,20,11,24,20,10,11,0.213954360864517,2816,0.417045639135483
"18",20,18,11,0.631,20,11,24,20,10,11,0.213954360864517,2816,0.417045639135483
"19",20,14,5,1,20,5,21,14,5,5,0.734092883473034,710,0.265907116526966
"20",20,14,5,1,20,5,21,14,5,5,0.734092883473034,710,0.265907116526966
"21",20,11,10,0.311,20,10,8,11,11,10,0.693613438141395,2459,0.382613438141395
"22",20,19,10,0.311,20,10,8,11,11,10,0.693613438141395,2459,0.382613438141395
"23",20,20,11,0.631,20,11,23,18,6,11,0.428953875814665,1481,0.202046124185335
"24",20,18,11,0.631,20,11,23,18,6,11,0.428953875814665,1481,0.202046124185335
"25",20,7,12,0.509,20,12,13,7,12,12,0.59299183317191,1713,0.0839918331719099
"26",20,19,13,0.295,20,13,10,19,13,13,0.462293775655173,1404,0.167293775655173
"27",20,21,13,0.295,20,13,10,19,13,13,0.462293775655173,1404,0.167293775655173
"28",20,4,7,0.319,20,7,14,1,7,7,0.288691276973578,334,0.030308723026422
"29",20,1,7,0.319,20,7,14,1,7,7,0.288691276973578,334,0.030308723026422
"30",20,4,15,0.23,20,15,17,4,15,15,0.171534218060539,1518,0.058465781939461
"31",20,8,14,0.746,20,14,12,8,14,14,0.395998469654433,2747,0.350001530345567
"32",20,16,18,0.418,20,18,2,16,21,18,0.420594203453425,2822,0.00259420345342504
"33",20,10,21,0.64,20,21,11,10,19,21,0.821553126547223,1451,0.181553126547223
"34",20,11,10,0.311,20,10,7,19,11,10,0.462293775655173,2299,0.151293775655173
"35",20,19,10,0.311,20,10,7,19,11,10,0.462293775655173,2299,0.151293775655173
"36",20,5,6,0.953,20,6,6,5,18,6,0.431416552147291,5561,0.521583447852709
"37",20,5,6,0.953,20,6,6,5,18,6,0.431416552147291,5561,0.521583447852709
"38",20,19,13,0.295,20,13,9,21,13,13,0.955309965742157,773,0.660309965742157
"39",20,21,13,0.295,20,13,9,21,13,13,0.955309965742157,773,0.660309965742157
