"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",319,5,5,5,1282,2,2,3,1,0,0,1,0,0,1,0,0
"2",320,5,5,5,539,2,2,3,1,0,0,1,0,0,1,0,0
"3",321,5,5,5,990,2,2,3,1,0,0,1,0,0,1,0,0
"4",338,5,5,5,1651,2,2,3,1,0,0,1,0,0,1,0,0
"5",339,5,5,5,2270,2,2,3,1,0,0,1,0,0,1,0,0
"6",340,5,5,5,1684,2,2,3,1,0,0,1,0,0,1,0,0
"7",341,5,5,5,1013,2,2,3,1,0,0,1,0,0,1,0,0
"8",342,5,5,5,2023,2,2,3,1,0,0,1,0,0,1,0,0
"9",358,5,5,5,1595,2,2,3,1,0,0,1,0,0,1,0,0
"10",359,5,5,5,1050,2,2,3,1,0,0,1,0,0,1,0,0
"11",360,5,5,5,1173,2,2,3,1,0,0,1,0,0,1,0,0
"12",361,5,5,5,2121,2,2,3,1,0,0,1,0,0,1,0,0
"13",362,5,5,5,1257,2,2,3,1,0,0,1,0,0,1,0,0
"14",363,5,5,5,1164,2,2,3,1,0,0,1,0,0,1,0,0
"15",364,5,5,5,1611,2,2,3,1,0,0,1,0,0,1,0,0
"16",365,5,5,5,1056,2,2,3,1,0,0,1,0,0,1,0,0
"17",366,5,5,5,5705,2,2,3,1,0,0,1,0,0,1,0,0
"18",367,5,5,5,1271,2,2,3,1,0,0,1,0,0,1,0,0
"19",368,5,5,5,1645,2,2,3,1,0,0,1,0,0,1,0,0
"20",451,5,5,5,715,2,3,3,1,0,0,1,0,0,1,0,0
"21",459,5,5,5,1711,2,3,3,1,0,0,1,0,0,1,0,0
"22",463,4,4,4,1991,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"23",464,4,4,4,897,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"24",465,5,5,5,1146,2,3,3,1,0,0,1,0,0,1,0,0
"25",466,4,4,4,1106,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"26",467,4,4,4,2194,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"27",468,4,4,4,1261,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"28",471,4,4,4,1131,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"29",472,4,4,4,3155,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"30",473,4,4,4,976,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"31",474,4,4,4,2175,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"32",475,4,4,4,1102,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"33",476,4,4,4,1215,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"34",477,4,4,4,1784,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"35",478,4,4,4,1546,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"36",479,4,4,4,1596,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"37",480,4,4,4,4167,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"38",481,4,4,4,2191,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"39",482,4,4,4,1776,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"40",483,4,4,4,537,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"41",484,4,4,4,714,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"42",485,4,4,4,811,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"43",486,4,4,4,1437,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"44",487,4,4,4,1112,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"45",488,4,4,4,10877,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"46",489,4,4,4,1256,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"47",490,4,4,4,727,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"48",491,4,4,4,1255,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"49",492,4,4,4,2276,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"50",493,4,4,4,1543,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"51",494,4,4,4,792,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"52",495,3,3,3,1785,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"53",496,3,3,3,4490,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"54",497,3,3,3,852,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"55",498,4,4,4,1948,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"56",499,4,4,4,1393,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"57",500,4,4,4,766,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"58",501,4,4,4,15700,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"59",502,4,4,4,9863,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"60",503,4,4,4,591,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"61",504,4,4,4,470,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"62",505,4,4,4,1225,2,4,2,1,0,0,0.976,0.016,0.008,0.962,0.038,0
"63",507,3,3,3,959,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"64",508,3,3,3,578,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"65",509,3,3,3,1175,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"66",510,3,3,3,943,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
"67",511,3,3,3,1000,2,6,5,1,0,0,0.796,0.088,0.117,0.76,0.104,0.135
