"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",1,9,11,11,730,4,2,11,1,0,0,1,0,0,0.657,0.286,0.057,1,0.333,1,0.273
"7",7,9,11,11,1276,4,1,11,1,0,0,1,0,0,0.657,0.286,0.057,1,0.333,1,0.273
"17",17,7,7,7,7054,4,7,7,0,0,1,0.143,0.667,0.19,0.625,0.125,0.25,7,0.308,7,0.581
"39",39,7,7,7,2817,4,3,7,1,0,0,1,0,0,0.625,0.125,0.25,7,0.308,7,0.581
"52",52,9,9,9,753,4,5,9,1,0,0,0.958,0,0.042,1,0,0,1,0.333,1,0.273
"57",57,13,6,6,1182,4,4,6,1,0,0,1,0,0,1,0,0,4,0.955,4,0.972
"101",101,6,9,9,2902,4,6,9,1,0,0,0.346,0.462,0.192,1,0,0,5,0.387,5,0.382
"147",147,1,1,1,2181,4,17,1,0,0,1,0.625,0.083,0.292,0.6,0.12,0.28,17,0.7,17,0.697
"157",157,3,3,3,754,4,19,3,0,1,0,0.267,0.533,0.2,0.276,0.517,0.207,19,0.632,19,0.64
"201",381,2,2,2,2426,4,18,2,0,0,1,0.094,0.688,0.219,0.094,0.688,0.219,18,0.914,18,0.866
"241",413,21,18,18,580,4,21,18,0,1,0,0,0.962,0.038,0,0.962,0.038,21,1,21,1
"256",183,14,15,15,7130,4,11,15,1,0,0,1,0,0,1,0,0,20,0.409,20,NA
"258",185,19,15,15,3472,4,10,15,1,0,0,1,0,0,1,0,0,10,0.688,10,0.705
"260",187,17,12,12,1834,4,9,12,1,0,0,1,0,0,1,0,0,9,0.958,9,0.973
"289",216,18,17,17,1002,4,8,17,1,0,0,1,0,0,0.484,0.387,0.129,8,0.92,8,0.932
"321",250,16,14,14,3209,4,12,14,0,0,1,0.812,0.104,0.083,0.138,0.724,0.138,20,0.356,20,0.277
"332",261,16,14,14,1589,4,20,14,0,1,0,0.059,0.824,0.118,0.138,0.724,0.138,20,0.356,20,0.277
"392",303,11,21,21,951,4,15,21,1,0,0,0.68,0.24,0.08,0.63,0.296,0.074,15,0.92,15,0.944
"409",320,12,20,20,2002,4,16,20,0,0,1,0.226,0.613,0.161,0.241,0.586,0.172,16,0.217,16,NA
"459",448,20,19,19,3785,4,13,19,0,0,1,0.643,0.25,0.107,0.643,0.25,0.107,13,1,13,1
"491",273,4,4,4,3519,4,14,4,0,1,0,0.133,0.833,0.033,0.133,0.833,0.033,14,1,14,1
