"seccion","munn","edo","edon","disloc2016","disloc2013","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"zac",32,14,14,409,1,7,0,0,1,15,0.56,0.182,0.627,0.191,15,0.507
22,3,"zac",32,14,15,714,1,7,0,0,1,15,0.56,0.161,0.609,0.23,15,0.507
40,5,"zac",32,2,3,5243,15,14,0,0,1,3,0.591,0.288,0.339,0.373,3,0.429
61,6,"zac",32,16,12,1158,16,17,0,0,1,12,1,0.495,0.277,0.228,12,1
73,7,"zac",32,12,18,904,18,15,1,0,0,18,0.317,0.09,0.779,0.131,18,0.457
103,8,"zac",32,11,6,1140,2,6,1,0,0,15,0.129,0.257,0.514,0.229,15,0.218
114,9,"zac",32,17,16,697,14,18,0,0,1,7,0.652,0.278,0.54,0.183,7,0.659
135,10,"zac",32,7,11,3622,8,12,1,0,0,18,0.289,0.442,0.433,0.125,18,0.257
138,10,"zac",32,5,8,871,8,10,1,0,0,18,0.289,0.404,0.532,0.064,18,0.257
386,14,"zac",32,18,17,1289,18,16,1,0,0,18,0.317,0.384,0.477,0.14,18,0.457
428,15,"zac",32,13,10,584,4,2,0,0,1,10,0.42,0.203,0.622,0.175,10,0.426
460,17,"zac",32,3,4,2266,13,8,1,0,0,4,0.534,0.649,0.189,0.162,4,0.412
471,17,"zac",32,3,5,3198,13,8,1,0,0,4,0.534,0.767,0.163,0.07,4,0.412
606,20,"zac",32,10,7,3573,15,5,0,0,1,3,0.591,0.368,0.517,0.115,3,0.429
763,24,"zac",32,9,9,2608,3,3,1,0,0,9,0.766,0.225,0.562,0.213,9,0.708
1094,38,"zac",32,15,13,1482,5,1,0,0,1,13,1,0.074,0.826,0.099,13,1
1772,56,"zac",32,2,1,876,10,14,1,0,0,2,0.198,0.86,0.123,0.018,2,0.293
1773,56,"zac",32,2,2,1497,10,14,1,0,0,2,0.198,0.87,0.074,0.056,2,0.293
