"seccion","munn","edo","edon","disloc2016","disloc2010","pobtot","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
1,1,"dgo",10,3,16,513,3,3,1,0,0,6,0.295,0.179,0.772,0.049,6,0.308
42,2,"dgo",10,1,8,760,2,1,0,0,1,7,0.65,0.08,0.84,0.08,7,0.538
66,4,"dgo",10,6,15,2572,1,6,1,0,0,15,0.339,0.202,0.636,0.162,15,0.323
108,5,"dgo",10,11,2,9095,12,11,1,0,0,1,0.448,0.851,0.134,0.015,1,0.39
122,5,"dgo",10,11,1,905,12,11,1,0,0,1,0.448,0.769,0.215,0.015,1,0.39
166,5,"dgo",10,11,6,2495,11,11,1,0,0,1,0.201,0.43,0.506,0.063,1,0.306
182,5,"dgo",10,8,3,1165,9,8,1,0,0,3,0.414,0.64,0.32,0.04,3,0.353
205,5,"dgo",10,9,5,835,11,9,1,0,0,1,0.201,0.931,0.042,0.028,1,0.306
229,5,"dgo",10,9,4,633,9,9,1,0,0,3,0.414,0.395,0.566,0.039,3,0.353
420,6,"dgo",10,6,14,1271,1,6,1,0,0,15,0.339,0.366,0.512,0.122,15,0.323
436,7,"dgo",10,15,11,1328,13,15,1,0,0,12,0.724,0.523,0.409,0.068,12,0.61
438,7,"dgo",10,15,12,2814,13,15,1,0,0,12,0.724,0.979,0,0.021,12,0.61
485,7,"dgo",10,13,13,1602,15,13,1,0,0,13,0.51,1,0,0,13,0.475
541,7,"dgo",10,13,10,14035,15,13,1,0,0,13,0.51,0.391,0.562,0.047,13,0.475
612,8,"dgo",10,6,17,2281,1,6,1,0,0,15,0.339,0.481,0.403,0.117,15,0.323
689,12,"dgo",10,7,9,8932,6,7,1,0,0,14,0.357,0.469,0.438,0.094,14,0.276
947,20,"dgo",10,1,7,1079,2,1,0,0,1,7,0.65,0.117,0.807,0.076,7,0.538
