"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",3,5,5,3,3083,5,15,1,1,0,0,0.84,0.093,0.067,0.766,0.138,0.096,15,0.798,15,NA
"66",42,6,6,5,3656,5,14,5,1,0,0,0.611,0.194,0.194,0.764,0.102,0.134,14,0.556,14,0.618
"121",577,8,8,16,4421,5,16,2,0,0,1,0.908,0.034,0.057,0.802,0.081,0.117,16,1,16,1
"229",110,2,2,4,1287,5,11,4,0,0,1,0.705,0.18,0.115,0.369,0.489,0.142,10,0.412,10,0.43
"245",131,3,3,8,2483,5,10,7,1,0,0,0.407,0.537,0.057,0.321,0.557,0.122,6,0.376,6,0.348
"330",450,1,1,1,1850,5,13,3,1,0,0,0.673,0.1,0.227,0.788,0.059,0.153,13,0.401,13,0.399
"534",57,7,7,11,7004,5,5,12,0,0,1,0.252,0.643,0.104,0.252,0.643,0.104,5,0.81,5,0.857
"558",81,6,6,5,593,5,12,5,0,0,1,0.803,0.128,0.068,0.764,0.102,0.134,14,0.556,14,0.618
"824",754,14,14,13,2628,5,1,14,1,0,0,1,0,0,1,0,0,1,0.702,1,0.595
"835",834,14,14,14,3589,5,2,15,1,0,0,0.699,0.285,0.016,1,0,0,1,0.702,1,0.595
"840",840,13,13,14,860,5,3,15,1,0,0,1,0,0,1,0,0,4,0.386,4,0.346
"1032",257,3,3,8,1941,5,6,7,1,0,0,0.284,0.52,0.196,0.321,0.557,0.122,6,0.376,6,0.348
"1128",1215,11,11,10,1294,5,9,9,1,0,0,1,0,0,1,0,0,8,0.65,8,0.572
"1129",1218,11,11,10,1326,5,8,9,1,0,0,1,0,0,1,0,0,8,0.65,8,0.572
"1213",1410,10,10,6,1711,5,7,10,1,0,0,1,0,0,0.993,0.007,0,7,0.705,7,0.557
"1518",730,16,16,13,2708,5,4,14,1,0,0,0.966,0.034,0,1,0,0,2,0.214,2,0.073
