"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n"
"1",1,1,1,1,732,8,1,11,0,0,1,0.599,0.293,0.109,0.516,0.373,0.112
"2",2,1,1,1,559,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"3",3,1,1,1,835,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"4",4,1,1,1,728,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"5",5,1,1,1,1094,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"6",6,1,1,1,2581,8,1,11,0,0,1,0.599,0.293,0.109,0.516,0.373,0.112
"7",7,1,1,1,1070,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"8",8,1,1,1,1183,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"9",10,1,1,1,263,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"10",11,1,1,1,117,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"11",12,1,1,1,297,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"12",13,1,1,1,612,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"13",14,1,1,1,660,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"14",15,1,1,1,504,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"15",16,1,1,1,224,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"16",60,4,3,3,2450,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"17",61,4,3,3,1750,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"18",62,4,3,3,947,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"19",63,4,3,3,868,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"20",64,4,3,3,1566,8,1,1,0,0,1,0.599,0.293,0.109,0.582,0.299,0.119
"21",65,4,3,3,536,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"22",66,4,3,3,762,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"23",67,4,3,3,1069,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"24",68,4,3,3,278,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"25",69,4,3,3,559,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"26",70,4,3,3,1414,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"27",71,4,3,3,329,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"28",72,4,3,3,1857,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"29",73,4,3,3,634,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"30",74,4,3,3,457,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"31",75,4,3,3,706,8,1,1,0,0,1,0.599,0.293,0.109,0.582,0.299,0.119
"32",76,4,3,3,1204,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"33",78,4,3,3,1369,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"34",79,4,3,3,1223,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"35",80,4,3,3,593,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"36",81,4,3,3,3367,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"37",1126,1,1,1,646,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"38",1127,1,1,1,377,8,1,11,0,0,1,0.599,0.293,0.109,0.516,0.373,0.112
"39",1128,1,1,1,1278,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"40",1129,1,1,1,688,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"41",1130,1,1,1,903,8,1,11,1,0,0,0.599,0.293,0.109,0.516,0.373,0.112
"42",1131,1,1,1,825,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"43",1132,1,1,1,177,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"44",1134,1,1,1,1426,8,1,11,0,1,0,0.599,0.293,0.109,0.516,0.373,0.112
"45",1375,4,3,3,1207,8,1,1,0,0,1,0.599,0.293,0.109,0.582,0.299,0.119
"46",1376,4,3,3,338,8,1,1,1,0,0,0.599,0.293,0.109,0.582,0.299,0.119
"47",1377,4,3,3,1474,8,1,1,0,0,1,0.599,0.293,0.109,0.582,0.299,0.119
"48",1378,4,3,3,708,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"49",1379,4,3,3,2350,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"50",1380,4,3,3,1185,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"51",1381,4,3,3,1412,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"52",1382,4,3,3,334,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"53",1383,4,3,3,851,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"54",1384,4,3,3,455,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"55",1385,4,3,3,376,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"56",1386,4,3,3,257,8,1,1,0,1,0,0.599,0.293,0.109,0.582,0.299,0.119
"57",1562,16,16,16,7702,8,6,2,0,0,1,0.965,0.018,0.018,0.971,0,0.029
"58",1826,21,22,22,4242,8,7,7,1,0,0,1,0,0,1,0,0
"59",1857,20,19,19,1392,8,4,8,1,0,0,1,0,0,1,0,0
"60",1858,20,19,19,2497,8,4,8,1,0,0,1,0,0,1,0,0
"61",1859,20,19,19,700,8,4,8,1,0,0,1,0,0,1,0,0
"62",1860,20,19,19,1122,8,4,8,1,0,0,1,0,0,1,0,0
"63",1861,20,19,19,493,8,4,8,1,0,0,1,0,0,1,0,0
"64",1862,20,19,19,558,8,4,8,1,0,0,1,0,0,1,0,0
"65",1863,20,19,19,595,8,9,8,1,0,0,0.97,0.03,0,1,0,0
"66",1864,20,19,19,358,8,4,8,1,0,0,1,0,0,1,0,0
"67",1865,20,19,19,690,8,4,8,1,0,0,1,0,0,1,0,0
