"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",1,1,1,1,732,8,1,11,0,0,1,0.599,0.293,0.109,0.516,0.373,0.112,10,0.531,10,NA
"57",1562,16,16,16,7702,8,6,2,0,0,1,0.965,0.018,0.018,0.971,0,0.029,6,0.264,6,0.374
"58",1826,21,22,22,4242,8,7,7,1,0,0,1,0,0,1,0,0,7,0.788,7,0.791
"59",1857,20,19,19,1392,8,4,8,1,0,0,1,0,0,1,0,0,9,0.195,9,NA
"65",1863,20,19,19,595,8,9,8,1,0,0,0.97,0.03,0,1,0,0,9,0.195,9,NA
"141",2732,18,17,17,969,8,8,9,1,0,0,1,0,0,1,0,0,4,0.322,4,0.205
"443",1424,16,16,16,7094,8,2,2,0,0,1,0.995,0,0.005,0.971,0,0.029,6,0.264,6,0.374
"609",1989,22,21,21,456,8,5,4,1,0,0,1,0,0,1,0,0,3,0.399,3,0.326
"694",1445,22,21,21,305,8,3,4,1,0,0,1,0,0,1,0,0,3,0.399,3,0.326
"1242",17,1,1,1,3914,8,10,11,1,0,0,0.444,0.474,0.083,0.516,0.373,0.112,10,0.531,10,NA
"1262",3218,1,1,1,NA,8,16,11,0,1,0,0.855,0.064,0.082,0.516,0.373,0.112,10,0.531,10,NA
"1263",38,3,2,2,1133,8,22,20,0,0,1,0.599,0.305,0.096,0.429,0.34,0.231,12,0.734,12,0.853
"1285",175,3,2,2,458,8,12,20,0,0,1,0.471,0.297,0.232,0.429,0.34,0.231,12,0.734,12,0.853
"1345",921,8,8,8,943,8,20,19,1,0,0,0.836,0.082,0.082,0.756,0.157,0.087,20,1,20,1
"1629",402,10,10,10,924,8,19,18,1,0,0,1,0,0,0.93,0.052,0.017,19,0.271,19,0.248
"1756",552,11,11,11,894,8,18,16,1,0,0,1,0,0,1,0,0,19,0.424,19,0.358
"1766",621,9,9,9,4564,8,17,12,1,0,0,0.985,0.008,0.008,0.909,0.071,0.02,15,0.52,15,NA
"1920",893,9,9,9,554,8,15,12,0,1,0,0.839,0.125,0.036,0.909,0.071,0.02,15,0.52,15,NA
"1969",82,5,4,4,637,8,11,13,1,0,0,0.295,0.538,0.167,0.146,0.715,0.138,14,0.386,14,0.461
"2029",271,7,7,7,1489,8,13,14,1,0,0,0.707,0.259,0.034,0.651,0.31,0.04,13,1,13,1
"2163",1182,5,4,4,1960,8,14,13,0,0,1,0.11,0.766,0.124,0.146,0.715,0.138,14,0.386,14,0.461
"2777",102,6,6,6,1583,8,21,22,0,0,1,0.113,0.84,0.047,0.086,0.856,0.058,21,0.757,21,0.848
