"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
42,5,14,3,1,3152,2,3,1,0,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
43,5,14,3,1,2950,2,3,1,0,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
44,5,14,3,1,629,2,3,0,1,0,1,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
45,5,14,3,1,621,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
46,5,14,3,1,509,2,3,0,1,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
47,5,14,3,1,1344,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
48,6,14,4,18,3485,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
50,6,14,4,18,2422,8,4,0,0,1,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
51,6,14,4,18,2233,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
52,6,14,4,18,2381,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
53,6,14,4,18,1314,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
54,6,14,4,18,1399,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
55,6,14,4,18,1102,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
56,6,14,4,18,2506,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
57,6,14,4,18,1627,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
58,6,14,4,18,1644,8,4,0,0,1,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
59,6,14,4,18,711,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
60,6,14,4,18,732,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
61,6,14,4,18,1013,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
62,6,14,4,18,1941,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
63,6,14,4,18,1960,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
64,6,14,4,18,2247,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
65,6,14,4,18,1388,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
66,6,14,4,18,1453,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
67,6,14,4,18,3649,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
68,6,14,4,18,632,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
69,6,14,4,18,1200,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
70,6,14,4,18,641,8,4,1,0,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
71,6,14,4,18,1549,8,4,1,0,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
72,6,14,4,18,2694,8,4,0,0,1,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
73,6,14,4,18,888,8,4,0,1,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
74,6,14,4,18,395,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
75,6,14,4,18,451,8,4,0,1,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
76,6,14,4,18,1147,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
77,6,14,4,18,1203,8,4,0,1,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
78,6,14,4,18,891,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
79,6,14,4,18,1350,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
80,6,14,4,18,1664,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
81,6,14,4,18,1176,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
82,6,14,4,18,277,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
83,6,14,4,18,168,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
84,6,14,4,18,490,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
85,6,14,4,18,454,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
86,6,14,4,18,366,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
87,6,14,4,18,1168,8,4,0,1,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
88,6,14,4,18,695,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
89,6,14,4,18,693,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
90,6,14,4,18,484,8,4,0,1,0,0,1,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
91,6,14,4,18,943,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
92,6,14,4,18,107,8,4,0,1,0,1,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
93,6,14,4,18,483,8,4,0,1,0,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
94,7,14,3,1,2366,2,3,1,0,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
95,7,14,3,1,1389,2,3,1,0,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
96,7,14,3,1,1618,2,3,0,0,1,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
97,7,14,3,1,865,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
98,7,14,3,1,772,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
99,7,14,3,1,322,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
100,7,14,3,1,678,2,3,0,1,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
101,7,14,3,1,970,2,3,0,1,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
102,8,14,1,3,3523,7,1,0,0,1,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
103,8,14,1,3,2027,7,1,1,0,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
104,8,14,1,3,2650,7,1,1,0,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
105,8,14,1,3,1820,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
106,8,14,1,3,6362,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
107,8,14,1,3,7940,7,1,0,0,1,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
108,8,14,1,3,1699,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
109,8,14,1,3,1129,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
110,8,14,1,3,1124,7,1,1,0,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
