"","SECCION","ESC1","ESC2","ESC3","POB_TOT","EDON","DIS_ANT","DIS_NUEVA","URBANO","RURAL","MIXTO","prop_urban","prop_rural","prop_mixto","prop_urban_n","prop_rural_n","prop_mixto_n","SQ","dsiSQ_E1_sec","SQ_","dsiSQ_E1_pob"
"1",338,2,2,2,2367,1,2,2,0,0,1,0.04,0.68,0.28,0.04,0.68,0.28,2,1,2,1
"18",355,3,3,3,1568,1,8,3,0,0,1,0.344,0.469,0.188,0.3,0.475,0.225,8,0.8,8,0.865
"50",387,4,4,4,3725,1,1,4,1,0,0,0.353,0.353,0.294,0.423,0.308,0.269,1,0.765,1,0.884
"55",392,18,18,18,8231,1,7,18,0,0,1,0.375,0.438,0.188,0.375,0.438,0.188,7,1,7,1
"63",400,17,17,17,1962,1,4,17,0,0,1,0.25,0.312,0.438,0.25,0.312,0.438,4,1,4,1
"77",415,1,1,1,6799,1,3,1,0,0,1,0.444,0.407,0.148,0.444,0.407,0.148,3,1,3,1
"151",42,11,11,11,1302,1,6,11,1,0,0,0.975,0,0.025,0.973,0,0.027,6,0.426,6,0.605
"153",57,12,12,12,946,1,11,12,1,0,0,1,0,0,1,0,0,11,0.779,11,0.723
"172",80,16,16,16,8392,1,5,16,0,0,1,0.833,0,0.167,0.944,0,0.056,14,0.25,14,NA
"174",83,7,7,7,12481,1,12,7,0,0,1,0.684,0,0.316,0.688,0,0.312,12,0.522,12,NA
"178",87,16,16,16,2771,1,15,16,1,0,0,1,0,0,0.944,0,0.056,14,0.25,14,NA
"189",99,8,8,8,2727,1,13,8,1,0,0,1,0,0,1,0,0,13,0.321,13,0.434
"224",134,9,9,9,967,1,16,9,1,0,0,0.946,0,0.054,1,0,0,16,0.322,16,0.211
"245",155,9,9,9,13928,1,14,9,1,0,0,1,0,0,1,0,0,16,0.322,16,0.211
"259",315,6,6,6,4705,1,18,6,0,0,1,0.815,0.074,0.111,0.792,0.083,0.125,18,0.594,18,0.728
"388",3,11,11,11,1986,1,10,11,1,0,0,0.907,0.047,0.047,0.973,0,0.027,6,0.426,6,0.605
"452",176,10,10,10,499,1,17,10,1,0,0,1,0,0,1,0,0,17,0.671,17,0.674
"506",232,10,10,10,959,1,9,10,1,0,0,0.757,0.189,0.054,1,0,0,17,0.671,17,0.674
