"","seccion","munn","edon","dis_nueva","dis_anterior","pob","esc1","esc3","urbana","rural","mixta","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","SQ_","dsi_sec"
"143",1424,37,8,2,2,7094,16,16,0,0,1,6,0.374,0.995,0,0.005,6,0.264
"144",1445,37,8,4,3,305,22,21,1,0,0,3,0.326,1,0,0,3,0.399
"145",1562,37,8,2,6,7702,16,16,0,0,1,6,0.374,0.965,0.018,0.018,6,0.264
"146",1683,37,8,5,4,9966,19,20,1,0,0,3,0.245,1,0,0,3,0.161
"147",1737,37,8,5,9,618,19,20,1,0,0,3,0.245,0.991,0.009,0,3,0.161
"148",1753,37,8,5,7,916,19,20,1,0,0,3,0.245,1,0,0,3,0.161
"149",1989,37,8,4,5,456,22,21,1,0,0,3,0.326,1,0,0,3,0.399
"150",2732,37,8,9,8,969,18,17,1,0,0,4,0.205,1,0,0,4,0.322
"151",1,2,9,5,5,905,15,15,1,0,0,5,0.387,1,0,0,5,0.476
"152",89,2,9,3,3,701,16,16,1,0,0,3,0.678,1,0,0,3,0.695
"153",345,3,9,26,26,1668,23,23,1,0,0,26,0.335,1,0,0,26,0.355
"154",359,3,9,26,32,1497,21,21,1,0,0,32,0.863,1,0,0,32,0.868
"155",550,3,9,26,30,1002,23,23,1,0,0,26,0.335,1,0,0,26,0.355
"156",747,4,9,20,20,4007,31,31,1,0,0,20,0.581,0.981,0,0.019,20,0.543
"157",821,5,9,1,1,3366,12,12,1,0,0,1,0.819,1,0,0,1,0.752
"158",910,5,9,1,2,2844,12,12,1,0,0,1,0.819,1,0,0,1,0.752
"159",1079,5,9,2,7,856,10,10,1,0,0,2,0.523,1,0,0,2,0.511
"160",1219,5,9,4,4,1003,9,9,1,0,0,4,0.779,1,0,0,4,0.774
"161",1358,5,9,4,6,1328,9,9,1,0,0,4,0.779,1,0,0,4,0.774
"162",1672,6,9,15,15,1025,19,18,1,0,0,11,0.34,1,0,0,11,0.357
"163",1673,6,9,15,14,1051,19,18,1,0,0,11,0.34,1,0,0,11,0.357
"164",1971,7,9,24,24,1322,6,6,1,0,0,24,0.731,1,0,0,24,0.723
"165",1972,7,9,24,21,890,6,6,1,0,0,24,0.731,1,0,0,24,0.723
"166",2065,7,9,21,19,1670,7,7,1,0,0,21,0.34,1,0,0,21,0.368
"167",2106,7,9,22,22,1359,8,8,1,0,0,22,0.579,1,0,0,22,0.575
"168",2341,7,9,24,28,1591,5,6,1,0,0,28,0.744,1,0,0,28,0.717
"169",2521,7,9,21,29,1187,7,7,1,0,0,21,0.34,1,0,0,21,0.368
"170",2565,7,9,27,27,2283,3,3,1,0,0,27,0.931,1,0,0,27,0.932
"171",2633,7,9,31,31,1926,7,7,1,0,0,21,0.34,1,0,0,21,0.368
"172",2972,8,9,33,33,1166,1,1,1,0,0,33,1,0.986,0,0.014,33,1
"173",3119,9,9,7,34,2025,28,25,1,0,0,34,0.336,0.761,0,0.239,34,0.352
"174",3163,10,9,18,18,1770,33,33,1,0,0,18,0.767,1,0,0,18,0.75
"175",3217,10,9,23,23,1141,32,32,1,0,0,23,0.587,1,0,0,23,0.659
"176",3355,10,9,18,25,500,33,33,1,0,0,18,0.767,1,0,0,18,0.75
"177",3609,11,9,8,35,3458,26,26,1,0,0,35,0.739,0.946,0,0.054,35,0.723
"178",3742,12,9,16,38,1105,30,28,1,0,0,38,0.763,1,0,0,38,0.788
"179",3769,12,9,14,37,1330,29,27,1,0,0,37,0.802,1,0,0,37,0.812
"180",3829,12,9,14,40,2682,29,27,1,0,0,37,0.802,0.915,0.011,0.074,37,0.812
"181",4095,13,9,19,39,1570,27,29,1,0,0,39,0.76,0.936,0,0.064,39,0.845
"182",4107,13,9,25,36,1996,25,30,1,0,0,36,0.505,0.857,0,0.143,36,0.53
"183",4269,14,9,17,16,1860,24,24,1,0,0,17,0.599,1,0,0,17,0.604
"184",4274,14,9,17,17,1496,24,24,1,0,0,17,0.599,1,0,0,17,0.604
"185",4523,15,9,12,13,1429,14,14,1,0,0,12,0.648,1,0,0,12,0.597
"186",4586,15,9,9,9,2871,13,13,1,0,0,9,0.865,1,0,0,9,0.821
"187",4704,15,9,9,12,1528,13,13,1,0,0,9,0.865,1,0,0,9,0.821
"188",4981,16,9,13,8,280,17,17,1,0,0,13,0.433,1,0,0,13,0.439
"189",5183,17,9,10,10,1442,20,20,1,0,0,10,0.585,1,0,0,10,0.595
"190",5274,17,9,10,11,878,20,20,1,0,0,10,0.585,1,0,0,10,0.595
"191",1,1,10,3,16,513,3,3,1,0,0,6,0.295,0.179,0.772,0.049,6,0.308
"192",42,2,10,1,8,760,2,1,0,0,1,7,0.65,0.08,0.84,0.08,7,0.538
"193",66,4,10,6,15,2572,1,6,1,0,0,15,0.339,0.202,0.636,0.162,15,0.323
"194",108,5,10,11,2,9095,12,11,1,0,0,1,0.448,0.851,0.134,0.015,1,0.39
"195",122,5,10,11,1,905,12,11,1,0,0,1,0.448,0.769,0.215,0.015,1,0.39
"196",166,5,10,11,6,2495,11,11,1,0,0,1,0.201,0.43,0.506,0.063,1,0.306
"197",182,5,10,8,3,1165,9,8,1,0,0,3,0.414,0.64,0.32,0.04,3,0.353
"198",205,5,10,9,5,835,11,9,1,0,0,1,0.201,0.931,0.042,0.028,1,0.306
"199",229,5,10,9,4,633,9,9,1,0,0,3,0.414,0.395,0.566,0.039,3,0.353
"200",420,6,10,6,14,1271,1,6,1,0,0,15,0.339,0.366,0.512,0.122,15,0.323
"201",436,7,10,15,11,1328,13,15,1,0,0,12,0.724,0.523,0.409,0.068,12,0.61
"202",438,7,10,15,12,2814,13,15,1,0,0,12,0.724,0.979,0,0.021,12,0.61
"203",485,7,10,13,13,1602,15,13,1,0,0,13,0.51,1,0,0,13,0.475
"204",541,7,10,13,10,14035,15,13,1,0,0,13,0.51,0.391,0.562,0.047,13,0.475
"205",612,8,10,6,17,2281,1,6,1,0,0,15,0.339,0.481,0.403,0.117,15,0.323
"206",689,12,10,7,9,8932,6,7,1,0,0,14,0.357,0.469,0.438,0.094,14,0.276
"207",947,20,10,1,7,1079,2,1,0,0,1,7,0.65,0.117,0.807,0.076,7,0.538
"208",1,1,11,18,13,1916,4,1,0,0,1,18,0.455,0.444,0.492,0.065,18,0.458
"209",51,2,11,22,22,4518,8,2,0,0,1,22,0.647,0.333,0.577,0.089,22,0.683
"210",141,3,11,9,9,6511,6,3,0,0,1,9,0.482,0.362,0.596,0.043,9,0.56
"211",244,4,11,22,17,1599,8,2,1,0,0,22,0.647,0.39,0.512,0.098,22,0.683
"212",331,6,11,2,2,1049,10,4,0,0,1,2,1,0.203,0.684,0.114,2,1
"213",336,7,11,16,16,21909,21,22,1,0,0,16,0.523,0.801,0.14,0.059,16,0.342
"214",348,7,11,16,15,1619,21,22,1,0,0,16,0.523,0.727,0.157,0.116,16,0.342
"215",567,8,11,10,18,1590,7,5,0,0,1,10,0.491,0.275,0.64,0.084,10,0.368
"216",662,11,11,19,21,1725,5,7,1,0,0,19,0.621,0.626,0.302,0.072,19,0.598
"217",752,14,11,1,1,2342,3,8,0,0,1,1,0.868,0.213,0.7,0.087,1,0.894
"218",823,15,11,8,8,1199,9,9,1,0,0,8,0.472,0.574,0.348,0.078,8,0.517
"219",916,16,11,18,19,1407,4,1,1,0,0,18,0.455,0.456,0.421,0.123,18,0.458
"220",929,17,11,11,11,5611,13,13,1,0,0,11,0.444,0.78,0.13,0.089,11,0.349
"221",930,17,11,11,12,7981,13,13,1,0,0,11,0.444,0.81,0.095,0.095,11,0.349
"222",1261,20,11,3,4,5543,17,16,0,0,1,3,0.389,0.82,0.139,0.041,3,0.344
"223",1267,20,11,3,3,6337,17,16,1,0,0,3,0.389,0.967,0.017,0.017,3,0.344
"224",1344,20,11,7,7,1521,19,18,1,0,0,7,0.186,0.915,0.068,0.017,7,0.253
"225",1421,20,11,7,5,759,19,18,1,0,0,7,0.186,0.959,0.014,0.027,7,0.253
"226",1463,20,11,7,6,793,19,18,1,0,0,7,0.186,0.928,0.063,0.009,7,0.253
"227",1859,21,11,20,20,2667,11,10,1,0,0,20,0.658,0.578,0.383,0.039,20,0.604
"228",2034,25,11,10,10,4937,7,5,1,0,0,10,0.491,0.39,0.549,0.061,10,0.368
"229",2109,27,11,14,14,2742,12,12,0,0,1,14,0.347,0.645,0.315,0.04,14,0.463
"230",1,1,12,8,8,1622,24,4,1,0,0,4,0.218,0.39,0.537,0.073,4,0.206
"231",14,1,12,4,4,878,24,9,1,0,0,4,0.218,1,0,0,4,0.206
"232",24,1,12,5,5,1530,18,5,1,0,0,4,0.505,0.845,0.121,0.034,4,0.491
"233",40,1,12,3,3,1251,18,7,1,0,0,4,0.505,1,0,0,4,0.491
"234",112,1,12,9,9,6223,20,6,1,0,0,9,0.47,0.387,0.516,0.097,9,0.413
"235",149,1,12,6,6,2464,22,8,1,0,0,5,0.385,0.962,0.019,0.019,5,0.325
"236",282,1,12,7,7,1360,21,3,1,0,0,6,0.599,0.564,0.359,0.077,6,0.552
"237",384,2,12,26,26,3881,12,1,0,0,1,24,0.463,0,0.933,0.067,24,0.378
"238",411,3,12,17,17,1519,5,20,0,0,1,17,0.366,0.085,0.835,0.079,17,0.341
"239",456,4,12,28,28,2557,15,14,1,0,0,28,0.367,0.019,0.904,0.077,28,0.405
"240",474,5,12,27,27,1247,15,15,1,0,0,28,0.367,0.202,0.723,0.074,28,0.405
"241",479,6,12,20,20,728,11,22,0,0,1,19,0.897,0.186,0.762,0.052,19,0.826
"242",500,7,12,18,18,1844,4,21,0,0,1,20,0.438,0.245,0.704,0.05,20,0.484
"243",553,8,12,23,23,1259,12,23,0,0,1,24,0.463,0.25,0.643,0.107,24,0.378
"244",596,11,12,10,10,1007,3,26,1,0,0,10,0.318,0.302,0.563,0.135,10,0.392
"245",671,12,12,14,14,4404,6,13,1,0,0,14,0.376,0.11,0.83,0.06,14,0.39
"246",725,13,12,15,15,1370,6,16,1,0,0,14,0.376,0.162,0.714,0.124,14,0.39
"247",789,16,12,12,12,675,10,27,1,0,0,17,0.298,0.343,0.598,0.059,17,0.315
"248",1112,28,12,25,25,7040,27,12,1,0,0,25,0.884,0.153,0.788,0.059,25,0.904
"249",1204,29,12,1,1,10726,25,11,1,0,0,1,0.475,0.723,0.213,0.064,1,0.382
"250",1207,29,12,2,2,3651,25,10,0,0,1,1,0.475,0.737,0.175,0.088,1,0.382
"251",1309,30,12,19,19,1868,11,25,1,0,0,19,0.897,0.19,0.72,0.09,19,0.826
"252",1480,36,12,22,22,6477,7,24,0,0,1,22,0.979,0.873,0.113,0.014,22,0.958
"253",1602,39,12,11,11,650,28,28,1,0,0,12,0.442,0.27,0.631,0.099,12,0.305
"254",1654,40,12,13,13,2105,13,18,0,0,1,13,0.42,0.177,0.761,0.062,13,0.364
"255",1719,43,12,24,24,1365,12,19,1,0,0,24,0.463,0.224,0.72,0.056,24,0.378
"256",1809,47,12,16,16,6660,8,17,0,0,1,16,0.654,0.134,0.657,0.209,16,0.558
"257",1933,50,12,21,21,1853,4,2,0,0,1,20,0.438,0.284,0.672,0.045,20,0.484
"258",1,1,13,1,18,1422,8,9,0,0,1,10,0.766,0.049,0.878,0.073,10,0.742
"259",13,2,13,10,10,2833,8,4,1,0,0,10,0.766,0.011,0.899,0.09,10,0.742
"260",34,3,13,2,14,5385,2,1,1,0,0,14,0.384,0.286,0.621,0.093,14,0.414
"261",81,5,13,3,5,2062,2,6,1,0,0,14,0.384,0.516,0.319,0.165,14,0.414
"262",92,6,13,4,16,2564,6,18,0,0,1,6,0.7,0.157,0.817,0.026,6,0.621
"263",114,7,13,10,11,2261,5,4,0,0,1,11,0.314,0.402,0.424,0.174,11,0.362
"264",162,10,13,7,13,2734,16,14,0,0,1,13,0.327,0.113,0.78,0.107,13,0.349
"265",224,13,13,8,15,2766,1,7,0,0,1,9,0.228,0.028,0.907,0.065,9,0.281
"266",257,15,13,10,3,4495,5,4,1,0,0,11,0.314,0.47,0.35,0.18,11,0.362
"267",281,16,13,4,6,1342,6,5,0,0,1,6,0.7,0.037,0.829,0.134,6,0.621
"268",291,17,13,9,17,2668,11,18,0,0,1,17,0.408,0,0.923,0.077,17,0.375
"269",342,20,13,8,9,623,1,7,0,0,1,9,0.228,0.029,0.913,0.058,9,0.281
"270",358,22,13,12,2,1723,7,13,0,0,1,11,0.284,0.771,0.125,0.104,11,0.301
"271",713,39,13,1,1,1376,7,9,1,0,0,11,0.284,0.725,0.147,0.127,11,0.301
"272",780,43,13,18,7,920,18,16,0,0,1,16,0.743,0.053,0.886,0.061,16,0.596
"273",1295,64,13,4,4,2114,6,5,0,0,1,6,0.7,0.505,0.344,0.151,6,0.621
"274",1333,67,13,8,8,1343,1,7,0,0,1,9,0.228,0.136,0.705,0.159,9,0.281
"275",1350,68,13,13,12,1715,10,17,1,0,0,12,0.754,0.356,0.339,0.305,12,0.712
"276",1,1,14,2,3,1998,3,2,0,0,1,3,0.318,0.341,0.42,0.239,3,0.256
"277",13,2,14,4,17,2431,8,4,0,0,1,18,0.29,0.386,0.357,0.256,18,0.352
"278",24,3,14,3,1,2618,8,3,0,0,1,18,0.29,0.286,0.432,0.282,18,0.352
"279",36,4,14,5,19,1127,4,5,1,0,0,18,0.334,0.47,0.356,0.174,18,0.293
"280",48,6,14,4,18,3485,8,4,1,0,0,18,0.29,0.447,0.383,0.17,18,0.352
"281",149,11,14,4,5,983,6,4,0,0,1,5,0.749,0.374,0.416,0.211,5,0.673
"282",161,13,14,8,15,1248,7,8,0,0,1,15,0.463,0.394,0.415,0.192,15,0.481
"283",452,30,14,3,0,945,2,3,0,1,0,1,0.557,0,0,0,1,0.578
"284",501,36,14,9,2,5485,5,9,0,0,1,2,0.778,0.362,0.434,0.204,2,0.757
"285",570,41,14,13,12,693,14,13,1,0,0,8,0.398,1,0,0,8,0.364
"286",633,41,14,12,9,1303,12,12,1,0,0,9,0.675,1,0,0,9,0.682
"287",640,41,14,12,11,1523,12,12,1,0,0,9,0.675,1,0,0,9,0.682
"288",731,41,14,11,13,1863,13,11,1,0,0,13,0.451,1,0,0,13,0.443
